bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,48,1,,0,I1,9.1718820861678,
-1,49,2,,0,,9.488253968253968,
-1,47,3,,0,,9.779954648526077,
-1,47,4,,0,,10.052607709750568,
0,42,1,Bb6,0,,10.339795918367347,
0,37,2,,0,,10.631541950113379,
0,37,3,,0,,10.918163265306122,
0,49,4,,0,,11.21700680272109,
1,48,1,Bb6,1,A1,11.514126984126984,4/4
1,49,2,,1,,11.824149659863945,
1,50,3,G7,1,,12.129433106575963,
1,49,4,,1,,12.414784580498866,
2,50,1,C-7,1,,12.703628117913832,
2,47,2,,1,,12.983560090702948,
2,48,3,F7,1,,13.290816326530612,
2,49,4,,1,,13.608299319727891,
3,45,1,Bb,1,,13.894399092970522,
3,49,2,,1,,14.192585034013605,
3,48,3,G-7,1,,14.477233560090703,
3,49,4,,1,,14.747210884353741,
4,50,1,C-7,1,,15.0502947845805,
4,45,2,,1,,15.359501133786848,
4,45,3,F7,1,,15.64997732426304,
4,40,4,,1,,15.943197278911565,
5,40,1,F-7,1,,16.230317460317462,
5,39,2,,1,,16.516507936507935,
5,38,3,Bb7,1,,16.79419501133787,
5,38,4,,1,,17.089138321995463,
6,38,1,Eb7,1,,17.361315192743763,
6,38,2,,1,,17.658231292517005,
6,47,3,Ab7,1,,17.937301587301587,
6,47,4,,1,,18.228027210884353,
7,48,1,D-7,1,,18.508004535147393,
7,37,2,,1,,18.806145124716554,
7,37,3,G7,1,,19.086689342403627,
7,45,4,,1,,19.37185941043084,
8,43,1,C-7,1,,19.655759637188208,
8,41,2,,1,,19.955736961451247,
8,40,3,F7,1,,20.238185941043085,
8,43,4,,1,,20.52047619047619,
9,45,1,Bb6,1,A2,20.794557823129253,
9,43,2,,1,,21.09408163265306,
9,42,3,G7,1,,21.372925170068026,
9,42,4,,1,,21.67408163265306,
10,45,1,C-7,1,,21.969455782312924,
10,44,2,,1,,22.254399092970523,
10,43,3,F7,1,,22.54222222222222,
10,47,4,,1,,22.847845804988662,
11,45,1,Bb,1,,23.120249433106576,
11,45,2,,1,,23.420090702947846,
11,48,3,G-7,1,,23.711292517006804,
11,38,4,,1,,23.97095238095238,
12,50,1,C-7,1,,24.264308390022677,
12,34,2,,1,,24.5621768707483,
12,43,3,F7,1,,24.832789115646257,
12,49,4,,1,,25.114353741496597,
13,48,1,F-7,1,,25.390272108843536,
13,45,2,,1,,25.67609977324263,
13,41,3,Bb7,1,,25.982585034013606,
13,38,4,,1,,26.25312925170068,
14,49,1,Eb7,1,,26.55297052154195,
14,41,2,,1,,26.84471655328798,
14,42,3,Ab7,1,,27.11936507936508,
14,44,4,,1,,27.404965986394558,
15,45,1,C-7,1,,27.683242630385486,
15,45,2,,1,,27.9781179138322,
15,48,3,F7,1,,28.27174603174603,
15,50,4,,1,,28.563877551020408,
16,37,1,Bb6,1,,28.829070294784582,
16,37,2,,1,,29.119183673469387,
16,48,3,,1,,29.40045351473923,
16,51,4,,1,,29.67528344671202,
17,49,1,D7,1,B1,29.94628117913832,
17,49,2,,1,,30.226326530612244,
17,49,3,,1,,30.512902494331065,
17,44,4,,1,,30.796349206349205,
18,42,1,,1,,31.081678004535146,
18,42,2,,1,,31.35893424036281,
18,40,3,,1,,31.635192743764172,
18,38,4,,1,,31.90517006802721,
19,38,1,G7,1,,32.193061224489796,
19,40,2,,1,,32.48471655328798,
19,40,3,,1,,32.741451247165536,
19,41,4,,1,,33.03215419501134,
20,42,1,,1,,33.29981859410431,
20,43,2,,1,,33.592721088435376,
20,45,3,,1,,33.88278911564626,
20,47,4,,1,,34.15546485260771,
21,49,1,C7,1,,34.428503401360544,
21,49,2,,1,,34.7168253968254,
21,50,3,,1,,35.01242630385487,
21,37,4,,1,,35.292312925170066,
22,41,1,,1,,35.588208616780044,
22,42,2,,1,,35.88732426303855,
22,43,3,,1,,36.17054421768707,
22,37,4,,1,,36.45095238095238,
23,37,1,F7,1,,36.72183673469388,
23,50,2,,1,,37.004126984126984,
23,41,3,,1,,37.275238095238095,
23,37,4,,1,,37.5550566893424,
24,37,1,,1,,37.8350566893424,
24,48,2,,1,,38.12092970521542,
24,37,3,,1,,38.39884353741497,
24,50,4,,1,,38.65630385487528,
25,50,1,Bb,1,A3,38.94487528344671,
25,37,2,,1,,39.21886621315193,
25,50,3,G7,1,,39.50433106575964,
25,50,4,,1,,39.77761904761905,
26,48,1,C-7,1,,40.054807256235826,
26,49,2,,1,,40.34585034013605,
26,41,3,F7,1,,40.62598639455782,
26,40,4,,1,,40.91,
27,48,1,Bb,1,,41.19238095238095,
27,45,2,,1,,41.47430839002268,
27,37,3,G-7,1,,41.75802721088435,
27,50,4,,1,,42.04070294784581,
28,34,1,C-7,1,,42.30351473922902,
28,43,2,,1,,42.581428571428575,
28,49,3,F7,1,,42.8591156462585,
28,48,4,,1,,43.1340589569161,
29,45,1,F-7,1,,43.41151927437642,
29,42,2,,1,,43.69310657596372,
29,41,3,Bb7,1,,43.990748299319726,
29,45,4,,1,,44.2740589569161,
30,49,1,Eb7,1,,44.549410430839,
30,47,2,,1,,44.82757369614512,
30,47,3,Ab7,1,,45.099773242630384,
30,50,4,,1,,45.379501133786846,
31,48,1,C-7,1,,45.65766439909297,
31,50,2,,1,,45.94997732426304,
31,50,3,F7,1,,46.234648526077095,
31,41,4,,1,,46.50809523809524,
32,37,1,Bb6,1,,46.79195011337868,
32,48,2,,1,,47.078208616780046,
32,37,3,,1,,47.35548752834467,
32,49,4,,1,,47.634625850340136,
33,48,1,Bb6,2,A1,47.905102040816324,
33,48,2,,2,,48.19857142857143,
33,47,3,G7,2,,48.463582766439906,
33,47,4,,2,,48.755918367346936,
34,47,1,C-7,2,,49.03725623582766,
34,47,2,,2,,49.322426303854876,
34,41,3,F7,2,,49.60056689342404,
34,41,4,,2,,49.871156462585034,
35,48,1,Bb,2,,50.144285714285715,
35,47,2,,2,,50.42662131519274,
35,48,3,G-7,2,,50.716689342403626,
35,49,4,,2,,50.98671201814059,
36,43,1,C-7,2,,51.249002267573694,
36,41,2,,2,,51.53104308390023,
36,40,3,F7,2,,51.80882086167801,
36,49,4,,2,,52.08761904761905,
37,49,1,F-7,2,,52.3471201814059,
37,40,2,,2,,52.636825396825394,
37,41,3,Bb7,2,,52.905850340136055,
37,45,4,,2,,53.19285714285714,
38,45,1,Eb7,2,,53.4533560090703,
38,43,2,,2,,53.7387074829932,
38,40,3,Ab7,2,,54.01179138321996,
38,43,4,,2,,54.29408163265306,
39,45,1,D-7,2,,54.56734693877551,
39,43,2,,2,,54.85290249433107,
39,42,3,G7,2,,55.13351473922903,
39,37,4,,2,,55.39818594104308,
40,43,1,C-7,2,,55.67124716553288,
40,47,2,,2,,55.96643990929705,
40,48,3,F7,2,,56.23612244897959,
40,49,4,,2,,56.51730158730159,
41,41,1,Bb6,2,A2,56.78802721088435,
41,41,2,,2,,57.08226757369614,
41,42,3,G7,2,,57.365850340136056,
41,42,4,,2,,57.64356009070295,
42,43,1,C-7,2,,57.90857142857143,
42,43,2,,2,,58.18798185941043,
42,44,3,F7,2,,58.474104308390025,
42,44,4,,2,,58.760385487528346,
43,45,1,Bb,2,,59.03517006802721,
43,45,2,,2,,59.31832199546485,
43,42,3,G-7,2,,59.60047619047619,
43,42,4,,2,,59.86609977324263,
44,43,1,C-7,2,,60.14278911564626,
44,43,2,,2,,60.42820861678005,
44,40,3,F7,2,,60.70049886621315,
44,40,4,,2,,60.97532879818594,
45,40,1,F-7,2,,61.23877551020408,
45,49,2,,2,,61.51777777777778,
45,38,3,Bb7,2,,61.79290249433107,
45,37,4,,2,,62.072539682539684,
46,37,1,Eb7,2,,62.33517006802721,
46,41,2,,2,,62.61984126984127,
46,43,3,Ab7,2,,62.887732426303856,
46,44,4,,2,,63.17981859410431,
47,45,1,C-7,2,,63.43909297052154,
47,42,2,,2,,63.71507936507936,
47,43,3,F7,2,,63.99988662131519,
47,49,4,,2,,64.27301587301588,
48,50,1,Bb6,2,,64.55904761904762,
48,48,2,,2,,64.83834467120181,
48,49,3,,2,,65.11149659863946,
48,48,4,,2,,65.38936507936508,
49,49,1,D7,2,B1,65.67183673469388,
49,45,2,,2,,65.95231292517006,
49,42,3,,2,,66.22351473922903,
49,43,4,,2,,66.5163492063492,
50,40,1,,2,,66.79133786848072,
50,37,2,,2,,67.07081632653062,
50,37,3,,2,,67.34453514739229,
50,49,4,,2,,67.61240362811792,
51,45,1,G7,2,,67.89242630385488,
51,43,2,,2,,68.17439909297052,
51,42,3,,2,,68.453537414966,
51,40,4,,2,,68.7185941043084,
52,40,1,,2,,68.97414965986394,
52,37,2,,2,,69.27056689342403,
52,37,3,,2,,69.55235827664399,
52,40,4,,2,,69.8224716553288,
53,41,1,C7,2,,70.08387755102041,
53,43,2,,2,,70.36585034013605,
53,49,3,,2,,70.64399092970521,
53,49,4,,2,,70.9117006802721,
54,47,1,,2,,71.17736961451247,
54,45,2,,2,,71.45614512471656,
54,43,3,,2,,71.72179138321995,
54,41,4,,2,,71.9784126984127,
55,40,1,F7,2,,72.25496598639455,
55,41,2,,2,,72.54458049886621,
55,48,3,,2,,72.8225850340136,
55,38,4,,2,,73.09814058956916,
56,40,1,,2,,73.36383219954648,
56,41,2,,2,,73.63426303854875,
56,43,3,,2,,73.90120181405895,
56,40,4,,2,,74.16879818594104,
57,40,1,Bb,2,A3,74.43637188208616,
57,48,2,,2,,74.72056689342404,
57,37,3,G7,2,,74.99612244897959,
57,37,4,,2,,75.28117913832199,
58,37,1,C-7,2,,75.54149659863945,
58,49,2,,2,,75.81920634920635,
58,40,3,F7,2,,76.09428571428572,
58,40,4,,2,,76.37736961451247,
59,41,1,Bb,2,,76.65882086167801,
59,41,2,,2,,76.92496598639455,
59,42,3,G-7,2,,77.19893424036282,
59,42,4,,2,,77.47251700680272,
60,43,1,C-7,2,,77.72562358276645,
60,43,2,,2,,78.01337868480725,
60,44,3,F7,2,,78.29299319727892,
60,44,4,,2,,78.55891156462584,
61,45,1,F-7,2,,78.83972789115646,
61,45,2,,2,,79.10403628117913,
61,45,3,Bb7,2,,79.39043083900226,
61,45,4,,2,,79.67952380952381,
62,47,1,Eb7,2,,79.9584126984127,
62,47,2,,2,,80.24111111111111,
62,49,3,Ab7,2,,80.50641723356009,
62,49,4,,2,,80.77120181405895,
63,48,1,C-7,2,,81.04274376417233,
63,45,2,,2,,81.31988662131519,
63,50,3,F7,2,,81.5943537414966,
63,45,4,,2,,81.88077097505669,
64,43,1,Bb6,2,,82.14297052154195,
64,37,2,,2,,82.41487528344672,
64,48,3,,2,,82.68133786848072,
64,37,4,,2,,82.96526077097505,
65,41,1,Bb6,3,A1,83.22532879818594,
65,41,2,,3,,83.51061224489796,
65,49,3,G7,3,,83.79310657596372,
65,37,4,,3,,84.07424036281179,
66,50,1,C-7,3,,84.33934240362812,
66,50,2,,3,,84.61768707482993,
66,49,3,F7,3,,84.90773242630385,
66,49,4,,3,,85.16111111111111,
67,48,1,Bb,3,,85.43557823129251,
67,48,2,,3,,85.71219954648527,
67,50,3,G-7,3,,85.98750566893425,
67,45,4,,3,,86.26249433106575,
68,34,1,C-7,3,,86.55061224489796,
68,34,2,,3,,86.832947845805,
68,49,3,F7,3,,87.1020634920635,
68,48,4,,3,,87.37902494331065,
69,45,1,F-7,3,,87.64947845804988,
69,45,2,,3,,87.9164172335601,
69,48,3,Bb7,3,,88.1878231292517,
69,34,4,,3,,88.45480725623582,
70,43,1,Eb7,3,,88.718231292517,
70,43,2,,3,,88.98675736961451,
70,42,3,Ab7,3,,89.2522902494331,
70,45,4,,3,,89.5224716553288,
71,41,1,D-7,3,,89.77514739229025,
71,41,2,,3,,90.05283446712018,
71,45,3,G7,3,,90.31839002267574,
71,43,4,,3,,90.58922902494331,
72,40,1,C-7,3,,90.8519954648526,
72,40,2,,3,,91.1249433106576,
72,43,3,F7,3,,91.39106575963719,
72,40,4,,3,,91.66233560090703,
73,41,1,Bb6,3,A2,91.92122448979592,
73,41,2,,3,,92.20514739229024,
73,49,3,G7,3,,92.46231292517007,
73,43,4,,3,,92.74149659863946,
74,38,1,C-7,3,,92.99312925170068,
74,40,2,,3,,93.28326530612244,
74,41,3,F7,3,,93.55507936507937,
74,43,4,,3,,93.8198185941043,
75,48,1,Bb,3,,94.07020408163265,
75,40,2,,3,,94.3502947845805,
75,41,3,G-7,3,,94.61285714285714,
75,38,4,,3,,94.89807256235828,
76,43,1,C-7,3,,95.15392290249433,
76,45,2,,3,,95.4177097505669,
76,45,3,F7,3,,95.68612244897959,
76,40,4,,3,,95.94773242630386,
77,40,1,F-7,3,,96.20090702947846,
77,38,2,,3,,96.46913832199546,
77,37,3,Bb7,3,,96.72956916099773,
77,37,4,,3,,96.99795918367347,
78,40,1,Eb7,3,,97.25816326530612,
78,40,2,,3,,97.52972789115647,
78,41,3,Ab7,3,,97.79163265306123,
78,40,4,,3,,98.06544217687075,
79,41,1,C-7,3,,98.34312925170067,
79,43,2,,3,,98.60721088435375,
79,45,3,F7,3,,98.86070294784581,
79,45,4,,3,,99.1443537414966,
80,49,1,Bb6,3,,99.41188208616781,
80,50,2,,3,,99.68020408163265,
80,49,3,,3,,99.93360544217687,
80,49,4,,3,,100.20374149659864,
81,47,1,D7,3,B1,100.46104308390022,
81,40,2,,3,,100.72990929705216,
81,40,3,,3,,100.98510204081633,
81,45,4,,3,,101.24986394557823,
82,43,1,,3,,101.50879818594105,
82,40,2,,3,,101.77866213151927,
82,40,3,,3,,102.04657596371882,
82,40,4,,3,,102.3322902494331,
83,37,1,G7,3,,102.60047619047619,
83,42,2,,3,,102.85056689342403,
83,42,3,,3,,103.11324263038549,
83,47,4,,3,,103.39408163265306,
84,48,1,,3,,103.66941043083901,
84,40,2,,3,,103.92054421768708,
84,45,3,,3,,104.18895691609977,
84,40,4,,3,,104.46498866213152,
85,49,1,C7,3,,104.74308390022675,
85,40,2,,3,,105.0132879818594,
85,41,3,,3,,105.27789115646259,
85,47,4,,3,,105.55648526077097,
86,47,1,,3,,105.82551020408164,
86,37,2,,3,,106.0981179138322,
86,43,3,,3,,106.37222222222222,
86,47,4,,3,,106.63310657596372,
87,47,1,F7,3,,106.89705215419501,
87,38,2,,3,,107.13950113378685,
87,40,3,,3,,107.39546485260772,
87,41,4,,3,,107.65566893424037,
88,43,1,,3,,107.93133786848072,
88,45,2,,3,,108.21487528344672,
88,45,3,,3,,108.46328798185941,
88,40,4,,3,,108.74136054421768,
89,41,1,Bb,3,A3,109.01421768707483,
89,41,2,,3,,109.29034013605443,
89,43,3,G7,3,,109.54931972789116,
89,47,4,,3,,109.82321995464852,
90,49,1,C-7,3,,110.08961451247166,
90,49,2,,3,,110.36848072562358,
90,49,3,F7,3,,110.62836734693877,
90,40,4,,3,,110.91897959183673,
91,41,1,Bb,3,,111.18367346938776,
91,37,2,,3,,111.46068027210885,
91,49,3,G-7,3,,111.71884353741497,
91,45,4,,3,,111.9898866213152,
92,42,1,C-7,3,,112.26571428571428,
92,41,2,,3,,112.53428571428572,
92,40,3,F7,3,,112.79714285714286,
92,43,4,,3,,113.08006802721088,
93,48,1,F-7,3,,113.3424036281179,
93,42,2,,3,,113.60804988662132,
93,45,3,Bb7,3,,113.87156462585034,
93,48,4,,3,,114.13006802721088,
94,41,1,Eb7,3,,114.41045351473923,
94,38,2,,3,,114.69319727891157,
94,34,3,Ab7,3,,114.9479365079365,
94,47,4,,3,,115.21916099773243,
95,47,1,C-7,3,,115.4765306122449,
95,49,2,,3,,115.76258503401361,
95,49,3,F7,3,,116.02496598639456,
95,44,4,,3,,116.29963718820862,
96,43,1,Bb6,3,,116.57156462585034,
