bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,45,1,Eb6,0,I1,2.6007256235827665,
-1,34,2,,0,,3.0183673469387755,
-1,34,3,,0,,3.4224489795918367,
-1,45,4,,0,,3.7970975056689342,
0,34,1,,0,,4.2,
0,34,2,,0,,4.5757596371882086,
0,34,3,,0,,4.957845804988662,
0,49,4,,0,,5.337528344671202,
1,49,1,F7,1,A1,5.717278911564626,4/4
1,48,2,,1,,6.107165532879819,
1,48,3,,1,,6.497959183673469,
1,48,4,,1,,6.888276643990929,
2,37,1,Bb7,1,,7.267891156462585,
2,37,2,,1,,7.6426757369614515,
2,47,3,,1,,8.03265306122449,
2,47,4,,1,,8.437596371882087,
3,45,1,Eb6,1,,8.814580498866214,
3,40,2,,1,,9.195056689342403,
3,41,3,,1,,9.58061224489796,
3,42,4,,1,,9.962925170068027,
4,41,1,,1,,10.335963718820862,
4,40,2,,1,,10.710430839002267,
4,41,3,,1,,11.087074829931973,
4,37,4,,1,,11.471541950113378,
5,37,1,Bb-7,1,,11.86031746031746,
5,40,2,,1,,12.230022675736961,
5,41,3,,1,,12.611814058956917,
5,43,4,,1,,12.997891156462584,
6,44,1,Eb7,1,,13.37562358276644,
6,44,2,,1,,13.74907029478458,
6,45,3,,1,,14.127551020408163,
6,41,4,,1,,14.500861678004535,
7,39,1,Abj7,1,,14.884444444444444,
7,43,2,,1,,15.244671201814059,
7,41,3,,1,,15.608843537414966,
7,44,4,,1,,15.980566893424037,
8,43,1,,1,,16.346167800453514,
8,44,2,,1,,16.727278911564625,
8,45,3,,1,,17.09979591836735,
8,47,4,,1,,17.466643990929704,
9,48,1,Ab6,1,,17.83079365079365,
9,44,2,,1,,18.20997732426304,
9,43,3,,1,,18.599138321995465,
9,41,4,,1,,18.971972789115647,
10,42,1,Db7,1,,19.343945578231292,
10,44,2,,1,,19.704399092970522,
10,34,3,,1,,20.088027210884352,
10,42,4,,1,,20.46530612244898,
11,41,1,Eb6,1,,20.825260770975056,
11,41,2,,1,,21.194580498866213,
11,48,3,,1,,21.577460317460318,
11,44,4,,1,,21.94560090702948,
12,50,1,C7,1,,22.328390022675737,
12,47,2,,1,,22.688299319727893,
12,37,3,,1,,23.051315192743765,
12,43,4,,1,,23.429478458049886,
13,40,1,F7,1,,23.788798185941044,
13,37,2,,1,,24.15206349206349,
13,43,3,,1,,24.530702947845803,
13,47,4,,1,,24.882698412698414,
14,47,1,,1,,25.250340136054422,
14,42,2,,1,,25.60918367346939,
14,43,3,,1,,25.95891156462585,
14,47,4,,1,,26.337664399092972,
15,47,1,Bb7,1,,26.703560090702947,
15,37,2,,1,,27.07795918367347,
15,38,3,,1,,27.44748299319728,
15,40,4,,1,,27.814784580498866,
16,41,1,C7,1,,28.205396825396825,
16,41,2,,1,,28.573038548752834,
16,41,3,,1,,28.958820861678003,
16,37,4,,1,,29.34609977324263,
17,40,1,F7,1,B1,29.73362811791383,
17,41,2,,1,,30.1224716553288,
17,43,3,,1,,30.522630385487528,
17,42,4,,1,,30.928571428571427,
18,45,1,Bb7,1,,31.308163265306124,
18,48,2,,1,,31.673219954648527,
18,51,3,,1,,32.05986394557823,
18,49,4,,1,,32.44174603174603,
19,41,1,Eb6,1,,32.79120181405896,
19,45,2,,1,,33.17242630385488,
19,45,3,,1,,33.525238095238095,
19,51,4,,1,,33.88843537414966,
20,50,1,,1,,34.25922902494331,
20,47,2,,1,,34.6384126984127,
20,41,3,,1,,35.01834467120182,
20,41,4,,1,,35.38526077097506,
21,37,1,Bb-7,1,,35.77181405895691,
21,41,2,,1,,36.138662131519276,
21,41,3,,1,,36.51598639455782,
21,45,4,,1,,36.88478458049887,
22,44,1,Eb7,1,,37.247573696145125,
22,47,2,,1,,37.61403628117914,
22,45,3,,1,,37.981179138322,
22,44,4,,1,,38.362743764172336,
23,42,1,Abj7,1,,38.71809523809524,
23,42,2,,1,,39.077551020408166,
23,48,3,,1,,39.455056689342406,
23,49,4,,1,,39.814353741496596,
24,49,1,,1,,40.17759637188209,
24,49,2,,1,,40.55079365079365,
24,48,3,,1,,40.91043083900227,
24,49,4,,1,,41.29482993197279,
25,50,1,Ab7,1,,41.63439909297052,
25,40,2,,1,,42.009410430839004,
25,40,3,,1,,42.3653514739229,
25,43,4,,1,,42.736984126984126,
26,44,1,Ao7,1,,43.09428571428571,
26,43,2,,1,,43.463469387755104,
26,44,3,,1,,43.85668934240363,
26,44,4,,1,,44.23981859410431,
27,45,1,Eb6,1,,44.617392290249434,
27,45,2,,1,,44.976507936507936,
27,45,3,,1,,45.34662131519274,
27,47,4,,1,,45.69795918367347,
28,47,1,C7,1,,46.06832199546485,
28,34,2,,1,,46.42675736961451,
28,47,3,,1,,46.77956916099773,
28,50,4,,1,,47.1514739229025,
29,47,1,F7,1,,47.50156462585034,
29,42,2,,1,,47.86943310657596,
29,43,3,,1,,48.23281179138322,
29,43,4,,1,,48.619297052154195,
30,48,1,Bb7,1,,48.99875283446712,
30,43,2,,1,,49.36795918367347,
30,48,3,,1,,49.733990929705215,
30,41,4,,1,,50.099931972789115,
31,42,1,Eb6,1,,50.47546485260771,
31,34,2,,1,,50.83938775510204,
31,34,3,,1,,51.20360544217687,
31,45,4,,1,,51.59274376417233,
32,45,1,,1,,51.96122448979592,
32,45,2,,1,,52.33281179138322,
32,34,3,,1,,52.69816326530612,
32,49,4,,1,,53.078866213151926,
33,49,1,F7,2,A1,53.48136054421769,
33,45,2,,2,,53.864444444444445,
33,43,3,,2,,54.23827664399093,
33,34,4,,2,,54.62548752834467,
34,45,1,Bb7,2,,54.98215419501134,
34,43,2,,2,,55.35201814058957,
