bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,34,4,NC,0,I1,5.131972789115646,
1,51,1,Ab6,1,A1,6.15328798185941,4/4
1,51,2,,1,,7.183673469387755,
1,48,3,,1,,8.241678004535148,
1,47,4,,1,,9.20984126984127,
2,34,1,Ab6,1,,10.19591836734694,
2,44,2,,1,,11.155804988662132,
2,43,3,,1,,12.085986394557823,
2,40,4,,1,,13.028571428571428,
3,38,1,Ab-6,1,,13.975510204081633,
3,41,2,,1,,14.922448979591836,
3,42,3,,1,,15.902040816326531,
3,42,4,,1,,16.8,
4,42,1,Ab-6,1,,17.7318820861678,
4,42,2,,1,,18.700090702947847,
4,44,3,Db7,1,,19.642426303854876,
4,41,4,,1,,20.67036281179138,
5,34,1,Eb,1,,21.63312925170068,
5,41,2,,1,,22.636031746031748,
5,51,3,F-7,1,,23.569478458049886,
5,45,4,,1,,24.546507936507936,
6,38,1,G-7,1,,25.544013605442178,
6,40,2,,1,,26.54716553287982,
6,35,3,C7,1,,27.56968253968254,
6,47,4,,1,,28.5281179138322,
7,47,1,F-7,1,,29.550680272108842,
7,48,2,,1,,30.514285714285716,
7,38,3,,1,,31.51548752834467,
7,43,4,Eo7,1,,32.483718820861675,
8,48,1,F-7,1,,33.442131519274376,
8,38,2,,1,,34.439727891156465,
8,51,3,,1,,35.47201814058957,
8,50,4,,1,,36.409954648526075,
9,41,1,Bb7,1,,37.39780045351474,
9,41,2,,1,,38.40512471655329,
9,47,3,Bbo,1,,39.35378684807256,
9,42,4,,1,,40.36637188208617,
10,41,1,F-7,1,,41.379274376417236,
10,41,2,,1,,42.33102040816326,
10,42,3,Bb7,1,,43.35374149659864,
10,45,4,,1,,44.31226757369615,
11,34,1,Ebj7,1,,45.32934240362812,
11,34,2,,1,,46.27789115646259,
11,51,3,,1,,47.290725623582766,
11,45,4,,1,,48.25786848072563,
12,50,1,G-7,1,,49.21099773242631,
12,50,2,,1,,50.179251700680275,
12,43,3,C-7,1,,51.166666666666664,
12,43,4,,1,,52.12517006802721,
13,48,1,F79,1,,53.122675736961455,
13,47,2,,1,,54.09975056689343,
13,52,3,,1,,55.09292517006803,
13,41,4,,1,,56.0902947845805,
14,50,1,C-7,1,,57.048798185941045,
14,48,2,,1,,58.026825396825394,
14,45,3,F7,1,,58.994081632653064,
14,43,4,,1,,59.92755102040816,
15,41,1,Bb7,1,,60.88596371882086,
15,41,2,,1,,61.81378684807256,
15,41,3,Bbsus7,1,,62.76151927437642,
15,41,4,,1,,63.78399092970522,
16,41,1,Bbo7,1,,64.76201814058957,
16,48,2,,1,,65.81943310657596,
16,41,3,Bb7,1,,66.80716553287982,
16,34,4,Eb+7,1,,67.77544217687075,
17,43,1,Ab6,1,B1,68.76219954648526,
17,43,2,,1,,69.74009070294784,
17,37,3,,1,,70.79766439909297,
17,37,4,,1,,71.85503401360545,
18,51,1,Ab6,1,,72.88746031746032,
18,38,2,,1,,73.87512471655329,
18,41,3,,1,,74.90766439909297,
18,37,4,,1,,75.82052154195011,
19,42,1,Ab-6,1,,76.73614512471656,
19,42,2,,1,,77.78684807256236,
19,41,3,,1,,78.79897959183674,
19,37,4,,1,,79.79215419501134,
20,51,1,Ab-6,1,,80.77981859410431,
20,38,2,,1,,81.73208616780046,
20,44,3,Db7,1,,82.69038548752835,
20,42,4,,1,,83.61380952380952,
21,50,1,Eb,1,,84.56698412698412,
21,41,2,,1,,85.56553287981859,
21,51,3,,1,,86.57142857142857,
21,38,4,,1,,87.57551020408164,
22,38,1,G-7,1,,88.68136054421768,
22,50,2,,1,,89.63979591836734,
22,34,3,C7,1,,90.69723356009071,
22,43,4,,1,,91.63043083900227,
23,48,1,F-7,1,,92.61859410430839,
23,48,2,,1,,93.68451247165532,
23,43,3,,1,,94.67224489795919,
23,43,4,Eo,1,,95.68521541950113,
24,48,1,F-7,1,,96.66321995464853,
24,48,2,,1,,97.5963492063492,
24,48,3,,1,,98.54850340136055,
24,48,4,,1,,99.45242630385488,
25,48,1,Ab-7,1,,100.40816326530613,
25,50,2,,1,,101.45303854875283,
25,51,3,,1,,102.46575963718821,
25,45,4,,1,,103.52319727891157,
26,44,1,Db7913,1,,104.52975056689343,
26,44,2,,1,,105.50748299319729,
26,42,3,,1,,106.49086167800453,
26,41,4,,1,,107.44383219954649,
27,34,1,Ebj7,1,,108.40233560090702,
27,34,2,,1,,109.42473922902494,
27,51,3,C-7,1,,110.42829931972788,
27,51,4,,1,,111.47319727891157,
28,50,1,G-7,1,,112.39274376417234,
28,37,2,,1,,113.380589569161,
28,43,3,C7,1,,114.35845804988662,
28,43,4,,1,,115.38074829931973,
29,48,1,F-7,1,,116.39367346938775,
29,48,2,,1,,117.48049886621315,
29,38,3,,1,,118.46818594104309,
29,50,4,,1,,119.48009070294785,
30,39,1,Bb7,1,,120.49281179138322,
30,41,2,,1,,121.41637188208617,
30,42,3,,1,,122.41390022675736,
30,41,4,,1,,123.45190476190476,
31,34,1,Eb6,1,,124.50934240362812,
31,34,2,,1,,125.55918367346939,
31,51,3,,1,,126.58380952380952,
31,34,4,,1,,127.56079365079366,
32,50,1,Bb-7,1,,128.53879818594103,
32,50,2,,1,,129.54183673469387,
32,41,3,Eb7,1,,130.52950113378685,
32,34,4,,1,,131.47260770975058,
33,39,1,Ab6,2,A1,132.4656462585034,
33,38,2,,2,,133.46843537414966,
33,41,3,,2,,134.51065759637189,
33,41,4,,2,,135.5585260770975,
34,39,1,Ab6,2,,136.58977324263037,
34,41,2,,2,,137.5678231292517,
34,43,3,,2,,138.56528344671202,
34,44,4,,2,,139.51396825396824,
35,51,1,Ab-6,2,,140.5014739229025,
35,51,2,,2,,141.5046485260771,
35,49,3,,2,,142.46625850340135,
35,48,4,,2,,143.43460317460318,
36,44,1,Ab-6,2,,144.39285714285714,
36,44,2,,2,,145.33621315192744,
36,45,3,Db7,2,,146.25868480725623,
36,41,4,,2,,147.21714285714285,
37,50,1,Eb,2,,148.17984126984126,
37,41,2,,2,,149.13825396825396,
37,34,3,,2,,150.20557823129252,
37,39,4,,2,,151.17374149659864,
38,38,1,G-7,2,,152.16049886621315,
38,50,2,,2,,153.12879818594104,
38,47,3,C7,2,,154.0815192743764,
38,44,4,,2,,155.0944217687075,
39,48,1,F-7,2,,156.05285714285714,
39,51,2,,2,,157.02986394557823,
39,47,3,,2,,157.998231292517,
39,43,4,Eo7,2,,158.99573696145126,
40,48,1,F-7,2,,159.96392290249432,
40,48,2,,2,,160.96680272108844,
40,38,3,,2,,161.97326530612244,
40,43,4,,2,,162.93170068027212,
41,41,1,Bb7,2,,163.94451247165532,
41,45,2,,2,,164.92256235827665,
41,43,3,Bbo,2,,165.90052154195013,
41,45,4,,2,,166.91319727891155,
42,48,1,F-7,2,,167.83668934240362,
42,51,2,,2,,168.79832199546485,
42,45,3,Bb7,2,,169.74700680272107,
42,41,4,,2,,170.71521541950113,
43,34,1,Eb,2,,171.7057596371882,
43,34,2,,2,,172.68680272108844,
43,39,3,,2,,173.73208616780045,
43,43,4,,2,,174.7098866213152,
44,38,1,C-7,2,,175.6835827664399,
44,38,2,,2,,176.6016553287982,
44,43,3,G-7,2,,177.65907029478458,
44,43,4,,2,,178.67088435374149,
45,40,1,F79,2,,179.66850340136054,
45,41,2,,2,,180.6171201814059,
45,42,3,,2,,181.58528344671203,
45,44,4,,2,,182.56319727891156,
46,43,1,C-7,2,,183.55993197278912,
46,43,2,,2,,184.5532879818594,
46,40,3,F7,2,,185.57036281179137,
46,48,4,,2,,186.61791383219955,
47,41,1,Bb7,2,,187.56097505668933,
47,41,2,,2,,188.52931972789116,
47,47,3,Bbsus7,2,,189.54210884353742,
47,43,4,,2,,190.46473922902496,
48,48,1,Bbo7,2,,191.45256235827665,
48,48,2,,2,,192.43036281179138,
48,34,3,Bb7,2,,193.4744671201814,
48,41,4,,2,,194.52020408163264,
49,51,1,Ab6,2,B1,195.52315192743765,
49,40,2,,2,,196.59031746031746,
49,44,3,,2,,197.6540589569161,
49,44,4,,2,,198.75102040816327,
50,43,1,Ab6,2,,199.78632653061226,
50,48,2,,2,,200.7635827664399,
50,51,3,,2,,201.75668934240363,
50,41,4,,2,,202.69986394557824,
51,51,1,Ab-6,2,,203.6680045351474,
51,42,2,,2,,204.65585034013606,
51,51,3,,2,,205.667641723356,
51,48,4,,2,,206.70015873015873,
52,48,1,Ab-6,2,,207.66823129251702,
52,51,2,,2,,208.63641723356008,
52,48,3,Db7,2,,209.62419501133786,
52,47,4,,2,,210.58278911564625,
53,34,1,Eb6,2,,211.51498866213151,
53,42,2,,2,,212.54750566893424,
53,51,3,,2,,213.57002267573696,
53,33,4,,2,,214.54657596371882,
54,38,1,G-7,2,,215.58585034013606,
54,38,2,,2,,216.58342403628117,
54,43,3,C7,2,,217.5767120181406,
54,43,4,,2,,218.5635827664399,
55,43,1,F-7,2,,219.56113378684807,
55,43,2,,2,,220.56396825396826,
55,43,3,,2,,221.55181405895692,
55,43,4,,2,,222.58961451247166,
56,48,1,F-7,2,,223.55138321995466,
56,48,2,,2,,224.61242630385487,
56,48,3,,2,,225.63151927437642,
56,48,4,,2,,226.64426303854876,
57,48,1,Ab-7,2,,227.60263038548752,
57,48,2,,2,,228.5902947845805,
57,48,3,,2,,229.66725623582767,
57,47,4,,2,,230.6801133786848,
58,44,1,Db7,2,,231.6571201814059,
58,44,2,,2,,232.6352380952381,
58,42,3,,2,,233.60321995464852,
58,41,4,,2,,234.58539682539683,
59,34,1,Ebj7,2,,235.49956916099774,
59,41,2,,2,,236.40816326530611,
59,51,3,C-7,2,,237.39031746031745,
59,39,4,,2,,238.42807256235827,
60,38,1,G-7,2,,239.3812925170068,
60,38,2,,2,,240.3939455782313,
60,43,3,C7,2,,241.32643990929705,
60,43,4,,2,,242.2845804988662,
61,48,1,F-7,2,,243.2528798185941,
61,48,2,,2,,244.26015873015874,
61,44,3,,2,,245.25326530612244,
61,43,4,,2,,246.19655328798186,
62,43,1,Bb7,2,,247.23761904761903,
62,48,2,,2,,248.2156462585034,
62,41,3,,2,,249.2731065759637,
62,41,4,,2,,250.26095238095238,
63,41,1,Ebj7,2,,251.2387074829932,
63,41,2,,2,,252.2669387755102,
63,41,3,,2,,253.24498866213153,
63,41,4,,2,,254.1870068027211,
64,41,1,Bb-7,2,,255.20968253968255,
64,34,2,,2,,256.2321315192744,
64,47,3,Eb7,2,,257.2101814058957,
64,34,4,,2,,258.16861678004534,
65,47,1,Ab6,3,A1,259.1560544217687,
65,51,2,,3,,260.19843537414965,
65,34,3,,3,,261.19074829931975,
65,40,4,,3,,262.2328117913832,
66,39,1,Ab6,3,,263.27061224489796,
66,40,2,,3,,264.24873015873015,
