bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,50,1,Gj7,1,A1,8.965804988662132,4/4
1,45,2,,1,,9.409886621315193,
1,47,3,,1,,9.856780045351474,
1,49,4,,1,,10.298253968253968,
2,50,1,,1,,10.722607709750568,
2,42,2,,1,,11.155396825396826,
2,43,3,,1,,11.599115646258504,
2,44,4,,1,,12.04077097505669,
3,45,1,,1,,12.465918367346939,
3,50,2,,1,,12.907573696145125,
3,49,3,,1,,13.34140589569161,
3,52,4,,1,,13.774467120181406,
4,50,1,,1,,14.17578231292517,
4,42,2,,1,,14.604149659863946,
4,52,3,,1,,15.036961451247166,
4,45,4,,1,,15.470907029478457,
5,50,1,,1,,15.905668934240364,
5,50,2,,1,,16.346439909297054,
5,43,3,,1,,16.797482993197278,
5,43,4,,1,,17.22294784580499,
6,42,1,Bbo,1,,17.646054421768707,
6,42,2,,1,,18.05170068027211,
6,41,3,,1,,18.503219954648525,
6,41,4,,1,,18.936984126984125,
7,52,1,A-7,1,,19.350544217687077,
7,50,2,,1,,19.79421768707483,
7,47,3,,1,,20.235691609977323,
7,40,4,,1,,20.689319727891156,
8,45,1,D7,1,,21.122176870748298,
8,43,2,,1,,21.526643990929706,
8,42,3,,1,,21.932312925170066,
8,47,4,,1,,22.375124716553287,
9,52,1,A-7,1,,22.789637188208616,
9,42,2,,1,,23.232358276643993,
9,43,3,,1,,23.65641723356009,
9,45,4,,1,,24.107709750566894,
10,47,1,D7,1,,24.523197278911564,
10,49,2,,1,,24.966054421768707,
10,50,3,,1,,25.407551020408164,
10,51,4,,1,,25.823968253968253,
11,52,1,A-7,1,,26.24687074829932,
11,50,2,,1,,26.688662131519273,
11,47,3,,1,,27.13233560090703,
11,52,4,,1,,27.537777777777777,
12,45,1,D7,1,,27.989138321995465,
12,43,2,,1,,28.432879818594106,
12,42,3,,1,,28.864625850340136,
12,47,4,,1,,29.289954648526077,
13,52,1,A-7,1,,29.713219954648526,
13,42,2,,1,,30.154625850340135,
13,42,3,,1,,30.588548752834466,
13,44,4,,1,,31.04108843537415,
14,42,1,D7,1,,31.465124716553287,
14,42,2,,1,,31.91659863945578,
14,50,3,,1,,32.33190476190476,
14,49,4,,1,,32.763718820861676,
15,37,1,Gj7,1,,33.179160997732424,
15,37,2,,1,,33.63052154195012,
15,51,3,,1,,34.06360544217687,
15,47,4,,1,,34.507278911564626,
16,52,1,,1,,34.91077097505669,
16,50,2,,1,,35.344807256235825,
16,49,3,,1,,35.770204081632656,
16,47,4,,1,,36.21165532879819,
17,45,1,G7,1,B1,36.6274149659864,
17,50,2,,1,,37.07852607709751,
17,37,3,,1,,37.48428571428571,
17,52,4,,1,,37.90843537414966,
18,50,1,,1,,38.32201814058957,
18,42,2,,1,,38.747142857142855,
18,45,3,,1,,39.17149659863946,
18,50,4,,1,,39.612925170068024,
19,48,1,Bm7b5,1,,40.01866213151927,
19,47,2,,1,,40.472086167800455,
19,45,3,,1,,40.91369614512472,
19,43,4,,1,,41.319160997732425,
20,42,1,E7,1,,41.75208616780046,
20,40,2,,1,,42.18628117913832,
20,51,3,,1,,42.6191156462585,
20,47,4,,1,,43.06056689342404,
21,52,1,A-7,1,,43.48467120181406,
21,42,2,,1,,43.90031746031746,
21,43,3,,1,,44.3424716553288,
21,47,4,,1,,44.78566893424036,
22,50,1,,1,,45.200816326530614,
22,42,2,,1,,45.624331065759634,
22,52,3,,1,,46.05809523809524,
22,50,4,,1,,46.49104308390023,
23,42,1,C-7,1,,46.91517006802721,
23,42,2,,1,,47.34820861678005,
23,41,3,F7,1,,47.77505668934241,
23,42,4,,1,,48.22204081632653,
24,45,1,A-7,1,,48.67482993197279,
24,43,2,,1,,49.08117913832199,
24,40,3,D7,1,,49.513560090702946,
24,45,4,,1,,49.947482993197276,
25,50,1,Gj7,1,,50.361927437641725,
25,50,2,,1,,50.804648526077095,
25,38,3,,1,,51.228798185941045,
25,42,4,,1,,51.67149659863946,
26,42,1,,1,,52.095668934240365,
26,45,2,,1,,52.528662131519276,
26,50,3,,1,,52.95281179138322,
26,43,4,,1,,53.375668934240366,
27,48,1,Bm7b5,1,,53.792312925170066,
27,52,2,,1,,54.233809523809526,
27,43,3,,1,,54.66680272108844,
27,48,4,,1,,55.10045351473923,
28,47,1,E7,1,,55.524036281179136,
28,45,2,,1,,55.93931972789115,
28,42,3,,1,,56.36643990929705,
28,47,4,,1,,56.80621315192744,
29,52,1,A-7,1,,57.21687074829932,
29,50,2,,1,,57.626439909297055,
29,47,3,,1,,58.06439909297052,
29,40,4,,1,,58.48326530612245,
30,45,1,D7,1,,58.917528344671204,
30,52,2,,1,,59.332743764172335,
30,37,3,,1,,59.774308390022675,
30,42,4,,1,,60.217120181405896,
31,37,1,Gj7,1,,60.62149659863945,
31,37,2,,1,,61.02748299319728,
31,45,3,,1,,61.48002267573696,
31,37,4,,1,,61.89442176870748,
32,37,1,,1,,62.32730158730159,
32,43,2,,1,,62.77875283446712,
32,45,3,,1,,63.19455782312925,
32,45,4,,1,,63.59655328798186,
33,38,1,Gj7,2,A1,64.00464852607709,
33,50,2,,2,,64.45816326530613,
33,50,3,,2,,64.86385487528345,
33,50,4,,2,,65.2887074829932,
34,50,1,,2,,65.72408163265307,
34,37,2,,2,,66.14204081632653,
34,47,3,,2,,66.55839002267574,
34,42,4,,2,,66.99154195011337,
35,50,1,,2,,67.40789115646258,
35,42,2,,2,,67.83090702947845,
35,43,3,,2,,68.27471655328799,
35,40,4,,2,,68.70675736961451,
36,45,1,,2,,69.12,
36,47,2,,2,,69.53553287981859,
36,49,3,,2,,69.95113378684808,
36,37,4,,2,,70.38492063492063,
37,50,1,,2,,70.78104308390023,
37,42,2,,2,,71.2041723356009,
37,50,3,,2,,71.64517006802721,
37,38,4,,2,,72.07208616780045,
38,50,1,Bbo,2,,72.52319727891157,
38,37,2,,2,,72.94639455782313,
38,50,3,,2,,73.371768707483,
38,37,4,,2,,73.79573696145124,
39,52,1,A-7,2,,74.2190022675737,
39,50,2,,2,,74.64331065759637,
39,42,3,,2,,75.06659863945578,
39,38,4,,2,,75.50024943310657,
40,42,1,D7,2,,75.94297052154195,
40,42,2,,2,,76.37725623582766,
40,51,3,,2,,76.78278911564625,
40,47,4,,2,,77.2339455782313,
41,52,1,A-7,2,,77.64836734693877,
41,42,2,,2,,78.06390022675737,
41,42,3,,2,,78.49700680272109,
41,52,4,,2,,78.93834467120182,
42,51,1,,2,,79.36290249433107,
42,48,2,,2,,79.7955328798186,
42,47,3,,2,,80.2209977324263,
42,45,4,,2,,80.65478458049887,
43,43,1,,2,,81.06818594104308,
43,42,2,,2,,81.50210884353741,
43,52,3,,2,,81.93487528344671,
43,47,4,,2,,82.36895691609978,
44,45,1,D7,2,,82.79312925170068,
44,43,2,,2,,83.21628117913832,
44,42,3,,2,,83.65038548752834,
44,41,4,,2,,84.08326530612244,
45,52,1,A-7,2,,84.50031746031746,
45,42,2,,2,,84.91315192743764,
45,43,3,,2,,85.31897959183674,
45,44,4,,2,,85.76995464852608,
46,45,1,D7,2,,86.19351473922903,
46,50,2,,2,,86.6172335600907,
46,49,3,,2,,87.05031746031746,
46,37,4,,2,,87.47673469387755,
47,50,1,Gj7,2,,87.89004535147393,
47,45,2,,2,,88.33369614512472,
47,42,3,,2,,88.75707482993197,
47,41,4,,2,,89.19857142857143,
48,37,1,A-7,2,,89.59668934240362,
48,45,2,,2,,90.03816326530612,
48,45,3,D7,2,,90.45367346938775,
48,38,4,,2,,90.86714285714285,
49,38,1,G7,2,B1,91.27294784580499,
49,50,2,,2,,91.71639455782314,
49,42,3,,2,,92.14061224489797,
49,47,4,,2,,92.56358276643991,
50,45,1,,2,,92.96965986394558,
50,43,2,,2,,93.4034693877551,
50,42,3,,2,,93.80936507936508,
50,50,4,,2,,94.24319727891157,
51,48,1,Bm7b5,2,,94.67936507936508,
51,48,2,,2,,95.09732426303854,
51,52,3,,2,,95.53181405895691,
51,43,4,,2,,95.95716553287981,
52,42,1,E7,2,,96.3704761904762,
52,42,2,,2,,96.81430839002267,
52,47,3,,2,,97.23845804988662,
52,47,4,,2,,97.6714058956916,
53,52,1,A-7,2,,98.0953514739229,
53,42,2,,2,,98.53795918367346,
53,43,3,,2,,98.9621768707483,
53,45,4,,2,,99.40385487528344,
54,47,1,,2,,99.80950113378685,
54,51,2,,2,,100.2637641723356,
54,50,3,,2,,100.69043083900226,
54,47,4,,2,,101.12773242630385,
55,42,1,C-7,2,,101.53326530612244,
55,42,2,,2,,101.9771201814059,
55,50,3,F7,2,,102.41011337868481,
55,42,4,,2,,102.8150566893424,
56,45,1,A-7,2,,103.24172335600908,
56,42,2,,2,,103.65353741496598,
56,52,3,D7,2,,104.07755102040817,
56,45,4,,2,,104.50278911564625,
57,50,1,Gj7,2,,104.90641723356009,
57,50,2,,2,,105.35011337868481,
57,52,3,,2,,105.77437641723355,
57,38,4,,2,,106.20714285714286,
58,45,1,,2,,106.63124716553288,
58,42,2,,2,,107.05458049886622,
58,50,3,,2,,107.47977324263039,
58,49,4,,2,,107.931179138322,
59,48,1,Bm7b5,2,,108.33691609977325,
59,52,2,,2,,108.77863945578231,
59,45,3,,2,,109.20390022675737,
59,37,4,,2,,109.6355328798186,
60,42,1,E7,2,,110.03365079365079,
60,48,2,,2,,110.46539682539682,
60,47,3,,2,,110.8995918367347,
60,51,4,,2,,111.31480725623582,
61,52,1,A-7,2,,111.73807256235828,
61,50,2,,2,,112.16226757369614,
61,47,3,,2,,112.57766439909297,
61,52,4,,2,,113.00197278911564,
62,45,1,D7,2,,113.41351473922903,
62,43,2,,2,,113.84052154195011,
62,42,3,,2,,114.27446712018141,
62,40,4,,2,,114.67793650793651,
63,50,1,Gj7,2,,115.11213151927437,
63,42,2,,2,,115.5451700680272,
63,47,3,,2,,115.93337868480725,
63,51,4,,2,,116.37485260770976,
64,52,1,A-7,2,,116.7804761904762,
64,52,2,,2,,117.22430839002267,
64,45,3,D7,2,,117.6573469387755,
64,37,4,,2,,118.09902494331065,
65,50,1,Gj7,3,A1,118.5146485260771,
65,50,2,,3,,118.94807256235828,
65,50,3,,3,,119.35056689342403,
65,50,4,,3,,119.77795918367347,
66,50,1,,3,,120.20968253968255,
66,42,2,,3,,120.62528344671202,
66,43,3,,3,,121.03113378684807,
66,44,4,,3,,121.44451247165533,
67,45,1,,3,,121.86015873015873,
67,50,2,,3,,122.27455782312926,
67,49,3,,3,,122.71712018140589,
67,37,4,,3,,123.13371882086167,
68,50,1,,3,,123.5265306122449,
68,47,2,,3,,123.97106575963718,
68,45,3,,3,,124.3771201814059,
68,43,4,,3,,124.77290249433106,
69,42,1,,3,,125.20587301587301,
69,42,2,,3,,125.63006802721088,
69,45,3,,3,,126.0456462585034,
69,45,4,,3,,126.46981859410431,
70,44,1,Bbo,3,,126.88521541950114,
70,44,2,,3,,127.3087074829932,
70,41,3,,3,,127.73274376417234,
70,50,4,,3,,128.14816326530612,
71,52,1,A-7,3,,128.57145124716553,
71,42,2,,3,,128.98580498866212,
71,42,3,,3,,129.40131519274377,
71,39,4,,3,,129.842925170068,
