bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,43,1,,0,I1,53.722244897959186,
-1,43,2,,0,,54.496757369614514,
-1,48,3,,0,,55.29641723356009,
-1,48,4,,0,,56.06562358276644,
0,41,1,,0,,56.89027210884354,
0,37,2,,0,,57.66922902494331,
0,43,3,,0,,58.54283446712018,
0,48,4,NC,0,,59.36625850340136,
1,41,1,Bbj7,1,A1,60.181111111111115,4/4
1,45,2,,1,,60.9547619047619,
1,50,3,G7,1,,61.80437641723356,
1,37,4,,1,,62.62249433106576,
2,43,1,C-7,1,,63.427460317460316,
2,37,2,,1,,64.21102040816326,
2,43,3,,1,,64.99265306122449,
2,37,4,,1,,65.76981859410431,
3,51,1,Ab7,1,,66.52517006802721,
3,37,2,,1,,67.32036281179138,
3,50,3,G7,1,,68.16362811791383,
3,37,4,,1,,68.97818594104308,
4,43,1,C7,1,,69.79224489795918,
4,37,2,,1,,70.5667573696145,
4,37,3,,1,,71.39591836734694,
4,50,4,,1,,72.22857142857143,
5,43,1,C-7,1,,73.06789115646258,
5,37,2,,1,,73.8828798185941,
5,48,3,F7,1,,74.69124716553289,
5,37,4,,1,,75.47113378684807,
6,43,1,Am7b5,1,,76.29487528344671,
6,37,2,,1,,77.09437641723356,
6,48,3,D7,1,,77.91795918367347,
6,45,4,,1,,78.75231292517007,
7,50,1,G-7,1,,79.570589569161,
7,37,2,,1,,80.36995464852608,
7,43,3,C7,1,,81.20344671201813,
7,37,4,,1,,82.02791383219954,
8,37,1,Gb7,1,,82.85242630385487,
8,37,2,,1,,83.66077097505669,
8,48,3,F7,1,,84.49519274376418,
8,48,4,,1,,85.29918367346939,
9,41,1,Bbj7,1,B1,86.14328798185942,
9,45,2,,1,,86.9267573696145,
9,50,3,G7,1,,87.7417006802721,
9,37,4,,1,,88.5847619047619,
10,43,1,C-7,1,,89.39954648526077,
10,37,2,,1,,90.17326530612245,
10,43,3,,1,,91.0225850340136,
10,50,4,,1,,91.81222222222222,
11,51,1,Ab7,1,,92.61102040816327,
11,37,2,,1,,93.4487074829932,
11,50,3,G7,1,,94.28863945578232,
11,50,4,,1,,95.10893424036281,
12,43,1,C7,1,,95.94650793650794,
12,37,2,,1,,96.77285714285715,
12,43,3,,1,,97.57947845804989,
12,37,4,,1,,98.41394557823129,
13,34,1,C-7,1,,99.18743764172335,
13,37,2,,1,,99.9924716553288,
13,43,3,Db-7,1,,100.81049886621315,
13,37,4,,1,,101.59040816326531,
14,48,1,Bbj7,1,,102.40433106575964,
14,37,2,Ebj7,1,,103.19410430839002,
14,47,3,G-7,1,,104.03730158730158,
14,50,4,C7,1,,104.86197278911564,
15,43,1,Gb7,1,,105.68002267573696,
15,37,2,,1,,106.49832199546485,
15,37,3,F7,1,,107.32834467120182,
15,37,4,,1,,108.182358276644,
16,41,1,Bb6,1,,109.00408163265305,
16,37,2,,1,,109.78589569160998,
16,48,3,,1,,110.59498866213151,
16,48,4,,1,,111.35467120181406,
17,41,1,Bbj7,2,A1,112.198820861678,
17,45,2,,2,,113.03215419501134,
17,50,3,G7,2,,113.87632653061225,
17,50,4,,2,,114.66517006802721,
18,43,1,C-7,2,,115.4645351473923,
18,50,2,,2,,116.29820861678004,
18,38,3,,2,,117.11020408163266,
18,43,4,,2,,117.9660544217687,
19,51,1,Ab7,2,,118.77510204081632,
19,51,2,,2,,119.58925170068028,
19,50,3,G7,2,,120.38868480725624,
19,50,4,,2,,121.23190476190476,
20,43,1,C7,2,,122.04659863945578,
20,50,2,,2,,122.8551700680272,
20,47,3,,2,,123.67959183673469,
20,43,4,,2,,124.45877551020408,
21,43,1,C-7,2,,125.26809523809524,
21,43,2,,2,,126.05691609977325,
21,48,3,F7,2,,126.84655328798186,
21,48,4,,2,,127.66036281179139,
22,37,1,Am7b5,2,,128.479410430839,
22,43,2,,2,,129.26834467120182,
22,48,3,D7,2,,130.05798185941043,
22,45,4,,2,,130.82721088435375,
23,50,1,G-7,2,,131.6616553287982,
23,50,2,,2,,132.43519274376416,
23,43,3,C7,2,,133.2402267573696,
23,43,4,,2,,134.07362811791384,
24,37,1,Gb7,2,,134.8831292517007,
24,37,2,,2,,135.66839002267574,
24,48,3,F7,2,,136.42448979591836,
24,48,4,,2,,137.2209297052154,
25,41,1,Bbj7,2,B1,138.05532879818594,
25,37,2,,2,,138.83882086167802,
25,50,3,G7,2,,139.68848072562358,
25,50,4,,2,,140.48691609977325,
26,43,1,C-7,2,,141.3115873015873,
26,50,2,,2,,142.11020408163265,
26,51,3,,2,,142.90979591836734,
26,43,4,,2,,143.6984807256236,
27,51,1,Ab7,2,,144.49709750566893,
27,51,2,,2,,145.2771201814059,
27,50,3,G7,2,,146.08562358276643,
27,50,4,,2,,146.92004535147393,
28,43,1,C7,2,,147.74857142857144,
28,43,2,,2,,148.58768707482994,
28,50,3,,2,,149.3417006802721,
28,43,4,,2,,150.1370068027211,
29,47,1,C-7,2,,150.9356462585034,
29,42,2,,2,,151.7004081632653,
29,43,3,Db-7,2,,152.48979591836735,
29,43,4,,2,,153.27857142857144,
30,48,1,Bbj7,2,,154.07795918367347,
30,43,2,Ebj7,2,,154.9016553287982,
30,48,3,G-7,2,,155.718820861678,
30,50,4,C7,2,,156.5245351473923,
31,43,1,Gb7,2,,157.26981859410432,
31,43,2,,2,,158.0387755102041,
31,48,3,F7,2,,158.8581179138322,
31,48,4,,2,,159.68979591836734,
32,41,1,Bb6,2,,160.47163265306122,
32,37,2,,2,,161.28,
32,43,3,,2,,162.09478458049887,
32,48,4,,2,,162.89331065759637,
33,41,1,Bbj7,3,A1,163.72390022675737,
