bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,51,1,Abj7,1,A1,2.1013378684807256,4/4
1,51,2,,1,,2.337687074829932,
1,51,3,,1,,2.562222222222222,
1,51,4,,1,,2.7841950113378684,
2,47,1,,1,,3.013560090702948,
2,40,2,,1,,3.2357596371882087,
2,40,3,,1,,3.4805442176870747,
2,45,4,,1,,3.7004308390022675,
3,51,1,,1,,3.941519274376417,
3,51,2,,1,,4.172312925170068,
3,51,3,,1,,4.3973015873015875,
3,47,4,,1,,4.608412698412699,
4,47,1,,1,,4.843219954648526,
4,33,2,,1,,5.080113378684807,
4,33,3,,1,,5.298662131519275,
4,34,4,,1,,5.514240362811791,
5,43,1,C-7,1,,5.740272108843538,
5,43,2,,1,,5.965714285714285,
5,47,3,,1,,6.179977324263039,
5,34,4,,1,,6.3920634920634924,
6,47,1,,1,,6.622857142857143,
6,50,2,,1,,6.850226757369614,
6,50,3,,1,,7.083242630385487,
6,42,4,,1,,7.32297052154195,
7,43,1,,1,,7.549705215419501,
7,43,2,,1,,7.77843537414966,
7,42,3,,1,,8.01673469387755,
7,42,4,,1,,8.245578231292518,
8,43,1,,1,,8.465873015873015,
8,42,2,,1,,8.681972789115646,
8,43,3,,1,,8.907800453514739,
8,43,4,,1,,9.121678004535147,
9,47,1,Db7,1,,9.359410430839002,
9,44,2,,1,,9.58235827664399,
9,44,3,,1,,9.819705215419502,
9,44,4,,1,,10.039773242630385,
10,34,1,,1,,10.25891156462585,
10,51,2,,1,,10.486213151927437,
10,51,3,,1,,10.712222222222222,
10,47,4,,1,,10.956961451247166,
11,34,1,,1,,11.174625850340137,
11,44,2,,1,,11.41095238095238,
11,34,3,,1,,11.639705215419502,
11,51,4,,1,,11.857845804988662,
12,51,1,,1,,12.07482993197279,
12,40,2,,1,,12.276190476190477,
12,45,3,,1,,12.517709750566894,
12,50,4,,1,,12.73798185941043,
13,34,1,Eb7,1,,12.962471655328798,
13,34,2,,1,,13.180884353741497,
13,34,3,,1,,13.404399092970522,
13,34,4,,1,,13.631678004535148,
14,34,1,,1,,13.853605442176871,
14,41,2,,1,,14.070158730158731,
14,34,3,,1,,14.28297052154195,
14,42,4,,1,,14.522834467120182,
15,34,1,,1,,14.752403628117914,
15,34,2,,1,,14.970453514739228,
15,34,3,,1,,15.188934240362812,
15,42,4,,1,,15.424557823129252,
16,41,1,,1,,15.629206349206349,
16,34,2,,1,,15.84390022675737,
16,34,3,,1,,16.076122448979593,
16,42,4,,1,,16.28798185941043,
17,51,1,Abj7,1,A2,16.514172335600907,
17,51,2,,1,,16.732426303854876,
17,34,3,,1,,16.955283446712016,
17,34,4,,1,,17.17800453514739,
18,34,1,,1,,17.40206349206349,
18,41,2,,1,,17.628367346938777,
18,42,3,,1,,17.863560090702947,
18,47,4,,1,,18.095555555555556,
19,51,1,,1,,18.32873015873016,
19,51,2,,1,,18.56172335600907,
19,34,3,,1,,18.78938775510204,
19,34,4,,1,,19.024240362811792,
20,34,1,,1,,19.249546485260772,
20,34,2,,1,,19.46750566893424,
20,45,3,,1,,19.69049886621315,
20,34,4,,1,,19.91562358276644,
21,45,1,C-7,1,,20.132698412698414,
21,42,2,,1,,20.366689342403628,
21,47,3,,1,,20.59310657596372,
21,50,4,,1,,20.811065759637188,
22,42,1,,1,,21.035668934240363,
22,43,2,,1,,21.25560090702948,
22,43,3,,1,,21.488934240362813,
22,50,4,,1,,21.70417233560091,
23,43,1,,1,,21.930612244897958,
23,43,2,,1,,22.16292517006803,
23,50,3,,1,,22.383560090702947,
23,42,4,,1,,22.623945578231293,
24,42,1,,1,,22.844489795918367,
24,37,2,,1,,23.06673469387755,
24,47,3,,1,,23.27453514739229,
24,47,4,,1,,23.5159410430839,
25,44,1,Db7,1,,23.72612244897959,
25,44,2,,1,,23.944149659863946,
25,51,3,,1,,24.156643990929705,
25,51,4,,1,,24.368820861678003,
26,47,1,,1,,24.590408163265305,
26,42,2,,1,,24.785895691609976,
26,42,3,,1,,25.002108843537414,
26,51,4,,1,,25.24231292517007,
27,44,1,,1,,25.48013605442177,
27,44,2,,1,,25.708480725623584,
27,51,3,,1,,25.926802721088436,
27,51,4,,1,,26.16684807256236,
28,47,1,,1,,26.38907029478458,
28,42,2,,1,,26.612403628117914,
28,45,3,,1,,26.823832199546484,
28,45,4,,1,,27.04893424036281,
29,34,1,Eb7,1,,27.275238095238095,
29,34,2,,1,,27.49265306122449,
29,34,3,,1,,27.72532879818594,
29,42,4,,1,,27.949433106575963,
30,41,1,,1,,28.167868480725623,
30,42,2,,1,,28.397301587301587,
30,47,3,,1,,28.6265306122449,
30,41,4,,1,,28.845351473922904,
31,34,1,,1,,29.06358276643991,
31,34,2,,1,,29.27394557823129,
31,34,3,,1,,29.47827664399093,
31,45,4,,1,,29.715238095238096,
32,45,1,,1,,29.941791383219954,
32,50,2,,1,,30.17061224489796,
32,47,3,,1,,30.38437641723356,
32,34,4,,1,,30.620181405895693,
33,47,1,F-7,1,B1,30.83410430839002,
33,42,2,,1,,31.090226757369614,
33,42,3,,1,,31.29061224489796,
33,47,4,,1,,31.49562358276644,
34,47,1,,1,,31.710181405895693,
34,34,2,,1,,31.93859410430839,
34,47,3,,1,,32.161632653061226,
34,50,4,,1,,32.379274376417236,
35,51,1,,1,,32.607074829931975,
35,41,2,,1,,32.81918367346939,
35,51,3,,1,,33.04873015873016,
35,45,4,,1,,33.27083900226757,
36,50,1,,1,,33.50263038548753,
36,34,2,,1,,33.71433106575964,
36,45,3,,1,,33.92678004535147,
36,33,4,,1,,34.14344671201814,
