bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,44,2,NC,0,I1,2.1373696145124716,
-1,50,3,,0,,2.522607709750567,
-1,50,4,,0,,2.933922902494331,
0,42,1,,0,,3.30421768707483,
0,50,2,,0,,3.6842176870748298,
0,47,3,,0,,4.054489795918367,
0,42,4,,0,,4.453424036281179,
1,45,1,Bb,1,A1,4.830702947845805,4/4
1,45,2,,1,,5.204875283446712,
1,41,3,G7,1,,5.577959183673469,
1,51,4,,1,,5.932902494331066,
2,50,1,C-7,1,,6.29546485260771,
2,49,2,,1,,6.641791383219955,
2,48,3,F+7,1,,7.012925170068027,
2,33,4,,1,,7.3520408163265305,
3,45,1,Bb,1,,7.740975056689343,
3,51,2,,1,,8.155079365079365,
3,50,3,G7,1,,8.55204081632653,
3,42,4,,1,,8.892131519274377,
4,43,1,C-7,1,,9.272471655328799,
4,47,2,,1,,9.61485260770975,
4,48,3,F+7,1,,9.975079365079365,
4,37,4,,1,,10.355895691609977,
5,41,1,F-7,1,,10.748979591836735,
5,45,2,,1,,11.116643990929704,
5,50,3,Bb7,1,,11.488344671201814,
5,47,4,,1,,11.844603174603174,
6,34,1,Ebj7,1,,12.19047619047619,
6,45,2,,1,,12.603718820861678,
6,34,3,Eo,1,,12.962063492063493,
6,47,4,,1,,13.29877551020408,
7,48,1,D-7,1,,13.686825396825396,
7,51,2,,1,,14.033696145124717,
7,50,3,G+7,1,,14.43827664399093,
7,42,4,,1,,14.828253968253968,
8,43,1,C-7,1,,15.19968253968254,
8,47,2,,1,,15.565918367346939,
8,47,3,F+7,1,,15.899410430839001,
8,37,4,,1,,16.234943310657595,
9,34,1,Bb,1,A2,16.614625850340136,
9,42,2,,1,,17.022879818594106,
9,42,3,G7,1,,17.379954648526077,
9,42,4,,1,,17.76031746031746,
10,45,1,C-7,1,,18.14551020408163,
10,44,2,,1,,18.544784580498867,
10,47,3,F+7,1,,18.891133786848073,
10,44,4,,1,,19.27419501133787,
11,42,1,Bb,1,,19.64453514739229,
11,42,2,,1,,20.021541950113377,
11,44,3,G7,1,,20.387120181405894,
11,44,4,,1,,20.786643990929704,
12,43,1,C-7,1,,21.173696145124715,
12,50,2,,1,,21.559319727891157,
12,44,3,F+7,1,,21.955668934240364,
12,49,4,,1,,22.33297052154195,
13,48,1,F-7,1,,22.714081632653063,
13,42,2,,1,,23.104603174603174,
13,41,3,Bb7,1,,23.465986394557824,
13,47,4,,1,,23.84965986394558,
14,34,1,Ebj7,1,,24.223514739229024,
14,41,2,,1,,24.592517006802723,
14,50,3,Eo,1,,24.9559410430839,
14,42,4,,1,,25.324467120181406,
15,43,1,C-7,1,,25.704126984126983,
15,47,2,,1,,26.082063492063494,
15,48,3,F7,1,,26.44482993197279,
15,42,4,,1,,26.8331746031746,
16,41,1,Bb,1,,27.21825396825397,
16,48,2,,1,,27.59954648526077,
16,47,3,,1,,27.9778231292517,
16,47,4,,1,,28.34591836734694,
17,45,1,D7,1,B1,28.69448979591837,
17,49,2,,1,,29.060680272108844,
17,37,3,,1,,29.430680272108845,
17,51,4,,1,,29.802086167800454,
18,45,1,,1,,30.193628117913832,
18,50,2,,1,,30.563673469387755,
18,51,3,,1,,30.93015873015873,
18,51,4,,1,,31.338526077097505,
19,50,1,G7,1,,31.73532879818594,
19,52,2,,1,,32.09609977324263,
19,41,3,,1,,32.462108843537415,
19,52,4,,1,,32.83768707482993,
20,48,1,,1,,33.21879818594104,
20,49,2,,1,,33.59297052154195,
20,50,3,,1,,33.94789115646258,
20,42,4,,1,,34.31952380952381,
21,43,1,C7,1,,34.73621315192744,
21,45,2,,1,,35.08938775510204,
21,50,3,,1,,35.46015873015873,
21,41,4,,1,,35.835351473922906,
22,42,1,,1,,36.215714285714284,
22,43,2,,1,,36.6075283446712,
22,50,3,,1,,36.98433106575964,
22,42,4,,1,,37.32020408163265,
23,43,1,F7,1,,37.70655328798186,
23,45,2,,1,,38.08877551020408,
23,34,3,,1,,38.469092970521544,
23,47,4,,1,,38.795374149659864,
24,48,1,,1,,39.2146485260771,
24,50,2,,1,,39.56764172335601,
24,51,3,,1,,39.94009070294785,
24,34,4,,1,,40.315396825396824,
25,41,1,Bb,1,A3,40.70641723356009,
25,41,2,,1,,41.08183673469388,
25,42,3,G7,1,,41.44614512471655,
25,42,4,,1,,41.82888888888889,
26,47,1,C-7,1,,42.225147392290246,
26,47,2,,1,,42.61138321995465,
26,52,3,F+7,1,,43.01938775510204,
26,52,4,,1,,43.36732426303855,
27,45,1,Bb,1,,43.719410430839005,
27,45,2,,1,,44.096712018140586,
27,50,3,G7,1,,44.488027210884354,
27,50,4,,1,,44.852222222222224,
28,44,1,C-7,1,,45.24716553287982,
28,43,2,,1,,45.59530612244898,
28,49,3,F+7,1,,45.98920634920635,
28,48,4,,1,,46.35458049886621,
29,42,1,F-7,1,,46.75691609977324,
29,41,2,,1,,47.128185941043085,
29,50,3,Bb7,1,,47.50015873015873,
29,47,4,,1,,47.9027664399093,
30,34,1,Ebj7,1,,48.26981859410431,
30,41,2,,1,,48.64689342403628,
30,50,3,Eo,1,,49.0181179138322,
30,47,4,,1,,49.36981859410431,
31,48,1,C-7,1,,49.74049886621315,
31,51,2,,1,,50.117437641723356,
31,50,3,F7,1,,50.49671201814059,
31,45,4,,1,,50.87487528344671,
32,48,1,Bb,1,,51.23396825396826,
32,50,2,,1,,51.6040589569161,
32,42,3,,1,,51.992063492063494,
32,43,4,,1,,52.33920634920635,
33,42,1,Bb,2,A1,52.72190476190476,
33,42,2,,2,,53.10256235827664,
33,42,3,G7,2,,53.50015873015873,
33,42,4,,2,,53.87151927437642,
34,43,1,C-7,2,,54.259569160997735,
34,43,2,,2,,54.63832199546485,
34,45,3,F+7,2,,55.01292517006803,
34,34,4,,2,,55.3878231292517,
35,41,1,Bb,2,,55.75557823129252,
35,51,2,,2,,56.122630385487525,
35,51,3,G7,2,,56.51877551020408,
35,50,4,,2,,56.900453514739226,
36,49,1,C-7,2,,57.288979591836735,
36,42,2,,2,,57.657596371882086,
36,48,3,F+7,2,,58.047165532879816,
36,42,4,,2,,58.42514739229025,
37,41,1,F-7,2,,58.80482993197279,
37,34,2,,2,,59.17172335600907,
37,42,3,Bb7,2,,59.573083900226756,
37,45,4,,2,,59.934784580498864,
38,38,1,Ebj7,2,,60.30231292517007,
38,33,2,,2,,60.67700680272109,
38,33,3,Eo,2,,61.030680272108846,
38,45,4,,2,,61.40707482993197,
39,45,1,D-7,2,,61.80859410430839,
39,42,2,,2,,62.146643990929704,
39,44,3,G+7,2,,62.52342403628118,
39,44,4,,2,,62.88142857142857,
40,47,1,C-7,2,,63.26018140589569,
40,50,2,,2,,63.636984126984125,
40,47,3,F+7,2,,63.98199546485261,
40,47,4,,2,,64.34403628117914,
41,48,1,Bb,2,A2,64.74034013605443,
41,48,2,,2,,65.12321995464852,
41,41,3,G7,2,,65.49777777777778,
41,42,4,,2,,65.86480725623582,
42,34,1,C-7,2,,66.23662131519275,
42,34,2,,2,,66.57873015873015,
42,51,3,F+7,2,,66.93414965986395,
42,51,4,,2,,67.3141723356009,
43,45,1,Bb,2,,67.68083900226758,
43,45,2,,2,,68.07578231292517,
43,50,3,G7,2,,68.44240362811792,
43,44,4,,2,,68.83219954648526,
44,43,1,C-7,2,,69.1814739229025,
44,49,2,,2,,69.55684807256236,
44,48,3,F+7,2,,69.92519274376417,
44,50,4,,2,,70.28136054421769,
45,34,1,F-7,2,,70.67575963718821,
45,48,2,,2,,71.04219954648526,
45,41,3,Bb7,2,,71.37814058956916,
45,48,4,,2,,71.78401360544218,
46,34,1,Ebj7,2,,72.12859410430839,
46,37,2,,2,,72.4933560090703,
46,47,3,Eo,2,,72.86562358276645,
46,45,4,,2,,73.2429931972789,
47,47,1,C-7,2,,73.60145124716553,
47,48,2,,2,,73.98907029478458,
47,50,3,F7,2,,74.37517006802722,
47,42,4,,2,,74.7582993197279,
48,34,1,Bb,2,,75.13530612244898,
48,50,2,,2,,75.5278231292517,
48,45,3,,2,,75.88936507936508,
48,45,4,,2,,76.26791383219954,
49,45,1,D7,2,B1,76.62727891156463,
49,45,2,,2,,76.99750566893424,
49,37,3,,2,,77.37342403628118,
49,47,4,,2,,77.7385260770975,
50,52,1,,2,,78.06997732426304,
50,45,2,,2,,78.42213151927437,
50,33,3,,2,,78.77496598639456,
50,45,4,,2,,79.16018140589568,
51,34,1,G7,2,,79.52333333333333,
51,47,2,,2,,79.88775510204081,
51,42,3,,2,,80.28156462585034,
51,42,4,,2,,80.65126984126984,
52,45,1,,2,,81.03303854875283,
52,42,2,,2,,81.39195011337868,
52,45,3,,2,,81.78541950113379,
52,45,4,,2,,82.16065759637188,
53,33,1,C7,2,,82.55990929705216,
53,41,2,,2,,82.93827664399093,
53,42,3,,2,,83.31467120181406,
53,43,4,,2,,83.68566893424037,
54,45,1,,2,,84.07149659863946,
54,50,2,,2,,84.44253968253969,
54,49,3,,2,,84.8,
54,47,4,,2,,85.18179138321996,
55,48,1,F7,2,,85.59063492063493,
55,52,2,,2,,85.96800453514739,
55,42,3,,2,,86.35544217687075,
55,42,4,,2,,86.72362811791383,
56,43,1,,2,,87.10315192743764,
56,45,2,,2,,87.45022675736962,
56,50,3,,2,,87.8353514739229,
56,47,4,,2,,88.2066439909297,
57,34,1,Bb,2,A3,88.58213151927437,
57,34,2,,2,,88.95471655328798,
57,51,3,G7,2,,89.29666666666667,
57,51,4,,2,,89.68081632653062,
58,45,1,C-7,2,,90.05204081632652,
58,45,2,,2,,90.43238095238095,
58,50,3,F+7,2,,90.79260770975057,
58,50,4,,2,,91.16163265306122,
59,44,1,Bb,2,,91.568820861678,
59,44,2,,2,,91.9664172335601,
59,49,3,G7,2,,92.36126984126984,
59,49,4,,2,,92.73310657596372,
60,43,1,C-7,2,,93.14335600907029,
60,47,2,,2,,93.50873015873016,
60,48,3,F+7,2,,93.87877551020408,
60,52,4,,2,,94.2397052154195,
61,48,1,F-7,2,,94.6258276643991,
61,48,2,,2,,95.0304761904762,
61,47,3,Bb7,2,,95.39240362811792,
61,41,4,,2,,95.7667120181406,
62,34,1,Ebj7,2,,96.13795918367347,
62,34,2,,2,,96.51426303854875,
62,45,3,Eo,2,,96.86507936507937,
62,50,4,,2,,97.23578231292517,
63,42,1,C-7,2,,97.63004535147392,
63,43,2,,2,,97.9898185941043,
63,34,3,F7,2,,98.36190476190477,
63,50,4,,2,,98.71854875283447,
64,49,1,Bb,2,,99.09249433106577,
64,52,2,,2,,99.46489795918367,
64,48,3,,2,,99.80619047619048,
64,42,4,,2,,100.17249433106576,
65,42,1,Bb,2,I1,100.54716553287982,
65,41,2,,2,,100.93265306122449,
65,45,3,G7,2,,101.30462585034013,
65,45,4,,2,,101.68888888888888,
66,34,1,C-7,2,,102.07990929705215,
66,34,2,,2,,102.4377097505669,
66,47,3,F+7,2,,102.851179138322,
66,47,4,,2,,103.1939455782313,
67,47,1,Bb,2,,103.55349206349206,
67,51,2,,2,,103.95863945578232,
67,50,3,G7,2,,104.36390022675737,
67,42,4,,2,,104.75362811791383,
68,43,1,C-7,2,,105.11290249433107,
68,47,2,,2,,105.47619047619048,
68,48,3,F+7,2,,105.83684807256236,
68,48,4,,2,,106.20916099773243,
69,41,1,F-7,2,,106.56226757369615,
69,41,2,,2,,106.94095238095238,
69,37,3,Bb7,2,,107.3134693877551,
69,42,4,,2,,107.65351473922902,
70,37,1,Ebj7,2,,107.99455782312926,
70,37,2,,2,,108.33106575963718,
70,37,3,Eo,2,,108.67231292517006,
70,37,4,,2,,109.01834467120182,
71,37,1,D-7,2,,109.35736961451248,
71,37,2,,2,,109.73460317460318,
71,37,3,G+7,2,,110.10045351473923,
71,37,4,,2,,110.44521541950114,
72,37,1,C-7,2,,110.78179138321995,
72,37,2,,2,,111.13240362811791,
72,37,3,F+7,2,,111.48757369614512,
72,37,4,,2,,111.82566893424037,
73,48,1,Bb,2,I2,112.19190476190477,
73,41,2,,2,,112.55707482993198,
73,42,3,G7,2,,112.92326530612245,
73,45,4,,2,,113.28170068027211,
74,45,1,C-7,2,,113.66748299319728,
74,38,2,,2,,114.03587301587302,
74,33,3,F+7,2,,114.39294784580498,
74,47,4,,2,,114.76743764172336,
75,42,1,Bb,2,,115.15371882086168,
75,42,2,,2,,115.5441723356009,
75,47,3,G7,2,,115.9053514739229,
75,34,4,,2,,116.26324263038549,
76,42,1,C-7,2,,116.65775510204081,
76,41,2,,2,,117.00151927437642,
76,45,3,F+7,2,,117.39399092970521,
76,47,4,,2,,117.71730158730159,
77,48,1,F-7,2,,118.07877551020408,
77,48,2,,2,,118.41188208616781,
77,48,3,Bb7,2,,118.77412698412698,
77,37,4,,2,,119.16480725623583,
78,37,1,Ebj7,2,,119.54410430839002,
78,37,2,,2,,119.88557823129251,
78,47,3,Eo,2,,120.23399092970521,
78,47,4,,2,,120.61138321995465,
79,37,1,C-7,2,,120.96301587301588,
79,37,2,,2,,121.29151927437641,
79,37,3,F7,2,,121.64408163265306,
79,37,4,,2,,121.98160997732427,
80,37,1,Bb,2,,122.32430839002268,
80,37,2,,2,,122.65725623582766,
80,37,3,,2,,122.98934240362811,
80,47,4,,2,,123.31827664399093,
81,52,1,D7,2,I3,123.6346485260771,
81,45,2,,2,,124.02303854875284,
81,47,3,,2,,124.35621315192743,
81,34,4,,2,,124.75204081632653,
82,51,1,,2,,125.13727891156462,
82,51,2,,2,,125.52850340136054,
82,50,3,,2,,125.9067120181406,
82,47,4,,2,,126.28392290249433,
83,45,1,G7,2,,126.64555555555556,
83,51,2,,2,,127.03412698412698,
83,51,3,,2,,127.400589569161,
83,45,4,,2,,127.78086167800454,
84,50,1,,2,,128.12750566893425,
84,33,2,,2,,128.5012925170068,
84,41,3,,2,,128.8770068027211,
84,42,4,,2,,129.26034013605442,
85,50,1,C7,2,,129.64251700680273,
85,50,2,,2,,130.02777777777777,
85,47,3,,2,,130.39589569160998,
85,48,4,,2,,130.7840589569161,
86,47,1,,2,,131.16208616780045,
86,34,2,,2,,131.5369387755102,
86,42,3,,2,,131.91487528344672,
86,37,4,,2,,132.2898866213152,
87,47,1,F7,2,,132.6668253968254,
87,42,2,,2,,133.0009977324263,
87,37,3,,2,,133.30548752834468,
87,37,4,,2,,133.6319954648526,
88,37,1,,2,,133.9728798185941,
88,37,2,,2,,134.3126530612245,
88,37,3,,2,,134.67573696145124,
88,34,4,,2,,135.01172335600907,
89,48,1,Bb,2,I4,135.36077097505668,
89,48,2,,2,,135.71786848072563,
89,48,3,G7,2,,136.08213151927438,
89,48,4,,2,,136.44160997732428,
90,48,1,C-7,2,,136.8088888888889,
90,48,2,,2,,137.1720634920635,
90,49,3,F+7,2,,137.56408163265306,
90,49,4,,2,,137.9171201814059,
91,42,1,Bb,2,,138.29031746031745,
91,51,2,,2,,138.67068027210885,
91,51,3,G7,2,,139.04596371882087,
91,50,4,,2,,139.40573696145125,
92,47,1,C-7,2,,139.73927437641723,
92,48,2,,2,,140.0961904761905,
92,45,3,F+7,2,,140.45015873015873,
92,45,4,,2,,140.8065306122449,
93,40,1,F-7,2,,141.17104308390023,
93,37,2,,2,,141.53038548752835,
93,37,3,Bb7,2,,141.9020634920635,
93,42,4,,2,,142.25498866213152,
94,37,1,Ebj7,2,,142.6395918367347,
94,47,2,,2,,143.0442403628118,
