bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,43,1,NC,0,I1,2.071201814058957,
-1,35,2,,0,,2.427437641723356,
-1,35,3,,0,,2.779591836734694,
-1,38,4,,0,,3.1448979591836737,
0,38,1,,0,,3.4917006802721087,
0,38,2,,0,,3.828390022675737,
0,38,3,,0,,4.188299319727891,
0,39,4,,0,,4.546780045351474,
1,43,1,C-69,1,A1,4.8979591836734695,4/4
1,38,2,,1,,5.257142857142857,
1,38,3,,1,,5.626530612244898,
1,38,4,,1,,5.984943310657596,
2,44,1,Dm7b5,1,,6.373877551020408,
2,45,2,,1,,6.75891156462585,
2,38,3,G7,1,,7.121133786848072,
2,44,4,,1,,7.48843537414966,
3,43,1,Gm7b5,1,,7.859954648526077,
3,38,2,,1,,8.219863945578231,
3,43,3,C79b,1,,8.591383219954649,
3,37,4,,1,,8.962902494331066,
4,37,1,F-6,1,,9.305396825396825,
4,38,2,,1,,9.659501133786849,
4,38,3,,1,,10.013605442176871,
4,38,4,,1,,10.361904761904762,
5,45,1,Dm7b5,1,,10.727619047619047,
5,45,2,,1,,11.099138321995465,
5,37,3,,1,,11.444897959183674,
5,38,4,,1,,11.80408163265306,
6,38,1,G79b,1,,12.16734693877551,
6,45,2,,1,,12.518412698412698,
6,38,3,,1,,12.895056689342404,
6,42,4,,1,,13.273469387755101,
7,43,1,Cj7,1,,13.625056689342404,
7,38,2,,1,,13.995827664399092,
7,38,3,,1,,14.359478458049887,
7,38,4,,1,,14.726530612244899,
8,37,1,Dm7b5,1,,15.120340136054422,
8,45,2,,1,,15.481609977324263,
8,38,3,G7,1,,15.839569160997732,
8,40,4,,1,,16.19766439909297,
9,43,1,C-69,1,A2,16.561632653061224,
9,38,2,,1,,16.933151927437642,
9,40,3,,1,,17.2756462585034,
9,38,4,,1,,17.635555555555555,
10,45,1,Dm7b5,1,,18.00936507936508,
10,40,2,,1,,18.384399092970522,
10,38,3,G7,1,,18.75011337868481,
10,45,4,,1,,19.13126984126984,
11,43,1,Gm7b5,1,,19.483696145124718,
11,37,2,,1,,19.821133786848073,
11,38,3,C79b,1,,20.17358276643991,
11,38,4,,1,,20.541156462585032,
12,38,1,F-6,1,,20.897959183673468,
12,43,2,,1,,21.257142857142856,
12,45,3,,1,,21.612244897959183,
12,45,4,,1,,21.956281179138323,
