bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,45,3,NC,0,I1,1.9992290249433107,
-1,51,4,,0,,2.4953061224489796,
0,50,1,,0,,2.971814058956916,
0,44,2,,0,,3.4637641723356007,
0,43,3,,0,,3.9739909297052156,
0,50,4,,0,,4.466009070294785,
1,48,1,F7,1,A1,4.952244897959184,4/4
1,38,2,,1,,5.436326530612245,
1,37,3,,1,,5.926893424036281,
1,37,4,,1,,6.414512471655329,
2,38,1,Bb7,1,,6.902131519274376,
2,38,2,,1,,7.389750566893424,
2,42,3,,1,,7.857074829931973,
2,42,4,,1,,8.351020408163265,
3,42,1,F7,1,,8.835102040816327,
3,37,2,,1,,9.331337868480725,
3,40,3,,1,,9.822154195011338,
3,50,4,,1,,10.3237641723356,
4,48,1,,1,,10.811791383219955,
4,34,2,,1,,11.292063492063493,
4,43,3,,1,,11.778367346938776,
4,42,4,,1,,12.270113378684806,
5,41,1,Bb7,1,,12.756439909297052,
5,51,2,,1,,13.241179138321996,
5,50,3,,1,,13.734603174603174,
5,49,4,,1,,14.222222222222221,
6,48,1,,1,,14.726530612244899,
6,33,2,,1,,15.213424036281179,
6,42,3,,1,,15.72281179138322,
6,42,4,,1,,16.219138321995466,
7,43,1,F7,1,,16.70675736961451,
7,43,2,,1,,17.20469387755102,
7,42,3,,1,,17.70607709750567,
7,41,4,,1,,18.20777777777778,
8,40,1,A-7,1,,18.71922902494331,
8,34,2,,1,,19.21517006802721,
8,45,3,D7,1,,19.716802721088435,
8,51,4,,1,,20.208458049886623,
9,50,1,G-7,1,,20.714467120181407,
9,42,2,,1,,21.195532879818593,
9,45,3,,1,,21.70687074829932,
9,50,4,,1,,22.198798185941044,
10,43,1,C7,1,,22.694875283446713,
10,42,2,,1,,23.196485260770974,
10,42,3,,1,,23.698185941043082,
10,37,4,,1,,24.184444444444445,
11,52,1,F7,1,,24.67609977324263,
11,40,2,,1,,25.177755102040816,
11,45,3,D7,1,,25.673696145124715,
11,51,4,,1,,26.14061224489796,
12,50,1,G-7,1,,26.631473922902494,
12,44,2,,1,,27.107913832199547,
12,42,3,C7,1,,27.609750566893425,
12,42,4,,1,,28.111179138321994,
13,37,1,F7,2,A1,28.59755102040816,
13,38,2,,2,,29.099115646258504,
13,42,3,,2,,29.565759637188208,
13,37,4,,2,,30.05764172335601,
14,44,1,Bb7,2,,30.5437641723356,
14,37,2,,2,,31.045578231292517,
14,44,3,,2,,31.547233560090703,
14,44,4,,2,,32.04353741496599,
15,43,1,F7,2,,32.55907029478458,
15,43,2,,2,,33.02600907029478,
15,40,3,,2,,33.50251700680272,
15,41,4,,2,,33.994308390022674,
16,37,1,,2,,34.48061224489796,
16,40,2,,2,,34.99213151927437,
16,50,3,,2,,35.46852607709751,
16,50,4,,2,,35.95065759637188,
17,37,1,Bb7,2,,36.436848072562356,
17,41,2,,2,,36.91235827664399,
17,41,3,,2,,37.394444444444446,
17,42,4,,2,,37.89387755102041,
18,42,1,,2,,38.388390022675736,
18,42,2,,2,,38.89342403628118,
18,42,3,,2,,39.38009070294785,
18,42,4,,2,,39.87446712018141,
19,50,1,F7,2,,40.375510204081635,
19,41,2,,2,,40.85977324263038,
19,52,3,,2,,41.37111111111111,
19,50,4,,2,,41.88249433106576,
20,52,1,A-7,2,,42.37439909297052,
20,40,2,,2,,42.8749433106576,
20,45,3,D7,2,,43.361337868480724,
20,51,4,,2,,43.874104308390024,
21,50,1,G-7,2,,44.37428571428571,
21,52,2,,2,,44.86605442176871,
21,42,3,,2,,45.362086167800456,
21,50,4,,2,,45.840816326530614,
22,43,1,C7,2,,46.32063492063492,
22,45,2,,2,,46.78775510204082,
22,47,3,,2,,47.28900226757369,
22,50,4,,2,,47.77142857142857,
23,52,1,F7,2,,48.26734693877551,
23,40,2,,2,,48.744897959183675,
23,45,3,D7,2,,49.24371882086168,
23,51,4,,2,,49.73074829931973,
24,50,1,G-7,2,,50.224761904761905,
24,50,2,,2,,50.724104308390025,
24,43,3,C7,2,,51.23569160997732,
24,50,4,,2,,51.748979591836736,
25,38,1,F7,3,A1,52.2265306122449,
25,37,2,,3,,52.714285714285715,
25,38,3,,3,,53.21836734693878,
25,42,4,,3,,53.704081632653065,
26,37,1,Bb7,3,,54.19183673469388,
