bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,44,1,,0,I1,4.809569160997732,
-1,44,2,,0,,5.032664399092971,
-1,43,3,,0,,5.255759637188208,
-1,51,4,,0,,5.481541950113378,
0,51,1,NC,0,,5.707324263038549,
0,49,2,,0,,5.9271315192743765,
0,45,3,,0,,6.146938775510204,
0,51,4,,0,,6.366621315192743,
1,44,1,Cj7,1,A1,6.5863038548752835,4/4
1,45,2,,1,,6.814829931972789,
1,47,3,,1,,7.043356009070295,
1,49,4,,1,,7.26639455782313,
2,51,1,,1,,7.489433106575964,
2,43,2,,1,,7.718015873015873,
2,48,3,,1,,7.946598639455782,
2,51,4,,1,,8.16749433106576,
3,44,1,,1,,8.388390022675736,
3,45,2,,1,,8.60235827664399,
3,48,3,,1,,8.816326530612244,
3,49,4,,1,,9.05439909297052,
4,51,1,Eb-7,1,,9.292471655328798,
4,48,2,,1,,9.503503401360543,
4,51,3,Ab79,1,,9.71453514739229,
4,47,4,,1,,9.939829931972788,
5,45,1,D-7,1,,10.165124716553288,
5,47,2,,1,,10.383877551020408,
5,49,3,,1,,10.602630385487528,
5,50,4,,1,,10.828321995464853,
6,51,1,G7,1,,11.054013605442178,
6,51,2,,1,,11.276848072562359,
6,51,3,,1,,11.49968253968254,
6,44,4,,1,,11.72607709750567,
7,38,1,D-7,1,,11.952471655328798,
7,44,2,,1,,12.170839002267574,
7,44,3,,1,,12.389206349206349,
7,44,4,,1,,12.614920634920635,
8,51,1,G7,1,,12.84063492063492,
8,44,2,,1,,13.067006802721089,
8,51,3,,1,,13.293378684807257,
8,51,4,,1,,13.518344671201813,
9,44,1,Cj7,1,A2,13.743310657596371,
9,45,2,,1,,13.978412698412697,
9,48,3,,1,,14.213514739229025,
9,49,4,,1,,14.433378684807256,
10,51,1,,1,,14.653242630385488,
10,48,2,,1,,14.869478458049887,
10,48,3,,1,,15.085714285714285,
10,51,4,,1,,15.306848072562358,
11,44,1,,1,,15.527981859410431,
