bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,47,1,D-7,1,A1,2.1142857142857143,4/4
1,40,2,,1,,2.5235374149659866,
1,45,3,,1,,2.938775510204082,
1,47,4,,1,,3.36734693877551,
2,48,1,,1,,3.795011337868481,
2,52,2,,1,,4.2326530612244895,
2,43,3,,1,,4.6571428571428575,
2,44,4,,1,,5.067755102040817,
3,44,1,,1,,5.482086167800453,
3,32,2,,1,,5.915215419501134,
3,32,3,,1,,6.330657596371882,
3,32,4,,1,,6.754784580498867,
4,44,1,,1,,7.177868480725624,
4,44,2,,1,,7.611836734693878,
4,43,3,,1,,8.035192743764172,
4,41,4,,1,,8.459138321995464,
5,51,1,,1,,8.892086167800453,
5,50,2,,1,,9.326054421768708,
5,48,3,,1,,9.741541950113378,
5,47,4,,1,,10.16575963718821,
6,45,1,,1,,10.589024943310658,
6,43,2,,1,,11.022789115646258,
6,42,3,,1,,11.438390022675737,
6,41,4,,1,,11.861655328798186,
7,40,1,,1,,12.273469387755101,
7,42,2,,1,,12.693877551020408,
7,47,3,,1,,13.115419501133786,
7,40,4,,1,,13.538412698412698,
8,45,1,,1,,13.962380952380952,
8,47,2,,1,,14.36859410430839,
8,48,3,,1,,14.80172335600907,
8,52,4,,1,,15.20734693877551,
9,45,1,D-7,1,A2,15.631587301587302,
9,44,2,,1,,16.047278911564625,
9,43,3,,1,,16.46047619047619,
9,42,4,,1,,16.904126984126986,
10,41,1,,1,,17.33825396825397,
10,40,2,,1,,17.751519274376417,
10,45,3,,1,,18.17560090702948,
10,47,4,,1,,18.608775510204083,
11,48,1,,1,,19.024104308390022,
11,51,2,,1,,19.458185941043084,
11,43,3,,1,,19.88136054421769,
11,44,4,,1,,20.295532879818595,
12,44,1,,1,,20.738390022675738,
12,43,2,,1,,21.162607709750567,
12,45,3,,1,,21.585668934240363,
12,43,4,,1,,22.0021768707483,
13,45,1,,1,,22.41551020408163,
13,43,2,,1,,22.84938775510204,
13,42,3,,1,,23.265215419501132,
13,40,4,,1,,23.678503401360544,
14,45,1,,1,,24.09421768707483,
14,47,2,,1,,24.50829931972789,
14,48,3,,1,,24.923877551020407,
14,51,4,,1,,25.35798185941043,
15,44,1,,1,,25.77122448979592,
15,32,2,,1,,26.196643990929704,
15,32,3,,1,,26.610725623582766,
