bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,48,3,NC,0,I1,2.8910430839002266,
0,37,4,,0,,3.20437641723356,
1,49,1,Ebj7,1,A1,3.511451247165533,4/4
1,50,2,,1,,3.8095464852607708,
1,51,3,,1,,4.132607709750567,
1,40,4,,1,,4.454920634920635,
2,41,1,F-,1,,4.748684807256236,
2,42,2,,1,,5.046303854875283,
2,44,3,Bb7,1,,5.343469387755102,
2,45,4,,1,,5.671814058956916,
3,47,1,Ebj7,1,,5.989637188208617,
3,47,2,,1,,6.282448979591837,
3,48,3,,1,,6.605532879818594,
3,47,4,,1,,6.893605442176871,
4,42,1,Eb-,1,,7.206190476190476,
4,41,2,,1,,7.523809523809524,
4,51,3,Ab7,1,,7.826553287981859,
4,43,4,,1,,8.149433106575964,
5,44,1,Dbj7,1,,8.452063492063493,
5,42,2,,1,,8.780045351473923,
5,42,3,,1,,9.084807256235827,
5,44,4,,1,,9.386462585034014,
6,50,1,Go,1,,9.69344671201814,
6,42,2,,1,,9.99716553287982,
6,44,3,C7,1,,10.310272108843538,
6,37,4,,1,,10.627120181405896,
7,38,1,Fj7,1,,10.950045351473923,
7,48,2,,1,,11.263492063492064,
7,43,3,,1,,11.575986394557823,
7,38,4,,1,,11.863968253968254,
8,42,1,Fo,1,,12.196757369614513,
8,38,2,,1,,12.52859410430839,
8,41,3,Bb7,1,,12.851473922902494,
8,38,4,,1,,13.16482993197279,
9,37,1,Ebj7,1,A2,13.477414965986394,
9,44,2,,1,,13.795124716553287,
9,43,3,,1,,14.10827664399093,
9,42,4,,1,,14.411133786848072,
10,41,1,F-,1,,14.709160997732427,
10,51,2,,1,,14.996417233560091,
10,50,3,Bb7,1,,15.280453514739229,
10,48,4,,1,,15.587210884353741,
11,42,1,Ebj7,1,,15.89079365079365,
11,42,2,,1,,16.223877551020408,
11,43,3,,1,,16.53625850340136,
11,45,4,,1,,16.869297052154195,
12,42,1,Eb-,1,,17.19145124716553,
12,40,2,,1,,17.48954648526077,
12,39,3,Ab7,1,,17.80278911564626,
12,44,4,,1,,18.100045351473923,
13,44,1,Dbj7,1,,18.403356009070293,
13,44,2,,1,,18.71687074829932,
13,51,3,,1,,19.059297052154196,
13,44,4,,1,,19.37172335600907,
14,50,1,Go,1,,19.669591836734693,
14,42,2,,1,,19.972403628117913,
14,43,3,C7,1,,20.29,
14,47,4,,1,,20.603106575963718,
15,48,1,Fj7,1,,20.905850340136055,
15,38,2,,1,,21.20390022675737,
15,43,3,,1,,21.507233560090704,
15,48,4,,1,,21.824081632653062,
16,42,1,Bb79,1,,22.11793650793651,
16,51,2,,1,,22.449931972789116,
16,41,3,Eb7,1,,22.747891156462586,
16,38,4,,1,,23.06034013605442,
17,51,1,Abj7,1,B1,23.36403628117914,
17,37,2,,1,,23.681700680272108,
17,41,3,,1,,23.99410430839002,
17,37,4,,1,,24.297709750566895,
18,51,1,,1,,24.61453514739229,
18,42,2,,1,,24.90340136054422,
18,40,3,,1,,25.205260770975055,
18,39,4,,1,,25.509002267573695,
19,39,1,Ab-,1,,25.832086167800455,
19,44,2,,1,,26.149002267573696,
19,44,3,,1,,26.462403628117915,
19,42,4,,1,,26.794467120181405,
20,41,1,Db7,1,,27.088185941043083,
20,42,2,,1,,27.41140589569161,
20,51,3,,1,,27.71814058956916,
20,44,4,,1,,28.012018140589568,
21,48,1,Gbj7,1,,28.31902494331066,
21,49,2,,1,,28.63201814058957,
21,41,3,,1,,28.964943310657596,
21,41,4,,1,,29.267619047619046,
22,44,1,,1,,29.565714285714286,
22,51,2,,1,,29.868979591836734,
22,37,3,,1,,30.17609977324263,
22,43,4,,1,,30.489319727891157,
23,48,1,F-,1,,30.792244897959183,
23,43,2,,1,,31.115351473922903,
23,43,3,,1,,31.413514739229026,
23,48,4,,1,,31.71049886621315,
24,42,1,Bb7,1,,32.0140589569161,
24,51,2,,1,,32.3012925170068,
24,41,3,,1,,32.61485260770975,
24,47,4,,1,,32.928163265306125,
25,49,1,Ebj7,1,C1,33.23487528344671,
25,50,2,,1,,33.53845804988662,
25,43,3,,1,,33.86065759637188,
25,40,4,,1,,34.17834467120181,
26,37,1,F-,1,,34.48165532879818,
26,43,2,,1,,34.81448979591837,
26,43,3,Bb7,1,,35.11725623582767,
26,48,4,,1,,35.44031746031746,
27,42,1,Ebj7,1,,35.72748299319728,
27,43,2,,1,,36.025668934240365,
27,43,3,,1,,36.32936507936508,
27,45,4,,1,,36.651972789115646,
28,45,1,Eb-,1,,36.95904761904762,
28,40,2,,1,,37.282222222222224,
28,39,3,Ab7,1,,37.58498866213152,
28,44,4,,1,,37.88278911564626,
29,44,1,Dbj7,1,,38.18621315192744,
29,44,2,,1,,38.49340136054422,
29,51,3,,1,,38.80662131519274,
29,44,4,,1,,39.10945578231293,
30,50,1,Go,1,,39.39757369614512,
30,42,2,,1,,39.72959183673469,
30,44,3,C7,1,,40.03312925170068,
