bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-3,,2,F7,0,I1,0.11319727891156463,
-3,,3,,0,,0.44117913832199546,
-2,,1,,0,,0.8039909297052155,
-2,,2,,0,,1.1987301587301586,
-2,,3,,0,,1.5598185941043083,
-1,,1,,0,,1.9134013605442177,
-1,,2,,0,,2.263854875283447,
-1,,3,,0,,2.6008616780045353,
0,,1,,0,,2.933197278911565,
0,,2,,0,,3.2889795918367346,
0,,3,,0,,3.646190476190476,
1,,1,F7,1,A1,3.976417233560091,3/4
1,,2,,1,,4.330226757369615,
1,,3,,1,,4.6558730158730155,
2,,1,,1,,4.988616780045351,
2,,2,,1,,5.313854875283447,
2,,3,,1,,5.681678004535147,
3,,1,,1,,6.043038548752834,
3,,2,,1,,6.399478458049886,
3,,3,,1,,6.740861678004535,
4,,1,,1,,7.080204081632653,
4,,2,,1,,7.4124489795918365,
4,,3,,1,,7.7687074829931975,
5,,1,,1,,8.128208616780045,
5,,2,,1,,8.470385487528345,
5,,3,,1,,8.828321995464853,
6,,1,,1,,9.170045351473924,
6,,2,,1,,9.52501133786848,
6,,3,,1,,9.877052154195011,
7,,1,,1,,10.224104308390023,
7,,2,NC,1,,10.550566893424037,
7,,3,,1,,10.885170068027211,
8,,1,,1,,11.23408163265306,
8,,2,,1,,11.57904761904762,
8,,3,,1,,11.937959183673469,
9,,1,Bb7,1,,12.30077097505669,
9,,2,,1,,12.660022675736961,
9,,3,,1,,12.979954648526077,
10,,1,,1,,13.332199546485262,
10,,2,,1,,13.666462585034013,
10,,3,,1,,14.013174603174603,
11,,1,,1,,14.370249433106576,
11,,2,,1,,14.698231292517006,
11,,3,,1,,15.034920634920635,
12,,1,,1,,15.371609977324264,
12,,2,,1,,15.721360544217687,
12,,3,,1,,16.042630385487527,
13,,1,F7,1,,16.400657596371882,
13,,2,,1,,16.752585034013606,
13,,3,,1,,17.09308390022676,
14,,1,,1,,17.453832199546486,
14,,2,,1,,17.795600907029478,
14,,3,,1,,18.11888888888889,
15,,1,,1,,18.477278911564625,
15,,2,,1,,18.833242630385488,
15,,3,,1,,19.170521541950112,
16,,1,,1,,19.47902494331066,
16,,2,,1,,19.813492063492063,
16,,3,,1,,20.152562358276644,
17,,1,Bb7,1,,20.47419501133787,
17,,2,,1,,20.82829931972789,
17,,3,,1,,21.194013605442176,
18,,1,,1,,21.552698412698412,
18,,2,,1,,21.916009070294784,
18,,3,,1,,22.271156462585033,
19,,1,,1,,22.617732426303856,
19,,2,A7,1,,22.944444444444443,
19,,3,,1,,23.285963718820863,
20,,1,,1,,23.65716553287982,
20,,2,,1,,24.01340136054422,
20,,3,,1,,24.365532879818595,
21,,1,Ab7,1,,24.687414965986395,
21,,2,,1,,25.022925170068028,
21,,3,,1,,25.34578231292517,
22,,1,,1,,25.701632653061225,
22,,2,,1,,26.054739229024943,
22,,3,,1,,26.401859410430838,
23,,1,G7,1,,26.752902494331067,
23,,2,,1,,27.09358276643991,
23,,3,,1,,27.438412698412698,
24,,1,,1,,27.80061224489796,
24,,2,,1,,28.147006802721087,
24,,3,,1,,28.4718820861678,
25,,1,Ab7,1,,28.823356009070295,
25,,2,,1,,29.176530612244896,
25,,3,,1,,29.512562358276643,
26,,1,,1,,29.84419501133787,
26,,2,,1,,30.19174603174603,
26,,3,,1,,30.53424036281179,
27,,1,G7,1,,30.89829931972789,
27,,2,,1,,31.239002267573696,
27,,3,,1,,31.563832199546486,
28,,1,C7,1,,31.905895691609977,
28,,2,,1,,32.251179138321994,
28,,3,,1,,32.61823129251701,
29,,1,F7,1,,32.99612244897959,
29,,2,F7,1,,33.34743764172335,
29,,3,,1,,33.69891156462585,
30,,1,,1,,34.03142857142857,
30,,2,,1,,34.35907029478458,
30,,3,,1,,34.70532879818594,
31,,1,,1,,35.06705215419501,
31,,2,,1,,35.416054421768706,
31,,3,,1,,35.77002267573696,
32,,1,,1,,36.11943310657596,
32,,2,,1,,36.46192743764173,
32,,3,,1,,36.7937641723356,
33,,1,F7,2,A1,37.16424036281179,
33,,2,,2,,37.512358276643994,
33,,3,,2,,37.86439909297052,
34,,1,,2,,38.209750566893426,
34,,2,,2,,38.55922902494331,
34,,3,,2,,38.88283446712018,
35,,1,,2,,39.24628117913832,
35,,2,,2,,39.59777777777778,
35,,3,,2,,39.93888888888889,
36,,1,,2,,40.299886621315196,
36,,2,,2,,40.62331065759637,
36,,3,,2,,40.97160997732426,
37,,1,,2,,41.316099773242634,
37,,2,,2,,41.65104308390023,
37,,3,,2,,41.990702947845804,
