bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,47,4,NC,0,I1,4.509297052154195,
0,48,1,,0,,5.032925170068027,
0,50,2,,0,,5.54172335600907,
0,51,3,,0,,6.05312925170068,
0,38,4,,0,,6.564671201814059,
1,43,1,C7,1,A1,7.0856009070294785,4/4
1,38,2,,1,,7.606848072562358,
1,37,3,,1,,8.118072562358277,
1,43,4,,1,,8.644829931972788,
2,48,1,F7,1,,9.159183673469387,
2,48,2,,1,,9.66530612244898,
2,49,3,,1,,10.187777777777777,
2,49,4,,1,,10.709070294784581,
3,50,1,C7,1,,11.23031746031746,
3,52,2,,1,,11.72607709750567,
3,37,3,,1,,12.253015873015872,
3,42,4,,1,,12.764308390022675,
4,43,1,C7,1,,13.246349206349207,
4,44,2,,1,,13.734603174603174,
4,37,3,,1,,14.269183673469387,
4,43,4,,1,,14.770839002267573,
5,38,1,F7,1,,15.26687074829932,
5,43,2,,1,,15.77827664399093,
5,42,3,,1,,16.304943310657595,
5,44,4,,1,,16.8259410430839,
6,43,1,,1,,17.30467120181406,
6,38,2,,1,,17.803242630385487,
6,38,3,,1,,18.32439909297052,
6,51,4,,1,,18.826009070294784,
7,50,1,C7,1,,19.342222222222222,
7,50,2,,1,,19.835646258503402,
7,48,3,,1,,20.345034013605442,
7,50,4,,1,,20.852063492063493,
8,47,1,E-7,1,,21.339138321995463,
8,47,2,,1,,21.830090702947846,
8,40,3,A7,1,,22.351020408163265,
8,38,4,,1,,22.84734693877551,
9,45,1,D-7,1,,23.32938775510204,
9,48,2,,1,,23.825555555555557,
9,52,3,,1,,24.326009070294784,
9,45,4,,1,,24.822131519274375,
10,50,1,G7,1,,25.339115646258502,
10,51,2,,1,,25.850589569161,
10,38,3,,1,,26.361768707482995,
10,44,4,,1,,26.863401360544216,
11,43,1,C7,1,,27.374965986394557,
11,50,2,,1,,27.876485260770973,
11,47,3,A7,1,,28.38639455782313,
11,38,4,,1,,28.90893424036281,
12,45,1,D-7,1,,29.42045351473923,
12,48,2,,1,,29.931541950113377,
12,50,3,G7,1,,30.443151927437643,
12,51,4,,1,,30.964308390022676,
13,43,1,C7,2,A1,31.474648526077097,
13,42,2,,2,,31.997097505668933,
13,37,3,,2,,32.52344671201814,
13,38,4,,2,,33.0543537414966,
14,38,1,F7,2,,33.575646258503404,
14,37,2,,2,,34.1021768707483,
14,37,3,,2,,34.62342403628118,
14,38,4,,2,,35.10879818594104,
15,43,1,C7,2,,35.63548752834467,
15,43,2,,2,,36.137142857142855,
15,38,3,,2,,36.64829931972789,
15,38,4,,2,,37.15414965986395,
16,43,1,C7,2,,37.636213151927436,
16,38,2,,2,,38.128027210884355,
16,50,3,,2,,38.62408163265306,
16,49,4,,2,,39.12571428571429,
17,48,1,F7,2,,39.61757369614512,
17,43,2,,2,,40.11365079365079,
17,45,3,,2,,40.62512471655329,
17,47,4,,2,,41.128344671201816,
18,48,1,,2,,41.646961451247165,
18,52,2,,2,,42.13873015873016,
18,43,3,,2,,42.6550566893424,
18,38,4,,2,,43.15167800453515,
19,43,1,C7,2,,43.66301587301587,
19,43,2,,2,,44.19403628117914,
19,48,3,,2,,44.69260770975057,
19,43,4,,2,,45.206984126984125,
20,51,1,E-7,2,,45.727981859410434,
20,47,2,,2,,46.21993197278911,
20,47,3,A7,2,,46.75077097505669,
20,51,4,,2,,47.26215419501134,
21,45,1,D-7,2,,47.77367346938775,
21,48,2,,2,,48.25573696145125,
21,52,3,,2,,48.7502947845805,
21,43,4,,2,,49.272947845804985,
22,51,1,G7,2,,49.766167800453516,
22,45,2,,2,,50.28281179138322,
22,50,3,,2,,50.770430839002266,
22,42,4,,2,,51.265306122448976,
23,43,1,C7,2,,51.75918367346939,
23,47,2,,2,,52.25650793650794,
23,52,3,A7,2,,52.761541950113376,
23,47,4,,2,,53.2891156462585,
24,45,1,D-7,2,,53.777414965986395,
24,48,2,,2,,54.276916099773246,
24,50,3,A7,2,,54.76326530612245,
24,38,4,,2,,55.24607709750567,
25,43,1,C7,3,A1,55.739501133786845,
25,43,2,,3,,56.23242630385487,
25,38,3,,3,,56.73215419501134,
25,43,4,,3,,57.27040816326531,
