bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,51,4,D7,0,I1,1.4653061224489796,
1,50,1,Gj7,1,A1,2.3183673469387753,4/4
1,47,2,,1,,3.141156462585034,
1,45,3,,1,,4.043605442176871,
1,43,4,,1,,4.92843537414966,
2,42,1,,1,,5.77687074829932,
2,45,2,,1,,6.606780045351474,
2,50,3,,1,,7.53469387755102,
2,50,4,,1,,8.431065759637189,
3,41,1,Bb-7,1,,9.297551020408163,
3,34,2,,1,,10.136371882086168,
3,41,3,,1,,10.966145124716553,
3,50,4,,1,,11.813174603174604,
4,41,1,Eb7,1,,12.67015873015873,
4,38,2,,1,,13.546734693877552,
4,45,3,,1,,14.41326530612245,
4,51,4,,1,,15.25031746031746,
5,50,1,Gj7,1,,16.099931972789115,
5,45,2,,1,,16.95657596371882,
5,38,3,,1,,17.795895691609978,
5,45,4,,1,,18.643265306122448,
6,44,1,,1,,19.547755102040817,
6,50,2,,1,,20.422108843537416,
6,45,3,,1,,21.251836734693878,
6,48,4,,1,,22.11843537414966,
7,47,1,B-7,1,,22.985283446712018,
7,47,2,,1,,23.887619047619047,
7,38,3,,1,,24.75453514739229,
7,51,4,,1,,25.666235827664398,
8,47,1,E7,1,,26.51358276643991,
8,42,2,,1,,27.390068027210884,
8,47,3,,1,,28.229342403628117,
8,41,4,,1,,29.114399092970523,
9,40,1,A-7,1,,29.99843537414966,
9,47,2,,1,,30.883605442176872,
9,43,3,,1,,31.73063492063492,
9,40,4,,1,,32.64421768707483,
10,38,1,E7,1,,33.50126984126984,
10,34,2,,1,,34.33845804988662,
10,47,3,,1,,35.23331065759637,
10,51,4,,1,,36.09018140589569,
11,38,1,A-7,1,,36.96684807256236,
11,43,2,,1,,37.82530612244898,
11,42,3,,1,,38.708730158730155,
11,38,4,,1,,39.54814058956916,
12,43,1,,1,,40.422267573696146,
12,38,2,,1,,41.279274376417234,
12,51,3,,1,,42.118707482993194,
12,50,4,,1,,43.04074829931973,
13,41,1,Eb7,1,,43.9437641723356,
13,34,2,,1,,44.889977324263036,
13,41,3,,1,,45.786916099773244,
13,50,4,,1,,46.643741496598636,
14,40,1,,1,,47.500566893424036,
14,38,2,,1,,48.38575963718821,
14,41,3,,1,,49.24267573696145,
14,34,4,,1,,50.13668934240363,
15,45,1,A-7,1,,51.02156462585034,
15,47,2,,1,,51.93517006802721,
15,49,3,,1,,52.800498866213154,
15,37,4,,1,,53.661315192743764,
16,51,1,D7,1,,54.57099773242631,
16,38,2,,1,,55.5012925170068,
16,51,3,,1,,56.40707482993197,
16,40,4,,1,,57.307482993197276,
17,50,1,Gj7,1,B1,58.156893424036284,
17,47,2,,1,,59.04927437641723,
17,45,3,,1,,59.953151927437645,
17,40,4,,1,,60.820566893424036,
18,50,1,,1,,61.77718820861678,
18,45,2,,1,,62.682040816326534,
18,50,3,,1,,63.55614512471655,
18,50,4,,1,,64.44136054421769,
19,41,1,Bb-7,1,,65.38074829931973,
19,34,2,,1,,66.22027210884353,
19,41,3,,1,,67.09655328798186,
19,50,4,,1,,68.02866213151927,
20,41,1,Eb7,1,,68.95861678004535,
20,38,2,,1,,69.85145124716553,
20,39,3,,1,,70.73766439909296,
20,45,4,,1,,71.62179138321996,
21,50,1,Gj7,1,,72.51650793650794,
21,47,2,,1,,73.43637188208616,
21,45,3,,1,,74.31278911564625,
21,43,4,,1,,75.24342403628118,
22,50,1,,1,,76.1201133786848,
22,40,2,,1,,77.01378684807256,
22,50,3,,1,,77.8989342403628,
22,45,4,,1,,78.84814058956916,
23,47,1,B-7,1,,79.74065759637188,
23,47,2,,1,,80.68219954648526,
23,38,3,,1,,81.55646258503401,
23,51,4,,1,,82.46120181405895,
24,47,1,E7,1,,83.3463492063492,
24,42,2,,1,,84.259410430839,
24,47,3,,1,,85.16498866213152,
24,41,4,,1,,86.06476190476191,
25,40,1,A-7,1,,86.91147392290249,
25,47,2,,1,,87.76081632653062,
25,43,3,,1,,88.67312925170069,
25,40,4,,1,,89.5397052154195,
26,38,1,E7,1,,90.39689342403628,
26,34,2,,1,,91.2892970521542,
26,47,3,,1,,92.18333333333334,
26,51,4,,1,,93.09555555555555,
27,37,1,A-7,1,,93.9718820861678,
27,42,2,,1,,94.89399092970521,
27,43,3,,1,,95.80603174603175,
27,37,4,,1,,96.71836734693878,
28,38,1,C-6,1,,97.62249433106577,
28,41,2,,1,,98.57097505668935,
28,34,3,,1,,99.49242630385487,
28,47,4,,1,,100.38646258503401,
29,45,1,B-7,1,,101.30850340136054,
29,47,2,,1,,102.24873015873015,
29,40,3,Bbo,1,,103.19784580498866,
29,41,4,,1,,104.07319727891156,
30,40,1,A-7,1,,104.97678004535148,
30,43,2,,1,,105.91621315192744,
30,33,3,D7,1,,106.77412698412698,
30,51,4,,1,,107.64079365079365,
31,50,1,G6,1,,108.58990929705216,
31,47,2,,1,,109.53916099773242,
31,43,3,,1,,110.41433106575964,
31,38,4,,1,,111.33637188208617,
32,33,1,A-7,1,,112.2487074829932,
32,47,2,,1,,113.14244897959183,
32,33,3,D7,1,,114.09256235827664,
32,51,4,,1,,115.02204081632654,
33,50,1,Gj7,2,A1,115.91696145124716,
33,47,2,,2,,116.86616780045351,
