bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,48,1,Bbj7,1,A1,3.016689342403628,4/4
1,51,2,,1,,3.3469387755102042,
1,51,3,G7,1,,3.680362811791383,
1,51,4,,1,,4.026530612244898,
2,51,1,C-7,1,,4.375510204081633,
2,51,2,,1,,4.708163265306123,
2,48,3,F7,1,,5.055102040816327,
2,51,4,,1,,5.387755102040816,
3,41,1,Bbj7,1,,5.740816326530612,
3,48,2,,1,,6.087755102040816,
3,51,3,G7,1,,6.422448979591837,
3,45,4,,1,,6.757142857142857,
4,42,1,C-7,1,,7.083673469387755,
4,51,2,,1,,7.428571428571429,
4,48,3,F7,1,,7.773469387755102,
4,51,4,,1,,8.116326530612245,
5,45,1,Bbj7,1,,8.455102040816326,
5,48,2,,1,,8.79795918367347,
5,51,3,Bb7,1,,9.128049886621316,
5,51,4,,1,,9.456462585034014,
6,51,1,Eb6,1,,9.799183673469388,
6,51,2,,1,,10.147120181405896,
6,37,3,Eb-7,1,,10.478004535147392,
6,38,4,,1,,10.812471655328798,
7,37,1,Bbj7,1,,11.13469387755102,
7,38,2,,1,,11.457709750566893,
7,37,3,G7,1,,11.78984126984127,
7,37,4,,1,,12.13265306122449,
8,38,1,C-7,1,,12.480680272108843,
8,37,2,F7,1,,12.812630385487529,
8,48,3,Bbj7,1,,13.135827664399093,
8,37,4,,1,,13.467664399092971,
9,51,1,Bb,1,A2,13.82575963718821,
9,37,2,,1,,14.158639455782312,
9,37,3,G7,1,,14.506122448979593,
9,40,4,,1,,14.846938775510203,
10,42,1,C-7,1,,15.19795918367347,
10,37,2,,1,,15.557142857142857,
10,38,3,F7,1,,15.912244897959184,
10,37,4,,1,,16.23673469387755,
11,37,1,Bbj7,1,,16.581632653061224,
11,51,2,,1,,16.922448979591838,
11,50,3,G7,1,,17.26938775510204,
11,50,4,,1,,17.60408163265306,
12,51,1,C-7,1,,17.930612244897958,
12,51,2,,1,,18.275510204081634,
12,38,3,F7,1,,18.614285714285714,
12,48,4,,1,,18.961224489795917,
13,45,1,Bbj7,1,,19.29795918367347,
13,51,2,,1,,19.63877551020408,
13,43,3,Bb7,1,,19.985714285714284,
13,48,4,,1,,20.33469387755102,
14,51,1,Eb6,1,,20.707482993197278,
14,51,2,,1,,21.064648526077097,
14,51,3,Eb-7,1,,21.407278911564624,
14,38,4,,1,,21.748866213151928,
15,48,1,Bbj7,1,,22.097256235827665,
15,42,2,,1,,22.430090702947847,
15,45,3,G7,1,,22.77267573696145,
15,48,4,,1,,23.129659863945577,
16,51,1,C-7,1,,23.48777777777778,
16,48,2,F7,1,,23.829478458049888,
16,48,3,Bbj7,1,,24.166167800453515,
16,38,4,,1,,24.50081632653061,
17,37,1,D7,1,B1,24.836643990929705,
17,51,2,,1,,25.155895691609977,
17,51,3,,1,,25.498321995464853,
17,49,4,,1,,25.84673469387755,
18,48,1,,1,,26.188548752834468,
18,48,2,,1,,26.53061224489796,
18,45,3,,1,,26.88814058956916,
18,39,4,,1,,27.246190476190478,
19,42,1,G7,1,,27.588798185941044,
19,37,2,,1,,27.930725623582767,
19,50,3,,1,,28.278798185941042,
19,37,4,,1,,28.621519274376418,
20,37,1,,1,,28.953537414965986,
20,51,2,,1,,29.282448979591837,
20,43,3,,1,,29.61403628117914,
20,43,4,,1,,29.946961451247166,
21,50,1,C7,1,,30.305034013605443,
21,50,2,,1,,30.64766439909297,
21,50,3,,1,,30.979365079365078,
21,51,4,,1,,31.337278911564624,
22,42,1,,1,,31.67018140589569,
22,37,2,,1,,32.02736961451247,
22,50,3,,1,,32.36281179138322,
22,51,4,,1,,32.70292517006803,
23,41,1,F7,1,,33.02519274376417,
23,51,2,,1,,33.367936507936506,
23,51,3,,1,,33.69548752834467,
23,37,4,,1,,34.038049886621316,
24,51,1,,1,,34.37714285714286,
24,37,2,,1,,34.718049886621316,
24,42,3,,1,,35.07054421768707,
24,50,4,,1,,35.4284126984127,
25,47,1,Bbj7,1,A3,35.786303854875285,
25,37,2,,1,,36.13024943310658,
25,45,3,G7,1,,36.48979591836735,
25,50,4,,1,,36.851020408163265,
26,47,1,C-7,1,,37.19560090702948,
26,48,2,,1,,37.52848072562358,
26,43,3,F7,1,,37.86530612244898,
26,50,4,,1,,38.19907029478458,
27,48,1,Bbj7,1,,38.531950113378684,
27,51,2,,1,,38.86392290249433,
27,45,3,G7,1,,39.21650793650794,
27,42,4,,1,,39.564467120181405,
28,51,1,C-7,1,,39.916326530612245,
28,50,2,,1,,40.26421768707483,
28,51,3,F7,1,,40.59428571428571,
28,38,4,,1,,40.926530612244896,
29,45,1,Bbj7,1,,41.28725623582766,
29,37,2,,1,,41.615963718820865,
29,37,3,Bb7,1,,41.96426303854875,
29,51,4,,1,,42.324172335600906,
30,51,1,Eb6,1,,42.676916099773244,
30,48,2,,1,,43.01959183673469,
30,37,3,Eb-7,1,,43.35263038548753,
30,37,4,,1,,43.68571428571428,
31,48,1,Bbj7,1,,44.042857142857144,
31,48,2,,1,,44.406122448979595,
31,47,3,G7,1,,44.76807256235828,
31,47,4,,1,,45.12539682539683,
32,45,1,C-7,1,,45.46902494331066,
32,37,2,F7,1,,45.815283446712016,
32,48,3,Bbj7,1,,46.14814058956916,
32,50,4,,1,,46.489773242630385,
33,48,1,Bbj7,2,A1,46.83265306122449,
33,51,2,,2,,47.179591836734694,
33,51,3,G7,2,,47.53705215419501,
33,51,4,,2,,47.89027210884354,
