bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,37,4,,0,I1,2.258503401360544,
0,48,1,,0,,2.5309750566893423,
0,42,2,,0,,2.7896371882086166,
0,37,3,,0,,3.068185941043084,
0,37,4,,0,,3.3164172335600908,
1,47,1,Bb,1,A1,3.5698185941043086,4/4
1,37,2,,1,,3.8376643990929704,
1,40,3,G7,1,,4.096530612244898,
1,37,4,,1,,4.374399092970521,
2,37,1,C-7,1,,4.6177777777777775,
2,42,2,,1,,4.886643990929705,
2,37,3,F7,1,,5.139115646258503,
2,37,4,,1,,5.406916099773243,
3,38,1,Bbj7,1,,5.6755328798185944,
3,37,2,,1,,5.938548752834467,
3,51,3,G7,1,,6.217052154195011,
3,38,4,,1,,6.494557823129251,
4,38,1,C-7,1,,6.763401360544218,
4,50,2,,1,,7.040952380952381,
4,48,3,F7,1,,7.318367346938776,
4,44,4,,1,,7.595918367346939,
5,48,1,Bbj7,1,,7.865668934240363,
5,50,2,,1,,8.153197278911565,
5,51,3,Bb7,1,,8.431473922902494,
5,37,4,,1,,8.709138321995464,
6,43,1,Eb7,1,,8.977868480725624,
6,42,2,,1,,9.241043083900227,
6,38,3,Ab7,1,,9.496961451247165,
6,39,4,,1,,9.742607709750567,
7,37,1,D-7,1,,10.000634920634921,
7,47,2,,1,,10.26390022675737,
7,48,3,G7,1,,10.531746031746032,
7,48,4,,1,,10.79063492063492,
8,48,1,C-7,1,,11.058616780045352,
8,38,2,,1,,11.321768707482994,
8,47,3,F7,1,,11.570045351473922,
8,48,4,,1,,11.823673469387755,
9,45,1,Bbj7,1,A2,12.076122448979591,
9,45,2,,1,,12.334058956916099,
9,50,3,G7,1,,12.602947845804989,
9,42,4,,1,,12.86532879818594,
10,37,1,C-7,1,,13.13408163265306,
10,50,2,,1,,13.392018140589569,
10,48,3,F7,1,,13.670770975056689,
10,48,4,,1,,13.933106575963718,
11,51,1,Bbj7,1,,14.191927437641723,
11,48,2,,1,,14.459909297052155,
11,50,3,G7,1,,14.728616780045352,
11,44,4,,1,,15.006213151927438,
12,47,1,C-7,1,,15.269365079365079,
12,48,2,,1,,15.537324263038549,
12,49,3,F7,1,,15.796213151927438,
12,37,4,,1,,16.05875283446712,
13,48,1,Bbj7,1,,16.317641723356008,
13,37,2,,1,,16.595124716553286,
13,47,3,Bb7,1,,16.86387755102041,
13,40,4,,1,,17.13621315192744,
14,37,1,Eb7,1,,17.39183673469388,
14,39,2,,1,,17.64081632653061,
14,49,3,Ab7,1,,17.916462585034015,
14,38,4,,1,,18.16458049886621,
15,38,1,C-7,1,,18.443219954648526,
15,40,2,,1,,18.705555555555556,
15,42,3,F7,1,,18.993877551020407,
15,42,4,,1,,19.261655328798184,
16,38,1,Bbj7,1,,19.530566893424037,
16,38,2,,1,,19.798163265306123,
16,37,3,,1,,20.051473922902495,
16,48,4,,1,,20.319387755102042,
17,48,1,D7,1,B1,20.56312925170068,
17,47,2,,1,,20.831043083900227,
17,47,3,,1,,21.08439909297052,
17,51,4,,1,,21.352290249433107,
18,51,1,D7,1,,21.60140589569161,
18,37,2,,1,,21.885714285714286,
18,51,3,,1,,22.157460317460316,
18,44,4,,1,,22.419773242630384,
19,40,1,G7,1,,22.67891156462585,
19,50,2,,1,,22.956530612244897,
19,50,3,,1,,23.219773242630385,
19,49,4,,1,,23.48750566893424,
20,50,1,G7,1,,23.746598639455783,
20,42,2,,1,,24.01426303854875,
20,50,3,,1,,24.277324263038548,
20,51,4,,1,,24.535510204081632,
21,37,1,C7,1,,24.814126984126982,
21,37,2,,1,,25.07643990929705,
21,37,3,,1,,25.345056689342403,
21,37,4,,1,,25.62265306122449,
22,42,1,C7,1,,25.90122448979592,
22,38,2,,1,,26.178843537414966,
22,37,3,,1,,26.440816326530612,
22,49,4,,1,,26.72514739229025,
23,49,1,F7,1,,26.99591836734694,
23,49,2,,1,,27.2618820861678,
23,42,3,,1,,27.525079365079364,
23,42,4,,1,,27.78390022675737,
24,42,1,F7,1,,28.071224489795917,
24,42,2,,1,,28.32455782312925,
24,49,3,,1,,28.592426303854875,
24,49,4,,1,,28.870861678004534,
25,47,1,Bbj7,1,A3,29.138503401360545,
25,47,2,,1,,29.407392290249433,
25,47,3,G7,1,,29.676190476190477,
25,47,4,,1,,29.94827664399093,
26,47,1,C-7,1,,30.225736961451247,
26,48,2,,1,,30.48480725623583,
26,49,3,F7,1,,30.75267573696145,
26,49,4,,1,,31.015963718820863,
27,47,1,Bbj7,1,,31.283786848072562,
27,45,2,,1,,31.542743764172336,
27,43,3,G7,1,,31.79530612244898,
27,44,4,,1,,32.044331065759636,
28,48,1,C-7,1,,32.31666666666667,
28,49,2,,1,,32.585351473922906,
28,47,3,F7,1,,32.853356009070296,
28,51,4,,1,,33.106643990929705,
29,48,1,Bbj7,1,,33.371428571428574,
29,44,2,,1,,33.65294784580499,
29,49,3,Bb7,1,,33.92083900226758,
29,51,4,,1,,34.18403628117914,
30,51,1,Eb7,1,,34.44215419501134,
30,49,2,,1,,34.701133786848075,
30,47,3,Ab7,1,,34.978911564625854,
30,47,4,,1,,35.251882086167804,
31,48,1,C-7,1,,35.52072562358277,
31,48,2,,1,,35.781950113378684,
31,47,3,F7,1,,36.03736961451247,
31,39,4,,1,,36.26938775510204,
32,40,1,Bbj7,1,,36.54260770975057,
32,51,2,,1,,36.79163265306122,
32,49,3,,1,,37.05947845804989,
32,48,4,,1,,37.31301587301587,
33,45,1,Bbj7,2,A1,37.57122448979592,
33,44,2,,2,,37.81480725623583,
33,50,3,G7,2,,38.08265306122449,
33,42,4,,2,,38.36120181405896,
34,42,1,C-7,2,,38.63319727891157,
34,42,2,,2,,38.91721088435374,
34,47,3,F7,2,,39.17956916099773,
34,47,4,,2,,39.44489795918367,
35,40,1,Bbj7,2,,39.72589569160998,
35,40,2,,2,,39.9850566893424,
35,42,3,G7,2,,40.247414965986394,
35,42,4,,2,,40.50616780045352,
36,47,1,C-7,2,,40.7687074829932,
36,51,2,,2,,41.012244897959185,
36,49,3,F7,2,,41.26938775510204,
36,48,4,,2,,41.54891156462585,
37,44,1,Bbj7,2,,41.806938775510204,
37,48,2,,2,,42.075600907029475,
