bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,50,1,D-7,0,I1,5.088004535147392,
0,50,2,,0,,5.363696145124717,
0,50,3,G7,0,I1,5.649614512471655,
0,50,4,,0,,5.935215419501134,
1,37,1,C6,1,A1,6.212789115646259,4/4
1,50,2,,1,,6.506825396825397,
1,50,3,,1,,6.794399092970521,
1,50,4,,1,,7.098208616780045,
2,50,1,F-7,1,,7.383764172335601,
2,51,2,,1,,7.669002267573696,
2,50,3,Bb7,1,,7.955192743764172,
2,38,4,,1,,8.25047619047619,
3,37,1,C7,1,,8.544467120181405,
3,50,2,,1,,8.830430839002268,
3,51,3,Bb7,1,,9.125714285714286,
3,51,4,,1,,9.402086167800453,
4,50,1,A7,1,,9.689931972789116,
4,51,2,,1,,9.965442176870749,
4,51,3,,1,,10.223764172335601,
4,50,4,,1,,10.499319727891157,
5,51,1,D7,1,,10.79546485260771,
5,39,2,,1,,11.08095238095238,
5,42,3,,1,,11.366281179138323,
5,43,4,,1,,11.670068027210885,
6,47,1,G7,1,,11.965306122448979,
6,51,2,,1,,12.251632653061224,
6,50,3,,1,,12.53718820861678,
6,51,4,,1,,12.822426303854876,
7,47,1,E-7,1,,13.136145124716553,
7,45,2,,1,,13.413945578231292,
7,50,3,A7,1,,13.700249433106576,
7,50,4,,1,,13.985759637188208,
8,51,1,D-7,1,,14.289591836734694,
8,47,2,,1,,14.564897959183673,
8,45,3,G7,1,,14.860952380952382,
8,50,4,,1,,15.119478458049887,
9,38,1,C6,1,A2,15.404852607709751,
9,38,2,,1,,15.70859410430839,
9,37,3,,1,,15.976507936507936,
9,38,4,,1,,16.289818594104307,
10,37,1,F-7,1,,16.575442176870748,
10,50,2,,1,,16.86095238095238,
10,50,3,Bb7,1,,17.13861678004535,
10,51,4,,1,,17.424965986394557,
11,50,1,C7,1,,17.728503401360545,
11,51,2,,1,,18.02378684807256,
11,50,3,Bb7,1,,18.299455782312926,
11,50,4,,1,,18.58562358276644,
12,48,1,A7,1,,18.853786848072563,
12,37,2,,1,,19.13922902494331,
12,45,3,,1,,19.42546485260771,
12,50,4,,1,,19.70095238095238,
13,51,1,D7,1,,19.99628117913832,
13,37,2,,1,,20.272902494331067,
13,45,3,,1,,20.550702947845807,
13,43,4,,1,,20.843401360544217,
14,47,1,G7,1,,21.139637188208617,
14,51,2,,1,,21.407505668934242,
14,50,3,,1,,21.721201814058958,
14,51,4,,1,,21.996598639455783,
15,51,1,C6,1,,22.27299319727891,
15,50,2,,1,,22.55095238095238,
15,51,3,,1,,22.84403628117914,
15,51,4,,1,,23.14015873015873,
16,50,1,F#m7b5,1,,23.435374149659864,
16,50,2,,1,,23.71092970521542,
16,51,3,B79b,1,,24.007097505668934,
16,50,4,,1,,24.292562358276644,
17,38,1,E-7,1,B1,24.5784126984127,
17,50,2,,1,,24.853900226757368,
17,44,3,,1,,25.140317460317462,
17,48,4,,1,,25.435555555555556,
18,48,1,F#m7b5,1,,25.721927437641725,
18,37,2,,1,,26.017142857142858,
18,44,3,B79b,1,,26.32111111111111,
18,37,4,,1,,26.605986394557824,
19,48,1,E-7,1,,26.90219954648526,
19,50,2,,1,,27.187369614512473,
19,44,3,,1,,27.483560090702948,
19,48,4,,1,,27.787301587301588,
20,51,1,A7,1,,28.044489795918366,
20,45,2,,1,,28.312585034013605,
20,47,3,,1,,28.588820861678006,
20,38,4,,1,,28.874081632653063,
21,45,1,D-7,1,,29.150544217687074,
21,51,2,,1,,29.438163265306123,
21,48,3,,1,,29.7237641723356,
21,45,4,,1,,30.017664399092972,
22,39,1,Em7b5,1,,30.30371882086168,
22,50,2,,1,,30.59891156462585,
22,51,3,A7,1,,30.894240362811793,
22,50,4,,1,,31.18798185941043,
23,42,1,D7,1,,31.484263038548754,
23,51,2,,1,,31.759863945578232,
23,48,3,,1,,32.01795918367347,
23,45,4,,1,,32.313219954648524,
24,38,1,D-7,1,,32.59,
24,38,2,,1,,32.85766439909297,
24,51,3,G7,1,,33.15310657596372,
24,39,4,,1,,33.42124716553288,
25,37,1,C6,1,A3,33.724920634920636,
25,50,2,,1,,34.00986394557823,
25,51,3,,1,,34.29625850340136,
25,50,4,,1,,34.57172335600907,
26,51,1,F-7,1,,34.85820861678005,
26,51,2,,1,,35.15342403628118,
26,50,3,Bb7,1,,35.43868480725624,
26,51,4,,1,,35.71507936507936,
27,43,1,C7,1,,36.010340136054424,
27,51,2,,1,,36.29673469387755,
27,42,3,Bb7,1,,36.58229024943311,
27,38,4,,1,,36.87730158730159,
28,38,1,A7,1,,37.16360544217687,
28,38,2,,1,,37.449024943310654,
28,37,3,,1,,37.73546485260771,
28,38,4,,1,,38.03061224489796,
29,37,1,D7,1,,38.288707482993196,
29,38,2,,1,,38.602380952380955,
29,38,3,,1,,38.868798185941046,
29,37,4,,1,,39.15430839002268,
30,39,1,G7,1,,39.422222222222224,
30,37,2,,1,,39.71734693877551,
30,51,3,,1,,40.04120181405896,
30,51,4,,1,,40.29920634920635,
31,50,1,C6,1,,40.57473922902494,
31,48,2,,1,,40.86022675736962,
31,37,3,,1,,41.156009070294786,
31,38,4,,1,,41.44222222222222,
32,38,1,D-7,1,,41.71736961451247,
32,37,2,,1,,41.9940589569161,
32,48,3,G7,1,,42.27945578231292,
32,37,4,,1,,42.575374149659865,
33,50,1,C6,2,A1,42.870544217687076,
33,50,2,,2,,43.13702947845805,
33,51,3,,2,,43.416326530612245,
