bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,48,1,F-7,1,A1,2.4961451247165534,4/4
1,48,2,,1,,3.4653061224489794,
1,41,3,Bb7,1,,4.36734693877551,
1,41,4,,1,,5.32750566893424,
2,34,1,Ebj7,1,,6.199727891156463,
2,41,2,,1,,7.095260770975057,
2,50,3,C-7,1,,7.9983446712018145,
2,34,4,,1,,8.910204081632653,
3,45,1,Dm7b5,1,,9.800861678004535,
3,51,2,,1,,10.733424036281178,
3,50,3,G79b,1,,11.62249433106576,
3,50,4,,1,,12.542857142857143,
4,43,1,C-7,1,,13.440816326530612,
4,50,2,,1,,14.386349206349207,
4,34,3,,1,,15.28968253968254,
4,43,4,,1,,16.195918367346938,
5,45,1,Dm7b5,1,,17.095691609977326,
5,51,2,,1,,18.0,
5,50,3,G79b,1,,18.90424036281179,
5,50,4,,1,,19.835646258503402,
6,43,1,C-7,1,,20.799365079365078,
6,43,2,,1,,21.710204081632654,
6,41,3,,1,,22.617233560090703,
6,41,4,,1,,23.50560090702948,
7,52,1,D7,1,,24.428730158730158,
7,52,2,,1,,25.381451247165533,
7,51,3,Ab7911#,1,,26.3397052154195,
7,51,4,,1,,27.271836734693878,
8,45,1,Gj7,1,,28.189024943310656,
8,48,2,,1,,29.04235827664399,
8,50,3,,1,,29.9281179138322,
8,50,4,,1,,30.880884353741497,
9,52,1,Am7b5,1,B1,31.804081632653062,
9,34,2,,1,,32.755102040816325,
9,45,3,D79#,1,,33.676054421768704,
9,49,4,,1,,34.5837641723356,
10,50,1,G7,1,,35.48823129251701,
10,52,2,,1,,36.37684807256236,
10,42,3,,1,,37.299886621315196,
10,45,4,,1,,38.24235827664399,
11,44,1,G-7,1,,39.13068027210884,
11,44,2,,1,,40.074013605442175,
11,43,3,C7,1,,40.98902494331066,
11,43,4,,1,,41.929433106575964,
12,48,1,F-7,1,,42.82920634920635,
12,34,2,,1,,43.71274376417234,
12,43,3,C7,1,,44.631133786848075,
12,34,4,,1,,45.560045351473924,
13,48,1,F-7,1,,46.502426303854875,
13,50,2,,1,,47.438367346938776,
13,51,3,Bb79,1,,48.309115646258505,
13,44,4,,1,,49.276598639455784,
14,34,1,Db7911#,1,,50.224761904761905,
14,50,2,,1,,51.103696145124715,
14,43,3,C7,1,,52.02684807256236,
14,43,4,,1,,52.980113378684806,
15,48,1,F-7,1,,53.88417233560091,
15,48,2,,1,,54.86142857142857,
15,41,3,Bb7913,1,,55.76002267573696,
15,41,4,,1,,56.69249433106576,
16,34,1,Eb6,1,,57.62641723356009,
16,41,2,,1,,58.52988662131519,
16,50,3,,1,,59.398866213151926,
16,43,4,,1,,60.391836734693875,
17,48,1,,1,I1,61.36403628117914,
17,50,2,,1,,62.33469387755102,
