bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,43,1,Cj7,1,A1,2.404081632653061,4/4
1,45,2,,1,,2.7881179138321994,
1,47,3,,1,,3.185170068027211,
1,50,4,,1,,3.577687074829932,
2,52,1,F#m7b5,1,,3.9548299319727893,
2,50,2,,1,,4.322766439909297,
2,42,3,,1,,4.689795918367347,
2,52,4,,1,,5.048979591836734,
3,47,1,Cj7,1,,5.440816326530612,
3,50,2,,1,,5.822018140589569,
3,52,3,,1,,6.223673469387755,
3,50,4,,1,,6.601904761904762,
4,42,1,F#-7,1,,6.97843537414966,
4,42,2,,1,,7.378140589569161,
4,52,3,B7,1,,7.752743764172336,
4,38,4,,1,,8.110340136054422,
5,45,1,Em7b5,1,,8.49766439909297,
5,37,2,,1,,8.89015873015873,
5,48,3,,1,,9.256916099773242,
5,50,4,,1,,9.634399092970522,
6,37,1,A7,1,,10.00780045351474,
6,37,2,,1,,10.405442176870748,
6,52,3,,1,,10.80888888888889,
6,37,4,,1,,11.203718820861678,
7,48,1,Em7b5,1,,11.565963718820862,
7,41,2,,1,,11.938163265306123,
7,45,3,,1,,12.31546485260771,
7,48,4,,1,,12.683174603174603,
8,37,1,A7,1,,13.05077097505669,
8,50,2,,1,,13.428072562358278,
8,52,3,,1,,13.81530612244898,
8,52,4,,1,,14.192380952380953,
9,45,1,D-7,1,B1,14.579183673469387,
9,47,2,,1,,14.946984126984127,
9,48,3,,1,,15.329909297052154,
9,45,4,,1,,15.717233560090703,
10,50,1,G7,1,,16.09408163265306,
10,52,2,,1,,16.460861678004534,
10,42,3,,1,,16.840272108843536,
10,50,4,,1,,17.224489795918366,
11,50,1,Cj7,1,,17.612244897959183,
11,50,2,,1,,18.00408163265306,
11,37,3,,1,,18.382925170068027,
11,43,4,,1,,18.749455782312925,
12,52,1,F#m7b5,1,,19.142290249433106,
12,42,2,,1,,19.53918367346939,
12,43,3,B7,1,,19.916122448979593,
12,42,4,,1,,20.29394557823129,
13,37,1,E-7,1,,20.66185941043084,
13,50,2,,1,,21.02843537414966,
13,42,3,,1,,21.40598639455782,
13,50,4,,1,,21.773333333333333,
14,43,1,A7,1,,22.17562358276644,
14,47,2,,1,,22.533673469387754,
14,49,3,,1,,22.911156462585033,
14,52,4,,1,,23.298004535147392,
15,42,1,D7,1,,23.684444444444445,
15,49,2,,1,,24.05750566893424,
15,42,3,,1,,24.43498866213152,
15,52,4,,1,,24.84185941043084,
16,45,1,D-7,1,,25.209455782312926,
16,48,2,,1,,25.592244897959183,
16,50,3,G7,1,,25.97907029478458,
16,42,4,,1,,26.366462585034014,
17,38,1,Cj7,1,A2,26.73371882086168,
17,50,2,,1,,27.111043083900228,
17,37,3,,1,,27.502721088435376,
17,45,4,,1,,27.88047619047619,
18,42,1,F#m7b5,1,,28.25748299319728,
18,42,2,,1,,28.655056689342402,
18,52,3,,1,,29.04768707482993,
18,42,4,,1,,29.414263038548754,
19,47,1,Cj7,1,,29.801133786848073,
19,50,2,,1,,30.16952380952381,
19,42,3,,1,,30.57199546485261,
19,42,4,,1,,30.949138321995466,
20,37,1,F#m7b5,1,,31.316598639455783,
20,37,2,,1,,31.683537414965986,
20,37,3,B7,1,,32.07045351473923,
20,42,4,,1,,32.46283446712018,
21,45,1,Em7b5,1,,32.87036281179138,
21,37,2,,1,,33.23700680272109,
21,48,3,,1,,33.6249433106576,
21,45,4,,1,,33.997142857142855,
22,37,1,A7,1,,34.39437641723356,
22,50,2,,1,,34.751836734693875,
22,52,3,,1,,35.15884353741497,
22,52,4,,1,,35.551655328798184,
23,41,1,Em7b5,1,,35.93773242630385,
23,45,2,,1,,36.29548752834467,
23,50,3,,1,,36.68256235827664,
23,48,4,,1,,37.06485260770975,
24,37,1,A7,1,,37.430566893424036,
24,50,2,,1,,37.820408163265306,
24,52,3,,1,,38.22190476190476,
24,38,4,,1,,38.60997732426304,
25,42,1,D-7,1,C1,38.99609977324263,
25,37,2,,1,,39.35417233560091,
25,37,3,,1,,39.75648526077097,
25,52,4,,1,,40.133968253968256,
26,50,1,G7,1,,40.50154195011338,
26,50,2,,1,,40.87904761904762,
26,48,3,,1,,41.2734693877551,
26,48,4,,1,,41.667913832199545,
27,47,1,Cj7,1,,42.05546485260771,
27,47,2,,1,,42.432312925170066,
27,48,3,F7,1,,42.79965986394558,
27,48,4,,1,,43.17702947845805,
28,37,1,E7,1,,43.56954648526077,
28,37,2,,1,,43.93707482993197,
28,52,3,A-7,1,,44.343650793650795,
28,52,4,,1,,44.72639455782313,
29,45,1,D-7,1,,45.11374149659864,
29,38,2,,1,,45.481043083900225,
29,42,3,,1,,45.86827664399093,
29,45,4,,1,,46.24562358276644,
30,50,1,G7,1,,46.61986394557823,
30,50,2,,1,,46.979727891156465,
30,48,3,,1,,47.351292517006804,
30,45,4,,1,,47.72469387755102,
31,37,1,Cj7,1,,48.10231292517007,
31,37,2,,1,,48.48501133786848,
31,42,3,,1,,48.891496598639456,
31,42,4,,1,,49.25893424036281,
32,45,1,D-7,1,,49.63612244897959,
32,45,2,,1,,50.01877551020408,
32,50,3,G7,1,,50.405850340136055,
32,45,4,,1,,50.773219954648525,
33,43,1,,1,,51.17013605442177,
33,45,2,,1,,51.54952380952381,
