bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-2,43,3,NC,0,I1,1.0797278911564625,
-2,50,4,,0,,1.4396598639455782,
-1,50,1,,0,,1.7819954648526077,
-1,38,2,,0,,2.1343990929705217,
-1,38,3,,0,,2.481950113378685,
-1,38,4,,0,,2.8249659863945578,
0,38,1,,0,,3.1811337868480725,
0,38,2,,0,,3.523628117913832,
0,38,3,,0,,3.889342403628118,
0,37,4,,0,,4.260861678004535,
1,50,1,G6,1,A1,4.632380952380952,4/4
1,50,2,,1,,4.995918367346939,
1,47,3,E-7,1,,5.355759637188209,
1,37,4,,1,,5.706303854875284,
2,37,1,A-7,1,,6.056893424036281,
2,50,2,,1,,6.398571428571429,
2,50,3,D7,1,,6.727981859410431,
2,42,4,,1,,7.079319727891156,
3,50,1,Gj7,1,,7.4373015873015875,
3,50,2,,1,,7.789433106575964,
3,47,3,E-7,1,,8.103764172335602,
3,37,4,,1,,8.44403628117914,
4,37,1,A-7,1,,8.782290249433107,
4,50,2,,1,,9.14467120181406,
4,49,3,D7,1,,9.482448979591837,
4,50,4,,1,,9.827845804988662,
5,50,1,G6,1,,10.192312925170068,
5,45,2,,1,,10.534671201814058,
5,42,3,E-7,1,,10.884353741496598,
5,47,4,,1,,11.221043083900227,
6,37,1,A-7,1,,11.563537414965987,
6,43,2,,1,,11.900226757369614,
6,45,3,D7,1,,12.231111111111112,
6,49,4,,1,,12.57360544217687,
7,42,1,G6,1,,12.91609977324263,
7,42,2,,1,,13.250589569160997,
7,47,3,E7,1,,13.59297052154195,
7,50,4,,1,,13.941065759637189,
8,37,1,A-7,1,,14.293378684807257,
8,50,2,,1,,14.632562358276644,
8,37,3,D7,1,,14.9740589569161,
8,37,4,,1,,15.296439909297051,
9,41,1,Bb6,1,B1,15.629115646258503,
9,48,2,,1,,15.96952380952381,
9,38,3,G-7,1,,16.31201814058957,
9,42,4,,1,,16.648707482993196,
10,43,1,C-7,1,,16.991201814058957,
10,42,2,,1,,17.322086167800453,
10,44,3,F7,1,,17.65501133786848,
10,47,4,,1,,18.01716553287982,
11,45,1,Bbj7,1,,18.34548752834467,
11,48,2,,1,,18.677414965986394,
11,34,3,,1,,19.02018140589569,
11,50,4,,1,,19.34297052154195,
12,47,1,A7,1,,19.67310657596372,
12,50,2,,1,,20.003990929705214,
12,37,3,,1,,20.346485260770976,
12,52,4,,1,,20.688526077097507,
13,45,1,Dj7,1,,21.021179138321994,
13,47,2,,1,,21.369206349206348,
13,49,3,,1,,21.70156462585034,
13,50,4,,1,,22.044285714285714,
14,50,1,B-7,1,,22.392380952380954,
14,42,2,,1,,22.71451247165533,
14,50,3,,1,,23.03764172335601,
14,37,4,,1,,23.37668934240363,
15,37,1,A-7,1,,23.72215419501134,
15,37,2,,1,,24.05498866213152,
15,51,3,,1,,24.37734693877551,
15,51,4,,1,,24.71183673469388,
16,50,1,D7,1,,25.048231292517006,
16,43,2,,1,,25.371111111111112,
16,45,3,,1,,25.703650793650795,
16,49,4,,1,,26.046145124716553,
17,50,1,G6,1,A2,26.36893424036281,
17,47,2,,1,,26.700816326530614,
17,42,3,E-7,1,,27.02360544217687,
17,50,4,,1,,27.361655328798186,
18,37,1,A-7,1,,27.704489795918366,
18,50,2,,1,,28.03643990929705,
18,43,3,D7,1,,28.374784580498865,
18,39,4,,1,,28.691950113378685,
19,42,1,Gj7,1,,29.040249433106577,
19,50,2,,1,,29.372993197278912,
19,47,3,E-7,1,,29.705714285714286,
19,45,4,,1,,30.03839002267574,
20,43,1,A-7,1,,30.370340136054423,
20,52,2,,1,,30.698866213151927,
20,45,3,D7,1,,31.03126984126984,
20,42,4,,1,,31.354444444444443,
21,50,1,G6,1,,31.676621315192744,
21,45,2,,1,,32.01907029478458,
21,42,3,E-7,1,,32.35208616780045,
21,47,4,,1,,32.683945578231295,
22,52,1,A-7,1,,33.03038548752834,
22,43,2,,1,,33.36707482993197,
22,45,3,D7,1,,33.715374149659866,
22,49,4,,1,,34.057868480725624,
23,50,1,G6,1,,34.37750566893424,
23,47,2,,1,,34.700204081632656,
23,50,3,E7,1,,35.03321995464852,
23,47,4,,1,,35.36598639455782,
24,37,1,A-7,1,,35.71229024943311,
24,50,2,,1,,36.05605442176871,
24,49,3,C7,1,,36.39861678004535,
24,37,4,,1,,36.75639455782313,
25,48,1,D-7,1,C1,37.07902494331066,
25,52,2,,1,,37.40201814058957,
25,45,3,,1,,37.73460317460317,
25,48,4,,1,,38.056598639455785,
26,50,1,G7,1,,38.40909297052154,
26,45,2,,1,,38.731972789115645,
26,47,3,,1,,39.070090702947844,
26,50,4,,1,,39.41587301587302,
27,43,1,Cj7,1,,39.745124716553285,
27,50,2,,1,,40.06603174603175,
27,45,3,,1,,40.40551020408163,
27,47,4,,1,,40.73829931972789,
28,42,1,C-7,1,,41.07111111111111,
28,43,2,,1,,41.40321995464853,
28,48,3,F7,1,,41.72616780045352,
28,38,4,,1,,42.06859410430839,
29,42,1,G6,1,,42.39170068027211,
29,42,2,,1,,42.72442176870749,
29,47,3,Bbo,1,,43.051972789115645,
29,50,4,,1,,43.40412698412698,
30,37,1,A-7,1,,43.717233560090705,
30,50,2,,1,,44.0540589569161,
30,49,3,D7,1,,44.40795918367347,
30,45,4,,1,,44.75031746031746,
31,50,1,G6,1,,45.07328798185941,
31,47,2,,1,,45.40501133786848,
31,45,3,,1,,45.71879818594104,
31,42,4,,1,,46.05138321995465,
32,37,1,A-7,1,,46.37605442176871,
32,52,2,,1,,46.706213151927436,
32,45,3,D7,1,,47.04451247165533,
32,42,4,,1,,47.38612244897959,
33,50,1,G6,2,A1,47.70904761904762,
33,37,2,,2,,48.04233560090703,
33,37,3,,2,,48.39038548752834,
