bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,38,3,NC,0,I1,3.763265306122449,
0,48,4,,0,,3.9979591836734696,
1,48,1,Bb6,1,A1,4.246938775510204,4/4
1,40,2,,1,,4.495918367346939,
1,38,3,G7,1,,4.751383219954649,
1,44,4,,1,,4.995192743764172,
2,44,1,C-7,1,,5.225510204081632,
2,49,2,,1,,5.477551020408163,
2,48,3,F7,1,,5.71530612244898,
2,45,4,,1,,5.948662131519274,
3,45,1,Bb6,1,,6.201020408163266,
3,51,2,,1,,6.459183673469388,
3,50,3,G-7,1,,6.714285714285714,
3,45,4,,1,,6.955102040816326,
4,44,1,C-7,1,,7.2122448979591836,
4,49,2,,1,,7.454081632653061,
4,48,3,F7,1,,7.69015873015873,
4,38,4,,1,,7.944897959183673,
5,38,1,F-7,1,,8.187755102040816,
5,50,2,,1,,8.423469387755102,
5,33,3,Bb7,1,,8.661224489795918,
5,33,4,,1,,8.896145124716554,
6,38,1,Eb7,1,,9.144897959183673,
6,38,2,,1,,9.398276643990929,
6,38,3,Ab7,1,,9.647891156462585,
6,38,4,,1,,9.906213151927437,
7,52,1,D-7,1,,10.16326530612245,
7,51,2,,1,,10.39795918367347,
7,50,3,G7,1,,10.642857142857142,
7,44,4,,1,,10.887256235827664,
8,37,1,C-7,1,,11.133968253968254,
8,49,2,,1,,11.379591836734694,
8,48,3,F7,1,,11.618684807256235,
8,42,4,,1,,11.869387755102041,
9,41,1,Bb6,1,A2,12.112108843537415,
9,33,2,,1,,12.354081632653061,
9,50,3,G7,1,,12.609183673469389,
9,44,4,,1,,12.855102040816327,
10,49,1,C-7,1,,13.106825396825396,
10,43,2,,1,,13.344897959183674,
10,48,3,F7,1,,13.590816326530613,
10,45,4,,1,,13.83374149659864,
11,33,1,Bb6,1,,14.08,
11,45,2,,1,,14.315102040816326,
11,44,3,G-7,1,,14.554557823129251,
11,38,4,,1,,14.809183673469388,
12,38,1,C-7,1,,15.05408163265306,
12,35,2,,1,,15.310204081632653,
12,48,3,F7,1,,15.548979591836735,
12,42,4,,1,,15.79827664399093,
