bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,47,1,C,1,A1,3.3979591836734695,4/4
1,33,2,,1,,3.6055555555555556,
1,33,3,,1,,3.8131519274376418,
1,50,4,,1,,4.017777777777778,
2,38,1,Ab7,1,,4.222403628117914,
2,50,2,,1,,4.432630385487529,
2,50,3,,1,,4.642857142857143,
2,42,4,,1,,4.8415192743764175,
3,43,1,Db7,1,,5.040181405895692,
3,48,2,,1,,5.25172335600907,
3,48,3,,1,,5.463265306122449,
3,51,4,,1,,5.66530612244898,
4,37,1,Gb,1,,5.86734693877551,
4,37,2,,1,,6.073446712018141,
4,50,3,Go,1,,6.279546485260771,
4,50,4,,1,,6.478548752834467,
5,38,1,Ab7,1,,6.677551020408163,
5,43,2,,1,,6.887755102040817,
5,43,3,,1,,7.09795918367347,
5,45,4,,1,,7.310362811791384,
6,45,1,,1,,7.522766439909297,
6,39,2,,1,,7.725975056689343,
6,38,3,,1,,7.929183673469388,
6,38,4,,1,,8.133219954648526,
7,39,1,,1,,8.337256235827665,
7,43,2,,1,,8.546802721088437,
7,42,3,,1,,8.756349206349206,
7,43,4,,1,,8.955272108843538,
8,44,1,Db,1,,9.154195011337869,
8,44,2,,1,,9.352607709750568,
8,44,3,Do,1,,9.551020408163266,
8,47,4,,1,,9.760861678004535,
9,34,1,Eb7,1,,9.970702947845805,
9,33,2,,1,,10.170045351473924,
9,44,3,,1,,10.369387755102041,
9,45,4,,1,,10.570975056689342,
10,45,1,,1,,10.772562358276645,
10,38,2,,1,,10.977097505668935,
10,38,3,,1,,11.181632653061225,
10,40,4,,1,,11.379591836734694,
11,40,1,,1,,11.577551020408164,
11,34,2,,1,,11.78453514739229,
11,50,3,,1,,11.991519274376417,
11,41,4,,1,,12.197392290249432,
12,42,1,B7,1,,12.40326530612245,
12,41,2,,1,,12.610374149659865,
12,42,3,,1,,12.81748299319728,
12,51,4,,1,,13.0128231292517,
13,51,1,E7,1,,13.208163265306123,
13,34,2,,1,,13.412244897959184,
13,47,3,,1,,13.616326530612245,
13,51,4,,1,,13.824489795918367,
14,38,1,A,1,,14.03265306122449,
14,51,2,,1,,14.242857142857144,
14,40,3,Bbo,1,,14.453061224489796,
14,40,4,,1,,14.66326530612245,
15,41,1,B7,1,,14.873469387755103,
15,41,2,,1,,15.079308390022675,
15,41,3,,1,,15.285147392290249,
15,38,4,,1,,15.49125850340136,
16,50,1,G7,1,,15.697369614512471,
16,50,2,,1,,15.902834467120181,
16,38,3,,1,,16.10829931972789,
16,42,4,,1,,16.307154195011336,
17,42,1,C,2,A1,16.506009070294784,
17,42,2,,2,,16.70504535147392,
17,42,3,,2,,16.90408163265306,
17,42,4,,2,,17.111383219954647,
18,51,1,Ab7,2,,17.318684807256236,
18,41,2,,2,,17.52362811791383,
18,42,3,,2,,17.728571428571428,
18,40,4,,2,,17.927551020408163,
19,44,1,Db7,2,,18.1265306122449,
19,47,2,,2,,18.336734693877553,
19,44,3,,2,,18.546938775510203,
19,33,4,,2,,18.755102040816325,
20,33,1,Gb,2,,18.963265306122448,
20,33,2,,2,,19.16734693877551,
20,45,3,Go,2,,19.37142857142857,
20,45,4,,2,,19.57142857142857,
21,33,1,Ab7,2,,19.771428571428572,
21,33,2,,2,,19.973469387755102,
21,44,3,,2,,20.175510204081633,
