bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,41,1,,0,I1,1.13,
-1,42,2,,0,,1.66,
-1,42,3,,0,,2.16,
-1,38,4,,0,,2.68,
0,38,1,,0,,3.19,
0,38,2,,0,,3.7,
0,38,3,,0,,4.2,
0,38,4,,0,,4.71,
1,38,1,D,1,A1,5.24,4/4
1,38,2,,1,,5.72,
1,38,3,,1,,6.23,
1,38,4,,1,,6.73,
2,38,1,,1,,7.23,
2,38,2,,1,,7.74,
2,38,3,,1,,8.23,
2,38,4,,1,,8.74,
3,38,1,,1,,9.24,
3,38,2,,1,,9.76,
3,38,3,,1,,10.27,
3,38,4,,1,,10.78,
4,38,1,,1,,11.29,
4,38,2,,1,,11.81,
4,42,3,,1,,12.32,
4,38,4,,1,,12.84,
5,40,1,,1,,13.34,
5,37,2,,1,,13.85,
5,37,3,,1,,14.35,
5,38,4,,1,,14.85,
6,37,1,,1,,15.36,
6,37,2,,1,,15.88,
6,37,3,,1,,16.39,
6,37,4,,1,,16.89,
7,38,1,,1,,17.39,
7,42,2,,1,,17.91,
7,38,3,,1,,18.41,
7,37,4,,1,,18.92,
8,38,1,,1,,19.43,
8,42,2,,1,,19.94,
8,38,3,,1,,20.45,
8,42,4,,1,,20.96,
9,38,1,,1,,21.47,
9,40,2,,1,,21.97,
9,40,3,,1,,22.47,
9,38,4,,1,,22.99,
10,38,1,,1,,23.51,
10,37,2,,1,,24.02,
10,37,3,,1,,24.54,
10,37,4,,1,,25.05,
11,37,1,,1,,25.57,
11,42,2,,1,,26.08,
11,42,3,,1,,26.6,
11,42,4,,1,,27.12,
12,42,1,,1,,27.64,
12,42,2,,1,,28.14,
12,42,3,,1,,28.65,
12,42,4,,1,,29.19,
13,42,1,,1,,29.67,
13,42,2,,1,,30.19,
13,42,3,,1,,30.7,
13,42,4,,1,,31.21,
14,42,1,,1,,31.73,
14,42,2,,1,,32.23,
14,42,3,,1,,32.74,
14,42,4,,1,,33.23,
15,42,1,,1,,33.72,
15,42,2,,1,,34.24,
15,42,3,,1,,34.76,
15,37,4,,1,,35.25,
16,42,1,,1,,35.74,
16,42,2,,1,,36.25,
16,42,3,,1,,36.70891156462585,
16,42,4,,1,,37.214013605442176,
17,37,1,,1,,37.71476190476191,
17,41,2,,1,,38.20977324263038,
17,41,3,,1,,38.68877551020408,
17,41,4,,1,,39.18775510204082,
18,41,1,,1,,39.68489795918367,
18,41,2,,1,,40.16165532879818,
18,41,3,,1,,40.67108843537415,
18,41,4,,1,,41.19183673469388,
19,41,1,,1,,41.69387755102041,
19,41,2,,1,,42.15,
19,41,3,,1,,42.64,
19,41,4,,1,,43.15,
20,41,1,,1,,43.65,
20,41,2,,1,,44.15,
20,41,3,,1,,44.66,
20,41,4,,1,,45.16,
21,41,1,,1,,45.65,
21,41,2,,1,,46.17,
21,41,3,,1,,46.67,
21,41,4,,1,,47.16,
22,41,1,,1,,47.66,
22,41,2,,1,,48.16,
22,41,3,,1,,48.65,
22,41,4,,1,,49.17,
23,41,1,,1,,49.67,
23,41,2,,1,,50.18,
23,41,3,,1,,50.7,
23,41,4,,1,,51.21,
24,41,1,,1,,51.72,
24,41,2,,1,,52.23,
24,41,3,,1,,52.73,
24,41,4,,1,,53.25,
25,41,1,,1,,53.75,
25,41,2,,1,,54.26,
25,41,3,,1,,54.76,
25,41,4,,1,,55.26,
26,41,1,,1,,55.77,
26,41,2,,1,,56.27,
26,41,3,,1,,56.78,
26,41,4,,1,,57.29,
27,41,1,,1,,57.8,
27,41,2,,1,,58.31,
27,41,3,,1,,58.82,
27,41,4,,1,,59.32,
28,41,1,,1,,59.84,
28,41,2,,1,,60.35,
28,41,3,,1,,60.87,
28,41,4,,1,,61.37,
29,41,1,,1,,61.87,
29,41,2,,1,,62.38,
29,41,3,,1,,62.89,
29,41,4,,1,,63.39,
30,41,1,,1,,63.89,
30,41,2,,1,,64.41,
30,41,3,,1,,64.91,
30,41,4,,1,,65.42,
31,41,1,,1,,65.94,
31,41,2,,1,,66.45,
31,41,3,,1,,66.96,
31,41,4,,1,,67.47,
32,41,1,,1,,67.98,
32,41,2,,1,,68.5,
32,41,3,,1,,69.0,
32,41,4,,1,,69.52,
33,41,1,,1,,70.03,
33,41,2,,1,,70.54,
33,41,3,,1,,71.04,
33,41,4,,1,,71.56,
34,41,1,,1,,72.06,
34,41,2,,1,,72.58,
34,41,3,,1,,73.09,
34,41,4,,1,,73.59,
35,42,1,,1,,74.12,
35,42,2,,1,,74.62,
35,42,3,,1,,75.12,
35,42,4,,1,,75.64,
36,38,1,,1,,76.14,
36,42,2,,1,,76.67,
36,42,3,,1,,77.17,
36,42,4,,1,,77.7,
37,38,1,,1,,78.2,
37,42,2,,1,,78.72,
37,42,3,,1,,79.23,
37,42,4,,1,,79.75,
38,38,1,,1,,80.25,
38,42,2,,1,,80.76,
38,42,3,,1,,81.26,
38,37,4,,1,,81.78,
39,38,1,,1,,82.29,
39,38,2,,1,,82.82,
