bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,42,3,NC,0,I1,6.080725623582766,
0,42,4,,0,,6.536734693877551,
1,37,1,F-7,1,A1,6.981632653061224,4/4
1,47,2,,1,,7.422448979591837,
1,47,3,,1,,7.865306122448979,
1,42,4,,1,,8.30548752834467,
2,44,1,,1,,8.768367346938776,
2,42,2,,1,,9.198004535147392,
2,42,3,,1,,9.66530612244898,
2,42,4,,1,,10.108662131519274,
3,44,1,,1,,10.563628117913833,
3,42,2,,1,,11.016417233560091,
3,42,3,,1,,11.469931972789116,
3,37,4,,1,,11.91891156462585,
4,44,1,,1,,12.368253968253969,
4,42,2,,1,,12.816371882086168,
4,37,3,,1,,13.274557823129252,
4,37,4,,1,,13.726303854875283,
5,44,1,,1,,14.174285714285714,
5,37,2,,1,,14.61732426303855,
5,42,3,,1,,15.092199546485261,
5,42,4,,1,,15.527981859410431,
6,44,1,,1,,15.969206349206349,
6,47,2,,1,,16.4281179138322,
6,37,3,,1,,16.881632653061224,
6,37,4,,1,,17.324625850340137,
7,44,1,,1,,17.775600907029478,
7,47,2,,1,,18.220045351473924,
7,49,3,,1,,18.672562358276643,
7,37,4,,1,,19.104943310657596,
8,44,1,,1,,19.55455782312925,
8,42,2,,1,,20.003265306122447,
8,37,3,,1,,20.461496598639457,
8,37,4,,1,,20.90063492063492,
9,44,1,,1,,21.339501133786847,
9,37,2,,1,,21.791201814058958,
9,37,3,,1,,22.2443537414966,
9,37,4,,1,,22.67718820861678,
10,37,1,,1,,23.12562358276644,
10,42,2,,1,,23.56716553287982,
10,37,3,,1,,24.029024943310656,
10,37,4,,1,,24.45859410430839,
11,44,1,,1,,24.903945578231294,
11,37,2,,1,,25.351292517006804,
11,37,3,,1,,25.806077097505668,
11,37,4,,1,,26.237120181405896,
12,37,1,,1,,26.68979591836735,
12,47,2,,1,,27.13732426303855,
12,37,3,,1,,27.588027210884352,
12,37,4,,1,,28.026303854875284,
13,37,1,,1,,28.48362811791383,
13,47,2,,1,,28.937868480725623,
13,37,3,,1,,29.38013605442177,
13,37,4,,1,,29.81877551020408,
14,37,1,,1,,30.259410430839,
14,42,2,,1,,30.70421768707483,
14,37,3,,1,,31.151746031746033,
14,37,4,,1,,31.618480725623584,
15,44,1,,1,,32.043174603174606,
15,42,2,,1,,32.48716553287982,
15,42,3,,1,,32.928163265306125,
15,37,4,,1,,33.3734693877551,
16,44,1,,1,,33.8156462585034,
16,47,2,,1,,34.25514739229025,
16,42,3,,1,,34.7071201814059,
16,37,4,,1,,35.13034013605442,
17,42,1,,1,,35.573469387755104,
17,37,2,,1,,36.042857142857144,
17,37,3,,1,,36.494897959183675,
17,37,4,,1,,36.946938775510205,
18,44,1,,1,,37.4030612244898,
18,37,2,,1,,37.841746031746034,
18,38,3,,1,,38.29551020408163,
18,37,4,,1,,38.74285714285714,
19,44,1,,1,,39.18730158730159,
19,37,2,,1,,39.66122448979592,
19,37,3,,1,,40.1037641723356,
19,37,4,,1,,40.559183673469384,
20,44,1,,1,,41.00281179138322,
20,37,2,,1,,41.47142857142857,
20,37,3,,1,,41.917097505668934,
20,40,4,,1,,42.36632653061225,
21,44,1,,1,,42.80018140589569,
21,42,2,,1,,43.24696145124717,
21,49,3,,1,,43.70068027210884,
21,42,4,,1,,44.15714285714286,
22,44,1,,1,,44.60408163265306,
22,42,2,,1,,45.03469387755102,
22,42,3,,1,,45.50022675736962,
22,37,4,,1,,45.94795918367347,
23,37,1,,1,,46.395646258503405,
23,37,2,,1,,46.8390022675737,
23,37,3,,1,,47.29179138321995,
23,37,4,,1,,47.74689342403628,
24,49,1,,1,,48.185759637188205,
24,37,2,,1,,48.618367346938776,
24,37,3,,1,,49.063265306122446,
24,37,4,,1,,49.518367346938774,
25,37,1,,1,,49.972244897959186,
25,42,2,,1,,50.42176870748299,
25,37,3,,1,,50.8778231292517,
25,37,4,,1,,51.33133786848072,
26,37,1,,1,,51.77904761904762,
26,37,2,,1,,52.22675736961451,
26,42,3,,1,,52.67736961451247,
26,37,4,,1,,53.1243537414966,
27,44,1,,1,,53.57061224489796,
27,42,2,,1,,54.019773242630386,
27,42,3,,1,,54.48068027210884,
27,37,4,,1,,54.917369614512474,
28,44,1,,1,,55.370884353741495,
28,37,2,,1,,55.804807256235826,
28,42,3,,1,,56.25034013605442,
28,37,4,,1,,56.706757369614515,
29,37,1,,1,,57.140680272108845,
29,37,2,,1,,57.59609977324263,
29,37,3,,1,,58.0324716553288,
29,37,4,,1,,58.47310657596372,
30,44,1,,1,,58.927891156462586,
30,37,2,,1,,59.36938775510204,
30,42,3,,1,,59.81387755102041,
30,37,4,,1,,60.262244897959185,
31,44,1,,1,,60.703061224489794,
31,37,2,,1,,61.15204081632653,
31,37,3,,1,,61.598185941043084,
31,37,4,,1,,62.03877551020408,
32,44,1,,1,,62.478367346938775,
32,42,2,,1,,62.93147392290249,
32,42,3,,1,,63.370884353741495,
32,37,4,,1,,63.819319727891155,
33,44,1,,1,,64.25324263038549,
33,37,2,,1,,64.72510204081632,
33,42,3,,1,,65.16358276643992,
33,37,4,,1,,65.63061224489796,
34,38,1,,1,,66.07959183673469,
34,40,2,,1,,66.5204081632653,
34,42,3,,1,,66.97244897959183,
34,42,4,,1,,67.4234693877551,
35,42,1,,1,,67.88353741496599,
35,37,2,,1,,68.35306122448979,
35,42,3,,1,,68.77142857142857,
35,42,4,,1,,69.23061224489796,
36,37,1,,1,,69.65918367346939,
36,42,2,,1,,70.10204081632654,
36,42,3,,1,,70.54081632653062,
36,37,4,,1,,70.98367346938775,
37,42,1,,1,,71.42040816326531,
37,42,2,,1,,71.87346938775511,
37,42,3,,1,,72.31020408163265,
37,37,4,,1,,72.76122448979592,
38,37,1,,1,,73.18367346938776,
38,37,2,,1,,73.60408163265306,
38,42,3,,1,,74.05102040816327,
38,42,4,,1,,74.48979591836735,
39,37,1,,1,,74.93673469387755,
39,37,2,,1,,75.36530612244898,
39,42,3,,1,,75.78979591836735,
39,42,4,,1,,76.20612244897958,
40,42,1,,1,,76.63469387755102,
40,42,2,,1,,77.07959183673469,
40,42,3,,1,,77.5204081632653,
40,42,4,,1,,77.98163265306123,
41,47,1,,1,,78.3869387755102,
41,45,2,,1,,78.84263038548752,
41,44,3,,1,,79.28888888888889,
41,45,4,,1,,79.73224489795918,
42,39,1,,1,,80.17197278911564,
42,40,2,,1,,80.61823129251701,
42,44,3,,1,,81.06448979591836,
42,45,4,,1,,81.5027664399093,
43,45,1,,1,,81.94614512471655,
43,45,2,,1,,82.39963718820862,
43,44,3,,1,,82.85242630385487,
43,47,4,,1,,83.28707482993197,
44,37,1,,1,,83.73986394557824,
44,42,2,,1,,84.17596371882087,
44,44,3,,1,,84.63455782312926,
44,37,4,,1,,85.07573696145124,
45,37,1,,1,,85.51401360544217,
45,45,2,,1,,85.97478458049886,
