bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,38,1,Eb7,1,A1,2.3394104308390022,4/4
1,44,2,,1,,2.6615873015873017,
1,37,3,,1,,2.9779591836734696,
1,51,4,,1,,3.273469387755102,
2,38,1,D-6,1,,3.5787755102040815,
2,38,2,,1,,3.886439909297052,
2,44,3,,1,,4.191201814058957,
2,48,4,,1,,4.516281179138322,
3,51,1,Eb7,1,,4.823945578231292,
3,44,2,,1,,5.14312925170068,
3,50,3,,1,,5.459591836734694,
3,41,4,,1,,5.784671201814059,
4,50,1,D-6,1,,6.089433106575964,
4,50,2,,1,,6.397097505668934,
4,48,3,,1,,6.704081632653061,
4,47,4,,1,,7.018231292517007,
5,47,1,Eb7,1,,7.339387755102041,
5,44,2,,1,,7.649546485260771,
5,51,3,,1,,7.959183673469388,
5,38,4,,1,,8.26530612244898,
6,51,1,D-6,1,,8.56326530612245,
6,45,2,,1,,8.893877551020408,
6,50,3,,1,,9.218321995464853,
6,50,4,,1,,9.520181405895691,
7,48,1,Em7b5,1,,9.822448979591837,
7,47,2,,1,,10.153061224489797,
7,51,3,A7,1,,10.465306122448979,
7,47,4,,1,,10.783673469387756,
8,45,1,D-6,1,,11.097959183673469,
8,50,2,,1,,11.412607709750567,
8,45,3,,1,,11.728979591836735,
8,45,4,,1,,12.045351473922903,
9,41,1,Eb7,1,A2,12.350680272108843,
9,44,2,,1,,12.671836734693878,
9,50,3,,1,,12.977551020408164,
9,51,4,,1,,13.305873015873017,
10,51,1,D-6,1,,13.609727891156462,
10,38,2,,1,,13.914285714285715,
10,51,3,,1,,14.228321995464853,
10,51,4,,1,,14.527392290249432,
11,38,1,Eb7,1,,14.838480725623583,
11,38,2,,1,,15.145419501133787,
11,50,3,,1,,15.444285714285714,
11,51,4,,1,,15.757687074829931,
12,51,1,D-6,1,,16.053061224489795,
12,50,2,,1,,16.355102040816327,
12,50,3,,1,,16.648979591836735,
12,50,4,,1,,16.930612244897958,
13,50,1,Eb7,1,,17.224263038548752,
13,50,2,,1,,17.53562358276644,
13,50,3,,1,,17.84081632653061,
13,48,4,,1,,18.135351473922903,
14,47,1,D-6,1,,18.430068027210883,
14,45,2,,1,,18.738004535147393,
14,43,3,,1,,19.057845804988663,
14,51,4,,1,,19.360544217687075,
15,51,1,Em7b5,1,,19.66176870748299,
15,42,2,,1,,19.98530612244898,
15,43,3,A7,1,,20.300090702947845,
15,45,4,,1,,20.59764172335601,
16,47,1,D-6,1,,20.91249433106576,
16,48,2,,1,,21.22607709750567,
16,50,3,,1,,21.544716553287984,
16,33,4,,1,,21.853061224489796,
17,51,1,Am7b5,1,B1,22.15918367346939,
17,45,2,,1,,22.473469387755102,
17,47,3,,1,,22.787755102040816,
17,45,4,,1,,23.10612244897959,
18,37,1,D79b,1,,23.426530612244896,
18,48,2,,1,,23.75780045351474,
18,47,3,,1,,24.081746031746032,
18,45,4,,1,,24.383673469387755,
19,50,1,G-7,1,,24.694603174603174,
19,50,2,,1,,25.008163265306123,
19,50,3,,1,,25.329727891156463,
19,50,4,,1,,25.63673469387755,
20,50,1,G-7,1,,25.935056689342403,
20,50,2,,1,,26.240816326530613,
20,50,3,,1,,26.547868480725622,
20,50,4,,1,,26.859024943310658,
21,50,1,Cm7b5,1,,27.175714285714285,
21,50,2,,1,,27.496530612244896,
21,50,3,,1,,27.820680272108845,
21,50,4,,1,,28.15734693877551,
22,50,1,C79b,1,,28.474739229024944,
22,50,2,,1,,28.773333333333333,
22,43,3,,1,,29.08419501133787,
22,48,4,,1,,29.402380952380952,
23,48,1,Fj7,1,,29.721814058956916,
23,50,2,,1,,30.03265306122449,
23,50,3,,1,,30.35079365079365,
23,48,4,,1,,30.678231292517008,
24,48,1,Em7b5,1,,30.983673469387757,
24,45,2,,1,,31.289795918367346,
24,43,3,A7,1,,31.59233560090703,
24,51,4,,1,,31.90612244897959,
25,44,1,Eb7,1,A3,32.21795918367347,
25,50,2,,1,,32.5265306122449,
25,50,3,,1,,32.84285714285714,
25,48,4,,1,,33.14693877551021,
26,45,1,D-6,1,,33.453061224489794,
26,50,2,,1,,33.75918367346939,
26,48,3,,1,,34.06748299319728,
26,48,4,,1,,34.38367346938775,
27,44,1,Eb7,1,,34.69641723356009,
27,50,2,,1,,35.0,
27,50,3,,1,,35.326530612244895,
27,50,4,,1,,35.648548752834465,
28,50,1,D-6,1,,35.95655328798186,
28,50,2,,1,,36.28208616780045,
28,48,3,,1,,36.59521541950113,
28,47,4,,1,,36.895646258503405,
29,47,1,Eb7,1,,37.22621315192744,
29,48,2,,1,,37.549569160997734,
29,50,3,,1,,37.85433106575964,
29,50,4,,1,,38.16199546485261,
30,50,1,D-6,1,,38.478367346938775,
30,50,2,,1,,38.79412698412698,
30,48,3,,1,,39.10469387755102,
30,45,4,,1,,39.412244897959184,
31,51,1,Em7b5,1,,39.72136054421769,
31,51,2,,1,,40.03673469387755,
31,47,3,A7,1,,40.36530612244898,
31,47,4,,1,,40.68251700680272,
32,45,1,D-6,1,,40.98979591836735,
32,50,2,,1,,41.29990929705215,
32,45,3,,1,,41.625668934240366,
32,45,4,,1,,41.92927437641723,
33,41,1,Eb7,2,A1,42.23165532879818,
33,37,2,,2,,42.5549433106576,
33,44,3,,2,,42.85181405895692,
33,38,4,,2,,43.18156462585034,
34,38,1,D-6,2,,43.51428571428571,
34,38,2,,2,,43.85095238095238,
34,42,3,,2,,44.17596371882086,
34,40,4,,2,,44.50204081632653,
35,41,1,Eb7,2,,44.82868480725624,
35,50,2,,2,,45.155102040816324,
35,50,3,,2,,45.481632653061226,
35,50,4,,2,,45.80408163265306,
36,37,1,D-6,2,,46.10612244897959,
36,48,2,,2,,46.426371882086165,
36,48,3,,2,,46.74176870748299,
36,50,4,,2,,47.06530612244898,
37,50,1,Eb7,2,,47.38775510204081,
37,38,2,,2,,47.70204081632653,
37,47,3,,2,,48.02857142857143,
37,38,4,,2,,48.344897959183676,
38,45,1,D-6,2,,48.66512471655329,
38,37,2,,2,,48.96891156462585,
38,37,3,,2,,49.2734693877551,
38,47,4,,2,,49.57142857142857,
39,47,1,Em7b5,2,,49.885714285714286,
39,40,2,,2,,50.20734693877551,
39,37,3,A7,2,,50.532426303854876,
39,37,4,,2,,50.8691156462585,
40,45,1,D-6,2,,51.19784580498866,
40,33,2,,2,,51.50027210884354,
40,38,3,,2,,51.8169387755102,
40,38,4,,2,,52.128798185941044,
41,47,1,Eb7,2,A2,52.43297052154195,
41,48,2,,2,,52.73687074829932,
41,50,3,,2,,53.04081632653061,
41,50,4,,2,,53.36734693877551,
42,50,1,D-6,2,,53.66902494331066,
42,38,2,,2,,53.98925170068027,
42,50,3,,2,,54.326530612244895,
42,51,4,,2,,54.64235827664399,
43,51,1,Eb7,2,,54.95918367346939,
43,38,2,,2,,55.28775510204082,
43,38,3,,2,,55.628571428571426,
43,38,4,,2,,55.93469387755102,
44,50,1,D-6,2,,56.248979591836736,
44,51,2,,2,,56.573469387755104,
44,38,3,,2,,56.88979591836735,
44,38,4,,2,,57.21569160997733,
45,38,1,Eb7,2,,57.54485260770975,
45,44,2,,2,,57.86938775510204,
45,50,3,,2,,58.206757369614515,
45,50,4,,2,,58.52662131519274,
46,50,1,D-6,2,,58.84437641723356,
46,50,2,,2,,59.18356009070295,
46,48,3,,2,,59.507891156462584,
