bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,48,1,Fj7,1,A1,2.3018820861678004,4/4
1,40,2,,1,,2.6345804988662134,
1,50,3,,1,,2.973015873015873,
1,40,4,,1,,3.3154421768707483,
2,41,1,G-7,1,,3.6728798185941045,
2,43,2,,1,,4.060385487528345,
2,45,3,C7,1,,4.418004535147392,
2,47,4,,1,,4.785850340136054,
3,48,1,Fj7,1,,5.162244897959184,
3,40,2,,1,,5.539546485260771,
3,45,3,,1,,5.907301587301587,
3,43,4,,1,,6.284036281179138,
4,41,1,Bb-7,1,,6.6519274376417235,
4,48,2,,1,,7.0193650793650795,
4,47,3,Eb7,1,,7.396689342403628,
4,42,4,,1,,7.773832199546486,
5,37,1,,1,,8.141201814058958,
5,42,2,,1,,8.528775510204081,
5,51,3,D7,1,,8.875918367346939,
5,45,4,,1,,9.253492063492063,
6,50,1,G-7,1,,9.615396825396825,
6,45,2,,1,,9.998571428571429,
6,43,3,C7,1,,10.365442176870749,
6,47,4,,1,,10.733083900226758,
7,48,1,F,1,,11.100997732426304,
7,37,2,,1,,11.47281179138322,
7,50,3,,1,,11.845895691609977,
7,48,4,,1,,12.242403628117914,
8,51,1,Ab-7,1,,12.610022675736962,
8,44,2,,1,,12.987210884353741,
8,44,3,Db7,1,,13.354603174603175,
8,50,4,,1,,13.747324263038548,
9,49,1,Gbj7,1,,14.124149659863946,
9,51,2,,1,,14.476258503401361,
9,52,3,,1,,14.843650793650793,
9,41,4,,1,,15.230952380952381,
10,44,1,Ab-7,1,,15.60392290249433,
10,44,2,,1,,15.981678004535148,
10,44,3,Db7,1,,16.358185941043082,
10,44,4,,1,,16.735714285714284,
11,44,1,Gbj7,1,,17.113333333333333,
11,44,2,,1,,17.50018140589569,
11,44,3,,1,,17.858231292517008,
11,44,4,,1,,18.23471655328798,
12,44,1,B-7,1,,18.59278911564626,
12,44,2,,1,,18.950748299319727,
12,44,3,E7,1,,19.327460317460318,
