bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,51,4,,0,I1,3.1040816326530614,
0,42,1,NC,0,,3.554081632653061,
0,51,2,,0,,4.004081632653061,
0,50,3,,0,,4.4478004535147395,
0,48,4,,0,,4.945238095238095,
1,42,1,Eb,1,A1,5.427233560090703,4/4
1,50,2,,1,,5.8677551020408165,
1,41,3,,1,,6.318321995464853,
1,42,4,,1,,6.785260770975056,
2,34,1,,1,,7.259886621315193,
2,50,2,,1,,7.674444444444444,
2,50,3,,1,,8.095555555555556,
2,42,4,,1,,8.564421768707483,
3,34,1,,1,,9.040907029478458,
3,34,2,,1,,9.476643990929706,
3,44,3,D7,1,,9.90764172335601,
3,44,4,Db7,1,,10.359183673469389,
4,43,1,C7,1,,10.791836734693877,
4,47,2,,1,,11.263265306122449,
4,50,3,,1,,11.699478458049887,
4,45,4,,1,,12.1556462585034,
5,48,1,F7,1,,12.585419501133787,
5,48,2,,1,,13.022471655328799,
5,48,3,,1,,13.494648526077098,
5,42,4,,1,,13.918367346938776,
6,41,1,Bb7,1,,14.359183673469389,
6,51,2,,1,,14.81047619047619,
6,50,3,,1,,15.254331065759636,
6,42,4,,1,,15.70204081632653,
7,50,1,G-7,1,,16.12390022675737,
7,50,2,,1,,16.57185941043084,
7,49,3,Gb7,1,,17.013015873015874,
7,48,4,,1,,17.434625850340137,
8,48,1,F-7,1,,17.88394557823129,
8,43,2,,1,,18.342403628117914,
8,41,3,Bb7,1,,18.78575963718821,
8,42,4,,1,,19.21183673469388,
9,42,1,Eb,1,A2,19.659115646258503,
9,42,2,,1,,20.143083900226756,
9,41,3,,1,,20.595714285714287,
9,42,4,,1,,21.016326530612243,
10,42,1,,1,,21.458185941043084,
10,42,2,,1,,21.92079365079365,
10,43,3,,1,,22.352993197278913,
10,50,4,,1,,22.821496598639456,
11,34,1,,1,,23.275578231292517,
11,34,2,,1,,23.740566893424035,
11,44,3,D7,1,,24.193083900226757,
11,42,4,Db7,1,,24.63807256235828,
12,43,1,C7,1,,25.107891156462586,
12,50,2,,1,,25.55140589569161,
12,43,3,,1,,26.020725623582766,
12,43,4,,1,,26.453718820861678,
13,48,1,F7,1,,26.93140589569161,
13,48,2,,1,,27.379591836734694,
13,48,3,,1,,27.82857142857143,
13,40,4,,1,,28.285714285714285,
14,41,1,Bb7,1,,28.742857142857144,
14,51,2,,1,,29.217845804988663,
14,50,3,,1,,29.654603174603174,
14,42,4,,1,,30.09596371882086,
15,34,1,Eb,1,,30.560362811791382,
15,34,2,,1,,31.008843537414965,
15,51,3,,1,,31.478185941043083,
15,42,4,,1,,31.943968253968254,
16,34,1,Eb7,1,,32.42133786848073,
16,45,2,,1,,32.865691609977326,
16,42,3,,1,,33.325691609977326,
16,42,4,Eb+7,1,,33.772993197278915,
17,51,1,Ab,1,B1,34.228798185941045,
17,51,2,,1,,34.67852607709751,
17,34,3,,1,,35.11392290249433,
17,34,4,,1,,35.582312925170065,
18,50,1,C7,1,,36.06265306122449,
18,43,2,,1,,36.53344671201814,
18,43,3,,1,,36.97766439909297,
18,43,4,,1,,37.40408163265306,
19,48,1,F-,1,,37.861224489795916,
19,48,2,,1,,38.34521541950113,
19,43,3,,1,,38.8118820861678,
19,43,4,,1,,39.268526077097505,
20,48,1,,1,,39.70637188208617,
20,43,2,,1,,40.152902494331066,
20,43,3,,1,,40.6002947845805,
20,48,4,,1,,41.01997732426304,
21,41,1,Bb7,1,,41.50408163265306,
21,42,2,,1,,41.96136054421769,
21,48,3,,1,,42.39383219954649,
21,48,4,,1,,42.82954648526077,
22,41,1,,1,,43.323015873015876,
22,51,2,,1,,43.77068027210884,
22,50,3,,1,,44.24503401360544,
22,48,4,,1,,44.72637188208617,
23,34,1,Eb,1,,45.173038548752835,
23,34,2,,1,,45.62562358276644,
23,47,3,Eo,1,,46.105600907029476,
23,48,4,,1,,46.54,
24,48,1,F-7,1,,46.98988662131519,
24,43,2,,1,,47.43256235827664,
24,41,3,Bb7,1,,47.881292517006806,
24,42,4,,1,,48.34678004535147,
25,42,1,Eb,1,A3,48.810589569160996,
25,38,2,,1,,49.25714285714286,
25,50,3,,1,,49.70612244897959,
25,50,4,,1,,50.173968253968255,
26,42,1,,1,,50.636643990929706,
26,51,2,,1,,51.0814739229025,
26,50,3,,1,,51.55798185941043,
26,42,4,,1,,52.02526077097506,
27,34,1,,1,,52.50201814058957,
27,34,2,,1,,52.93038548752835,
27,44,3,D7,1,,53.37408163265306,
27,44,4,Db7,1,,53.844897959183676,
28,43,1,C7,1,,54.309433106575966,
28,45,2,,1,,54.78480725623583,
28,47,3,,1,,55.231904761904765,
28,50,4,,1,,55.68396825396825,
29,48,1,F7,1,,56.12854875283447,
29,48,2,,1,,56.6150566893424,
29,48,3,,1,,57.07691609977324,
29,48,4,,1,,57.51185941043084,
30,41,1,Bb7,1,,57.9759410430839,
30,51,2,,1,,58.39639455782313,
30,50,3,,1,,58.87460317460317,
30,50,4,,1,,59.33052154195011,
31,34,1,Eb,1,,59.805895691609976,
31,34,2,,1,,60.261587301587305,
31,50,3,Ab7,1,,60.723083900226754,
31,50,4,,1,,61.188820861678,
32,41,1,Eb,1,,61.68981859410431,
32,40,2,,1,,62.135986394557825,
32,40,3,,1,,62.60632653061224,
32,37,4,NC,1,,63.089795918367344,
