bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,49,4,NC,0,I1,2.626530612244898,
0,37,1,,0,,2.8714285714285714,
0,37,2,,0,,3.1285714285714286,
0,37,3,,0,,3.3653061224489798,
0,49,4,,0,,3.593877551020408,
1,49,1,F#-,1,A1,3.8328344671201813,4/4
1,37,2,,1,,4.0574149659863945,
1,37,3,,1,,4.295147392290249,
1,37,4,,1,,4.508027210884354,
2,49,1,,1,,4.764126984126984,
2,37,2,,1,,5.010045351473923,
2,37,3,,1,,5.279002267573696,
2,37,4,,1,,5.505736961451247,
3,49,1,,1,,5.72015873015873,
3,37,2,,1,,5.963990929705216,
3,37,3,,1,,6.210045351473923,
3,37,4,,1,,6.4622902494331065,
4,37,1,,1,,6.718367346938775,
4,37,2,,1,,6.969387755102041,
4,37,3,,1,,7.2306122448979595,
4,49,4,,1,,7.46734693877551,
5,49,1,,1,,7.745487528344671,
5,37,2,,1,,7.9957142857142856,
5,37,3,,1,,8.233922902494331,
5,37,4,,1,,8.447868480725624,
6,37,1,,1,,8.700952380952382,
6,37,2,,1,,8.961473922902494,
6,37,3,,1,,9.209455782312926,
6,37,4,,1,,9.461224489795919,
7,49,1,,1,,9.691201814058957,
7,37,2,,1,,9.928798185941043,
7,37,3,,1,,10.173310657596373,
7,37,4,,1,,10.406371882086168,
8,37,1,,1,,10.643832199546486,
8,37,2,,1,,10.904149659863945,
8,37,3,,1,,11.147142857142857,
8,49,4,,1,,11.359410430839002,
9,49,1,,1,,11.587755102040816,
9,37,2,,1,,11.840839002267574,
9,37,3,,1,,12.099002267573697,
9,37,4,,1,,12.349342403628118,
10,37,1,,1,,12.603219954648527,
10,37,2,,1,,12.835328798185941,
10,37,3,,1,,13.076122448979591,
10,37,4,,1,,13.319410430839003,
11,37,1,,1,,13.56938775510204,
11,37,2,,1,,13.810340136054421,
11,47,3,,1,,14.047777777777778,
11,49,4,,1,,14.289183673469388,
12,37,1,,1,,14.543832199546486,
12,37,2,,1,,14.794943310657596,
12,37,3,,1,,15.048979591836735,
12,37,4,,1,,15.304852607709751,
13,37,1,,1,,15.53795918367347,
13,37,2,,1,,15.77204081632653,
13,37,3,,1,,16.021133786848072,
13,49,4,,1,,16.2775283446712,
14,37,1,,1,,16.523492063492064,
14,37,2,,1,,16.76467120181406,
14,37,3,,1,,17.009206349206348,
14,49,4,,1,,17.261224489795918,
15,37,1,,1,,17.51249433106576,
15,37,2,,1,,17.753174603174603,
15,37,3,,1,,18.00215419501134,
15,49,4,,1,,18.247120181405897,
16,49,1,,1,,18.493877551020407,
16,37,2,,1,,18.750612244897958,
16,37,3,,1,,18.990929705215418,
16,49,4,,1,,19.2443537414966,
17,49,1,,1,,19.47113378684807,
17,37,2,,1,,19.71251700680272,
17,37,3,,1,,19.944965986394557,
17,37,4,,1,,20.172086167800455,
18,37,1,,1,,20.42448979591837,
18,37,2,,1,,20.681632653061225,
18,37,3,,1,,20.937709750566892,
18,49,4,,1,,21.197528344671202,
19,49,1,,1,,21.421950113378685,
19,37,2,,1,,21.653832199546486,
19,37,3,,1,,21.890498866213154,
19,49,4,,1,,22.12235827664399,
20,37,1,,1,,22.371179138321995,
20,37,2,,1,,22.58909297052154,
20,37,3,,1,,22.828934240362813,
20,49,4,,1,,23.085102040816327,
21,37,1,,1,,23.320408163265306,
21,37,2,,1,,23.607891156462586,
21,49,3,,1,,23.878344671201813,
21,37,4,,1,,24.117278911564625,
22,37,1,,1,,24.36122448979592,
22,37,2,,1,,24.620362811791384,
22,49,3,,1,,24.86281179138322,
22,49,4,,1,,25.09387755102041,
23,37,1,,1,,25.34408163265306,
23,37,2,,1,,25.6,
23,37,3,,1,,25.830068027210885,
23,37,4,,1,,26.072607709750567,
24,37,1,,1,,26.31702947845805,
24,37,2,,1,,26.571360544217686,
24,37,3,,1,,26.832562358276643,
24,49,4,,1,,27.062244897959182,
25,49,1,,1,,27.30160997732426,
25,37,2,,1,,27.548548752834467,
25,37,3,,1,,27.78312925170068,
25,37,4,,1,,28.018571428571427,
26,37,1,,1,,28.274761904761906,
26,37,2,,1,,28.536507936507938,
26,37,3,,1,,28.783673469387754,
26,37,4,,1,,29.02108843537415,
27,49,1,,1,,29.259002267573695,
27,49,2,,1,,29.497142857142858,
27,37,3,,1,,29.729092970521542,
27,49,4,,1,,29.981337868480725,
28,37,1,,1,,30.19716553287982,
28,37,2,,1,,30.441814058956915,
28,49,3,,1,,30.677551020408163,
28,49,4,,1,,30.919909297052154,
29,37,1,,1,,31.157414965986394,
29,37,2,,1,,31.40918367346939,
29,49,3,,1,,31.627891156462585,
29,37,4,,1,,31.88700680272109,
30,37,1,,1,,32.11775510204082,
30,49,2,,1,,32.36866213151927,
30,37,3,,1,,32.603038548752835,
30,37,4,,1,,32.83528344671202,
31,49,1,,1,,33.08299319727891,
31,49,2,,1,,33.31142857142857,
31,37,3,,1,,33.5640589569161,
31,49,4,,1,,33.788548752834465,
32,37,1,,1,,34.04154195011338,
32,37,2,,1,,34.27371882086168,
32,49,3,,1,,34.49795918367347,
32,37,4,,1,,34.75201814058957,
33,37,1,,1,,34.98707482993197,
33,37,2,,1,,35.215374149659866,
33,37,3,,1,,35.46126984126984,
33,49,4,,1,,35.694331065759634,
34,37,1,,1,,35.91836734693877,
34,37,2,,1,,36.16077097505669,
34,37,3,,1,,36.38106575963719,
34,49,4,,1,,36.625510204081635,
35,49,1,,1,,36.86442176870748,
35,37,2,,1,,37.105600907029476,
35,37,3,,1,,37.34804988662132,
35,49,4,,1,,37.58927437641724,
36,37,1,,1,,37.83707482993197,
36,37,2,,1,,38.07671201814059,
36,49,3,,1,,38.31968253968254,
36,37,4,,1,,38.553061224489795,
37,37,1,,1,,38.79514739229025,
37,47,2,,1,,39.02040816326531,
37,49,3,,1,,39.24562358276644,
