bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,44,1,C-,1,A1,3.3387755102040817,4/4
1,45,2,,1,,3.6163265306122447,
1,45,3,,1,,3.8458049886621315,
1,48,4,,1,,4.0740589569161,
2,50,1,,1,,4.323877551020408,
2,50,2,,1,,4.545102040816326,
2,42,3,,1,,4.789115646258503,
2,50,4,,1,,5.018412698412698,
3,38,1,,1,,5.244807256235828,
3,45,2,,1,,5.482743764172335,
3,38,3,,1,,5.713718820861678,
3,42,4,,1,,5.961950113378685,
4,38,1,,1,,6.1945351473922905,
4,44,2,,1,,6.41687074829932,
4,37,3,,1,,6.640884353741496,
4,42,4,,1,,6.865510204081633,
5,41,1,,1,,7.103514739229025,
5,42,2,,1,,7.340430839002267,
5,41,3,,1,,7.5699319727891154,
5,44,4,,1,,7.80140589569161,
6,42,1,,1,,8.04281179138322,
6,40,2,,1,,8.30548752834467,
6,50,3,,1,,8.540816326530612,
6,51,4,,1,,8.767845804988662,
7,41,1,,1,,8.993469387755102,
7,51,2,,1,,9.236213151927437,
7,52,3,,1,,9.47374149659864,
7,51,4,,1,,9.729160997732427,
8,50,1,,1,,9.9602947845805,
8,44,2,,1,,10.187392290249432,
8,43,3,,1,,10.419342403628118,
8,45,4,,1,,10.646734693877551,
9,50,1,C-,1,A2,10.889433106575964,
9,43,2,,1,,11.113650793650793,
9,50,3,,1,,11.357460317460317,
9,50,4,,1,,11.59546485260771,
10,43,1,,1,,11.824761904761905,
10,50,2,,1,,12.065873015873017,
10,42,3,,1,,12.287891156462585,
10,41,4,,1,,12.539024943310658,
11,42,1,,1,,12.764943310657596,
11,50,2,,1,,12.9937641723356,
11,38,3,,1,,13.205963718820861,
11,40,4,,1,,13.459637188208617,
12,42,1,,1,,13.709478458049887,
12,42,2,,1,,13.958095238095238,
12,42,3,,1,,14.211904761904762,
12,42,4,,1,,14.424489795918367,
13,40,1,,1,,14.676190476190476,
13,40,2,,1,,14.909727891156463,
13,42,3,,1,,15.124285714285714,
13,42,4,,1,,15.342630385487528,
14,42,1,,1,,15.586122448979593,
14,50,2,,1,,15.81265306122449,
14,42,3,,1,,16.02873015873016,
14,42,4,,1,,16.262267573696146,
15,38,1,,1,,16.515668934240363,
15,38,2,,1,,16.762993197278913,
15,41,3,,1,,16.987755102040815,
15,42,4,,1,,17.230566893424037,
16,40,1,,1,,17.461020408163265,
16,50,2,,1,,17.696507936507935,
16,48,3,,1,,17.928707482993197,
16,47,4,,1,,18.184126984126983,
17,47,1,Eb79#,1,B1,18.436643990929706,
17,50,2,,1,,18.686258503401362,
17,51,3,,1,,18.903945578231294,
17,51,4,,1,,19.141950113378684,
18,52,1,,1,,19.37705215419501,
18,47,2,,1,,19.60925170068027,
18,50,3,,1,,19.82984126984127,
18,45,4,,1,,20.053333333333335,
19,44,1,C79#,1,,20.27392290249433,
19,44,2,,1,,20.506122448979593,
19,38,3,,1,,20.735419501133787,
19,38,4,,1,,20.987936507936507,
20,40,1,,1,,21.23174603174603,
20,37,2,,1,,21.47718820861678,
20,42,3,,1,,21.72517006802721,
20,42,4,,1,,21.966167800453515,
21,42,1,Ab7alt,1,,22.19934240362812,
21,44,2,,1,,22.419455782312927,
21,42,3,,1,,22.66081632653061,
21,41,4,,1,,22.88734693877551,
22,51,1,,1,,23.11546485260771,
22,51,2,,1,,23.34766439909297,
22,50,3,,1,,23.591791383219956,
22,51,4,,1,,23.848027210884354,
23,41,1,G7alt,1,,24.101224489795918,
23,42,2,,1,,24.346122448979592,
23,51,3,,1,,24.592358276643992,
23,50,4,,1,,24.81922902494331,
24,48,1,,1,,25.048526077097506,
24,45,2,,1,,25.277324263038548,
24,50,3,,1,,25.503854875283448,
24,44,4,,1,,25.720884353741496,
25,43,1,C-,1,A3,25.962380952380954,
25,50,2,,1,,26.214784580498865,
25,43,3,,1,,26.44764172335601,
25,43,4,,1,,26.695736961451246,
26,50,1,,1,,26.929727891156464,
26,40,2,,1,,27.146825396825395,
26,41,3,,1,,27.37909297052154,
26,44,4,,1,,27.623990929705215,
27,44,1,,1,,27.864648526077097,
27,50,2,,1,,28.10453514739229,
27,42,3,,1,,28.32140589569161,
27,42,4,,1,,28.54968253968254,
28,41,1,,1,,28.778231292517006,
28,45,2,,1,,29.024943310657598,
28,50,3,,1,,29.24843537414966,
28,50,4,,1,,29.456349206349206,
29,43,1,,1,,29.692290249433107,
29,43,2,,1,,29.93190476190476,
29,50,3,,1,,30.183968253968253,
29,40,4,,1,,30.421882086167802,
30,39,1,,1,,30.65437641723356,
30,50,2,,1,,30.883310657596372,
30,42,3,,1,,31.13031746031746,
30,37,4,,1,,31.35845804988662,
31,51,1,,1,,31.582018140589568,
31,50,2,,1,,31.819410430839003,
31,48,3,,1,,32.04530612244898,
31,48,4,,1,,32.287346938775514,
32,47,1,,1,,32.55530612244898,
32,45,2,,1,,32.806598639455785,
32,43,3,,1,,33.03122448979592,
32,42,4,,1,,33.2540589569161,
33,43,1,C-,2,A1,33.46448979591837,
