bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,48,1,NC,0,I,2.2767346938775512,
0,48,2,,0,,2.7365532879818595,
0,34,3,,0,,3.187732426303855,
0,38,4,,0,,3.6569387755102043,
1,37,1,Eb-7,1,A1,4.086507936507936,4/4
1,42,2,,1,,4.581950113378685,
1,45,3,,1,,5.043741496598639,
1,37,4,,1,,5.522743764172335,
2,37,1,Ab,1,,5.942517006802721,
2,40,2,,1,,6.396417233560091,
2,37,3,,1,,6.8139909297052155,
2,37,4,,1,,7.254195011337869,
3,42,1,Dbj7,1,,7.666235827664399,
3,37,2,,1,,8.138253968253968,
3,42,3,,1,,8.570816326530613,
3,42,4,,1,,9.036077097505668,
4,41,1,F-7,1,,9.508321995464852,
4,38,2,,1,,9.953242630385487,
4,34,3,E-7,1,,10.40514739229025,
4,42,4,,1,,10.864807256235828,
5,42,1,Eb-7,1,,11.333265306122449,
5,37,2,,1,,11.79498866213152,
5,33,3,,1,,12.244195011337869,
5,37,4,,1,,12.681609977324262,
6,42,1,Ab7,1,,13.101927437641724,
6,37,2,,1,,13.567687074829932,
6,44,3,,1,,14.010045351473924,
6,38,4,,1,,14.432086167800454,
7,37,1,Dbj7,1,,14.884784580498867,
7,37,2,,1,,15.305351473922903,
7,37,3,,1,,15.744172335600908,
7,37,4,,1,,16.20231292517007,
8,37,1,,1,,16.604580498866213,
8,37,2,,1,,17.048412698412697,
8,37,3,,1,,17.47299319727891,
8,37,4,,1,,17.91421768707483,
9,41,1,Bb-7,1,,18.355396825396827,
9,37,2,,1,,18.806371882086168,
9,34,3,,1,,19.2653514739229,
9,34,4,,1,,19.7378231292517,
10,38,1,Eb7,1,,20.186507936507937,
10,42,2,,1,,20.669727891156462,
10,42,3,,1,,21.11997732426304,
10,42,4,,1,,21.525283446712017,
11,42,1,,1,,21.958662131519276,
11,42,2,,1,,22.409637188208617,
11,37,3,,1,,22.837551020408164,
11,43,4,,1,,23.294557823129253,
12,34,1,Bb-7,1,,23.7243537414966,
12,42,2,,1,,24.19439909297052,
12,34,3,,1,,24.665374149659865,
12,45,4,,1,,25.122902494331065,
13,34,1,Eb-7,1,,25.573287981859412,
13,42,2,,1,,26.023968253968253,
13,33,3,,1,,26.461904761904762,
13,34,4,,1,,26.893038548752834,
14,42,1,Ab7,1,,27.33997732426304,
14,37,2,,1,,27.787845804988663,
14,51,3,,1,,28.24519274376417,
14,45,4,,1,,28.74049886621315,
15,33,1,Db-7,1,,29.190385487528346,
15,33,2,,1,,29.648979591836735,
15,34,3,,1,,30.119183673469387,
15,42,4,,1,,30.580680272108843,
16,47,1,Gb7,1,,31.024761904761906,
16,47,2,,1,,31.474648526077097,
16,37,3,,1,,31.962267573696145,
16,37,4,,1,,32.44408163265306,
17,37,1,G-7,1,B1,32.88235827664399,
17,38,2,,1,,33.364172335600905,
17,37,3,C7,1,,33.851791383219954,
17,37,4,,1,,34.32489795918367,
18,37,1,F#-7,1,,34.76027210884354,
18,37,2,,1,,35.23047619047619,
18,48,3,B7,1,,35.68907029478458,
18,37,4,,1,,36.136054421768705,
19,41,1,F-7,1,,36.635283446712016,
19,47,2,,1,,37.12,
19,47,3,Bb7,1,,37.56988662131519,
19,37,4,,1,,38.04589569160998,
20,52,1,E-7,1,,38.48417233560091,
20,52,2,,1,,38.93986394557823,
20,34,3,A7,1,,39.41877551020408,
20,42,4,,1,,39.85995464852608,
21,37,1,Eb-7,1,,40.306938775510204,
21,37,2,,1,,40.77424036281179,
21,45,3,,1,,41.22702947845805,
21,45,4,,1,,41.662403628117914,
22,37,1,Ab7,1,,42.120997732426304,
22,38,2,,1,,42.55637188208617,
22,42,3,,1,,43.01496598639456,
22,42,4,,1,,43.49591836734694,
23,37,1,B7alt,1,,43.93265306122449,
23,37,2,,1,,44.3795918367347,
23,41,3,,1,,44.81836734693878,
23,41,4,,1,,45.2530612244898,
24,44,1,Bb7,1,,45.69387755102041,
24,42,2,,1,,46.1530612244898,
24,34,3,,1,,46.642857142857146,
24,38,4,,1,,47.077551020408166,
25,37,1,Eb7,1,,47.55102040816327,
25,37,2,,1,,48.03673469387755,
25,33,3,,1,,48.47142857142857,
25,33,4,,1,,48.96530612244898,
26,37,1,D7,1,,49.43265306122449,
26,37,2,,1,,49.89968253968254,
26,51,3,,1,,50.340861678004536,
26,51,4,,1,,50.81687074829932,
27,38,1,Dbj7,1,,51.23673469387755,
27,37,2,,1,,51.68163265306122,
27,37,3,,1,,52.12244897959184,
27,37,4,,1,,52.60408163265306,
28,41,1,Eb7,1,,53.053061224489795,
28,37,2,,1,,53.50204081632653,
28,34,3,,1,,53.96734693877551,
28,47,4,,1,,54.436734693877554,
29,37,1,Eb-7,1,,54.89387755102041,
29,51,2,,1,,55.36734693877551,
29,51,3,,1,,55.85306122448979,
29,37,4,,1,,56.36734693877551,
30,37,1,Ab7,1,,56.87755102040816,
30,44,2,,1,,57.391836734693875,
30,44,3,,1,,57.86938775510204,
30,44,4,,1,,58.34285714285714,
31,51,1,Db,1,,58.816326530612244,
31,41,2,,1,,59.33061224489796,
31,37,3,,1,,59.84897959183674,
31,38,4,,1,,60.351020408163265,
32,42,1,,1,,60.795918367346935,
