bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,37,3,NC,0,I1,1.509297052154195,
0,37,4,,0,,2.4299773242630387,
1,34,1,Eb-7,1,A1,3.324331065759637,4/4
1,42,2,,1,,4.249251700680272,
1,40,3,Bb79b,1,,5.180997732426304,
1,33,4,,1,,6.0980952380952385,
2,34,1,Eb-7,1,,7.046802721088436,
2,37,2,,1,,7.99984126984127,
2,52,3,D7,1,,8.878594104308391,
2,45,4,,1,,9.8162358276644,
3,44,1,Dbj7,1,,10.779160997732426,
3,44,2,,1,,11.737596371882086,
3,37,3,Gb7,1,,12.705691609977324,
3,37,4,,1,,13.653333333333334,
4,48,1,F-7,1,,14.635873015873015,
4,48,2,,1,,15.524308390022675,
4,37,3,Eo7,1,,16.47294784580499,
4,38,4,,1,,17.441201814058957,
5,34,1,Eb-7,1,,18.403945578231294,
5,42,2,,1,,19.37705215419501,
5,37,3,,1,,20.32965986394558,
5,38,4,,1,,21.26297052154195,
6,37,1,Cm7b5,1,,22.157641723356008,
6,42,2,,1,,23.049274376417234,
6,48,3,F7,1,,23.988231292517007,
6,48,4,,1,,24.931337868480725,
7,41,1,Bb-7,1,,25.854149659863946,
7,37,2,Eb7,1,,26.807437641723357,
7,37,3,Eb-7,1,,27.755555555555556,
7,51,4,Ab7,1,,28.66297052154195,
8,44,1,Db6,1,,29.56702947845805,
8,43,2,,1,,30.554897959183673,
8,42,3,Bb7,1,,31.4881179138322,
8,41,4,,1,,32.38587301587302,
9,34,1,Eb-7,1,A2,33.32476190476191,
9,42,2,,1,,34.27265306122449,
9,38,3,Bb79b,1,,35.21115646258503,
9,33,4,,1,,36.1708843537415,
10,33,1,Eb-7,1,,37.14031746031746,
10,37,2,,1,,38.015736961451246,
10,52,3,D7,1,,38.93986394557823,
10,52,4,,1,,39.85657596371882,
11,44,1,Dbj7,1,,40.849546485260774,
11,44,2,,1,,41.82206349206349,
11,37,3,Gb7,1,,42.761043083900226,
11,37,4,,1,,43.64877551020408,
12,51,1,F-7,1,,44.49283446712018,
12,37,2,,1,,45.36598639455782,
12,38,3,Eo7,1,,46.25981859410431,
12,37,4,,1,,47.14845804988662,
13,37,1,Eb-7,1,,48.01680272108843,
13,37,2,,1,,48.970884353741496,
13,38,3,,1,,49.90873015873016,
13,44,4,,1,,50.80714285714286,
14,43,1,Cm7b5,1,,51.719909297052155,
14,43,2,,1,,52.67297052154195,
14,37,3,F7,1,,53.5615873015873,
14,37,4,,1,,54.4746485260771,
15,41,1,Bb-7,1,,55.363401360544216,
15,42,2,Eb7,1,,56.2965306122449,
15,37,3,Eb-7,1,,57.22920634920635,
15,51,4,Ab7,1,,58.14294784580499,
16,41,1,Db6,1,,59.03673469387755,
16,37,2,,1,,59.9307029478458,
16,48,3,E-7,1,,60.81306122448979,
16,52,4,A7,1,,61.70702947845805,
17,52,1,Dj7,1,B1,62.66421768707483,
17,52,2,,1,,63.5430612244898,
17,38,3,E-7,1,,64.46664399092971,
17,40,4,,1,,65.37578231292517,
18,40,1,F#-7,1,,66.2487074829932,
18,40,2,,1,,67.1869387755102,
18,38,3,G-7,1,,68.09251700680272,
18,40,4,C7,1,,68.9592970521542,
19,37,1,F#-7,1,,69.84693877551021,
19,37,2,B-7,1,,70.70659863945578,
19,37,3,E-7,1,,71.55229024943311,
19,52,4,A7,1,,72.45786848072562,
20,52,1,Dj7,1,,73.3520634920635,
20,52,2,,1,,74.25065759637188,
20,37,3,,1,,75.17340136054422,
20,52,4,,1,,76.09684807256235,
21,38,1,D-7,1,,76.94111111111111,
21,37,2,,1,,77.87358276643991,
21,38,3,G7,1,,78.76238095238095,
21,38,4,,1,,79.63283446712018,
22,50,1,Cj7,1,,80.49442176870748,
22,50,2,,1,,81.35691609977324,
22,42,3,Ebo,1,,82.19678004535147,
22,37,4,,1,,83.10535147392291,
23,37,1,D-7,1,,83.9898185941043,
23,38,2,,1,,84.8525850340136,
23,38,3,G7,1,,85.77451247165533,
23,38,4,,1,,86.69,
24,38,1,C7,1,,87.56786848072562,
24,37,2,B7,1,,88.44136054421769,
24,37,3,Bb7,1,,89.36467120181406,
24,42,4,,1,,90.25816326530612,
25,34,1,Eb-7,1,A3,91.22102040816327,
25,42,2,,1,,92.14839002267574,
25,33,3,Bb79b,1,,93.07789115646258,
25,40,4,,1,,93.9559410430839,
26,34,1,Eb-7,1,,94.8302947845805,
26,42,2,,1,,95.70301587301587,
26,38,3,D7,1,,96.54857142857144,
26,52,4,,1,,97.48054421768707,
27,44,1,Dbj7,1,,98.358820861678,
27,44,2,,1,,99.2725850340136,
27,37,3,Gb7,1,,100.22893424036282,
27,37,4,,1,,101.19374149659863,
28,48,1,F-7,1,,102.0367573696145,
28,37,2,,1,,102.91600907029479,
28,37,3,Eo7,1,,103.81907029478458,
28,33,4,,1,,104.68267573696146,
29,34,1,Eb-7,1,,105.59616780045351,
29,37,2,,1,,106.48519274376417,
29,44,3,,1,,107.37294784580499,
29,44,4,,1,,108.24213151927438,
30,43,1,Cm7b5,1,,109.11478458049886,
30,43,2,,1,,110.03936507936508,
30,37,3,F7,1,,110.96176870748299,
30,48,4,,1,,111.82027210884354,
31,37,1,Bb-7,1,,112.68571428571428,
31,37,2,Eb7,1,,113.52401360544218,
31,51,3,Eb-7,1,,114.41192743764172,
31,51,4,Ab7,1,,115.26578231292517,
32,51,1,Db6,1,,116.17857142857143,
32,38,2,Gb7,1,,117.08680272108843,
32,37,3,Fm7b5,1,,118.03548752834467,
32,37,4,Bb7,1,,118.90938775510205,
33,34,1,Eb-7,1,I1,119.81242630385488,
33,45,2,,1,,120.72068027210884,
33,38,3,Bb7,1,,121.60290249433106,
