bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-7,41,1,F7,0,I1,1.071360544217687,
-7,37,2,,0,,1.5771655328798186,
-7,38,3,,0,,2.0787301587301585,
-7,38,4,,0,,2.6347165532879817,
-6,38,1,Bb7,0,,3.1614285714285715,
-6,37,2,,0,,3.6922448979591835,
-6,50,3,,0,,4.213514739229025,
-6,50,4,,0,,4.72485260770975,
-5,48,1,F7,0,,5.290589569160998,
-5,47,2,,0,,5.817324263038548,
-5,47,3,,0,,6.363265306122449,
-5,43,4,,0,,6.893877551020408,
-4,40,1,A-7,0,,7.396122448979592,
-4,38,2,,0,,7.926916099773242,
-4,45,3,D7,0,,8.438321995464852,
-4,40,4,,0,,8.984331065759637,
-3,50,1,G-7,0,,9.495691609977325,
-3,41,2,,0,,10.032108843537415,
-3,42,3,,0,,10.573061224489797,
-3,50,4,,0,,11.109297052154195,
-2,43,1,C7,0,,11.630521541950113,
-2,44,2,,0,,12.141791383219955,
-2,45,3,,0,,12.662902494331066,
-2,43,4,,0,,13.199478458049887,
-1,40,1,F7,0,,13.720589569160998,
-1,38,2,,0,,14.241632653061224,
-1,45,3,,0,,14.768253968253969,
-1,37,4,,0,,15.281587301587301,
0,38,1,F7,0,,15.820204081632653,
0,42,2,,0,,16.34684807256236,
0,43,3,,0,,16.863492063492064,
0,40,4,,0,,17.39174603174603,
1,37,1,F7,1,A1,17.89387755102041,4/4
1,37,2,,1,,18.43673469387755,
1,50,3,,1,,18.93469387755102,
1,40,4,,1,,19.478503401360545,
2,41,1,Bb7,1,,19.999750566893425,
2,42,2,,1,,20.52092970521542,
2,43,3,,1,,21.06716553287982,
2,50,4,,1,,21.632743764172336,
3,48,1,F7,1,,22.17904761904762,
3,40,2,,1,,22.68979591836735,
3,41,3,,1,,23.23673469387755,
3,42,4,,1,,23.767256235827663,
4,43,1,,1,,24.29498866213152,
4,37,2,,1,,24.83528344671202,
4,37,3,,1,,25.37172335600907,
4,50,4,,1,,25.902721088435374,
5,41,1,Bb7,1,,26.429455782312925,
5,45,2,,1,,26.995215419501132,
5,43,3,,1,,27.541496598639455,
5,40,4,,1,,28.047256235827664,
6,41,1,,1,,28.603106575963718,
6,45,2,,1,,29.149319727891157,
6,42,3,,1,,29.705238095238094,
6,43,4,,1,,30.241791383219955,
7,48,1,F7,1,,30.737755102040815,
7,38,2,,1,,31.274104308390022,
7,50,3,,1,,31.805079365079365,
7,41,4,,1,,32.34149659863946,
8,38,1,D7,1,,32.86249433106576,
8,44,2,,1,,33.40893424036281,
8,39,3,,1,,33.92984126984127,
8,51,4,,1,,34.47614512471655,
9,37,1,G-7,1,,35.00718820861678,
9,37,2,,1,,35.53383219954649,
9,50,3,,1,,36.044920634920636,
9,50,4,,1,,36.55646258503401,
10,43,1,C7,1,,37.08714285714286,
10,40,2,,1,,37.623877551020406,
10,50,3,,1,,38.142857142857146,
10,38,4,,1,,38.666167800453515,
11,38,1,F7,1,,39.177392290249436,
11,37,2,,1,,39.71365079365079,
11,38,3,,1,,40.23482993197279,
11,38,4,,1,,40.75582766439909,
12,37,1,,1,,41.25750566893424,
12,38,2,,1,,41.76888888888889,
12,37,3,,1,,42.289795918367346,
12,37,4,,1,,42.83614512471655,
13,37,1,F7,2,A1,43.357233560090705,
13,37,2,,2,,43.87839002267574,
13,37,3,,2,,44.43424036281179,
13,45,4,,2,,44.9553514739229,
14,41,1,Bb7,2,,45.46678004535148,
14,42,2,,2,,45.99292517006803,
14,43,3,,2,,46.5037641723356,
14,45,4,,2,,47.03201814058957,
15,38,1,F7,2,,47.57206349206349,
15,33,2,,2,,48.12798185941043,
15,37,3,,2,,48.683945578231295,
15,38,4,,2,,49.23009070294785,
16,50,1,,2,,49.76106575963719,
16,50,2,,2,,50.252698412698415,
16,48,3,,2,,50.79360544217687,
16,45,4,,2,,51.3202947845805,
17,41,1,Bb7,2,,51.85306122448979,
