bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,34,1,NC,0,I1,1.5238095238095237,
0,48,2,,0,,1.8517913832199546,
0,50,3,,0,,2.1652607709750566,
0,50,4,,0,,2.4729251700680273,
1,51,1,Bb7,1,A1,2.753764172335601,4/4
1,50,2,,1,,3.086621315192744,
1,50,3,,1,,3.409659863945578,
1,45,4,,1,,3.751519274376417,
2,34,1,Eb7,1,,4.101224489795919,
2,47,2,,1,,4.4511111111111115,
2,42,3,,1,,4.808163265306122,
2,48,4,,1,,5.1518820861678005,
3,37,1,Bb7,1,,5.489455782312925,
3,38,2,,1,,5.822267573696145,
3,39,3,,1,,6.1649886621315195,
3,40,4,,1,,6.513197278911565,
4,41,1,Bb7,1,,6.8612244897959185,
4,42,2,,1,,7.212993197278911,
4,43,3,,1,,7.535192743764172,
4,33,4,,1,,7.868208616780046,
5,34,1,Eb7,1,,8.200113378684808,
5,47,2,,1,,8.548231292517007,
5,48,3,,1,,8.866031746031746,
5,51,4,,1,,9.178458049886622,
6,42,1,,1,,9.491814058956916,
6,47,2,,1,,9.804172335600907,
6,48,3,,1,,10.127414965986395,
6,47,4,,1,,10.4340589569161,
7,42,1,Bb7,1,,10.782426303854875,
7,44,2,,1,,11.133968253968254,
7,37,3,,1,,11.472403628117913,
7,37,4,,1,,11.779591836734694,
8,42,1,D-7,1,,12.10920634920635,
8,43,2,,1,,12.428571428571429,
8,42,3,G7,1,,12.758684807256236,
8,50,4,,1,,13.090521541950114,
9,43,1,C-7,1,,13.428956916099773,
9,45,2,,1,,13.746780045351475,
9,34,3,,1,,14.084104308390023,
9,42,4,,1,,14.42671201814059,
10,42,1,F7,1,,14.775102040816327,
10,47,2,,1,,15.107165532879819,
10,48,3,,1,,15.429659863945579,
10,40,4,,1,,15.754739229024944,
11,42,1,Bb7,1,,16.08532879818594,
11,45,2,,1,,16.41829931972789,
11,50,3,,1,,16.765532879818593,
11,42,4,,1,,17.118027210884353,
12,37,1,F7,1,,17.449909297052155,
12,37,2,,1,,17.808163265306124,
12,37,3,,1,,18.160453514739228,
12,48,4,,1,,18.497936507936508,
13,41,1,Bb7,2,A1,18.850430839002268,
13,38,2,,2,,19.173492063492063,
13,42,3,,2,,19.52077097505669,
13,38,4,,2,,19.863378684807255,
14,37,1,Eb7,2,,20.201995464852608,
14,42,2,,2,,20.533968253968254,
14,38,3,,2,,20.876643990929704,
14,38,4,,2,,21.214331065759637,
15,38,1,Bb7,2,,21.551247165532878,
15,38,2,,2,,21.889773242630387,
15,37,3,,2,,22.221746031746033,
15,42,4,,2,,22.544897959183672,
16,42,1,,2,,22.886530612244897,
16,51,2,,2,,23.20981859410431,
16,41,3,,2,,23.558072562358277,
16,42,4,,2,,23.89984126984127,
