bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,42,2,NC,0,I1,4.026802721088435,
-1,37,3,,0,,4.538253968253969,
-1,38,4,,0,,5.049659863945578,
0,38,1,,0,,5.571428571428571,
0,40,2,,0,,6.106122448979592,
0,40,3,,0,,6.658049886621315,
0,42,4,,0,,7.15922902494331,
1,42,1,Eb,1,A1,7.645170068027211,4/4
1,37,2,,1,,8.179591836734694,
1,50,3,F-7,1,,8.722448979591837,
1,43,4,,1,,9.231133786848073,
2,48,1,G-7,1,,9.741950113378685,
2,50,2,,1,,10.273832199546485,
2,51,3,F-7,1,,10.795918367346939,
2,49,4,,1,,11.320612244897958,
3,50,1,G-7,1,,11.808163265306122,
3,50,2,,1,,12.313469387755102,
3,47,3,F-7,1,,12.787006802721088,
3,34,4,,1,,13.294784580498867,
4,49,1,F#-7,1,,13.80408163265306,
4,41,2,,1,,14.318367346938775,
4,42,3,B7,1,,14.838979591836734,
4,47,4,,1,,15.34702947845805,
5,47,1,F-7,1,,15.848979591836734,
5,50,2,,1,,16.32204081632653,
5,51,3,,1,,16.857142857142858,
5,52,4,,1,,17.381927437641725,
6,47,1,Bb7,1,,17.856009070294785,
6,41,2,,1,,18.33829931972789,
6,43,3,,1,,18.855691609977324,
6,45,4,,1,,19.3621768707483,
7,34,1,Ebj7,1,,19.859002267573697,
7,38,2,,1,,20.35609977324263,
7,43,3,C7,1,,20.88800453514739,
7,37,4,,1,,21.42156462585034,
8,48,1,F-7,1,,21.926326530612243,
8,42,2,,1,,22.43952380952381,
8,41,3,Bb7,1,,22.946916099773244,
8,47,4,,1,,23.453673469387756,
9,34,1,Ebj7,1,A2,23.96734693877551,
9,34,2,,1,,24.505555555555556,
9,48,3,F-7,1,,25.043514739229025,
9,48,4,,1,,25.540204081632652,
10,50,1,G-7,1,,26.078344671201815,
10,42,2,,1,,26.550408163265306,
10,32,3,F-7,1,,27.075238095238095,
10,42,4,,1,,27.603514739229023,
11,42,1,G-7,1,,28.09090702947846,
11,37,2,,1,,28.59390022675737,
11,37,3,F-7,1,,29.116213151927436,
11,38,4,,1,,29.63766439909297,
12,37,1,F#-7,1,,30.121179138321995,
12,42,2,,1,,30.612290249433105,
12,42,3,B7,1,,31.122879818594104,
12,38,4,,1,,31.646213151927437,
13,32,1,F-7,1,,32.14185941043084,
13,37,2,,1,,32.63482993197279,
13,42,3,,1,,33.13560090702948,
13,37,4,,1,,33.651496598639454,
14,52,1,Bb7,1,,34.1612925170068,
14,37,2,,1,,34.6665306122449,
14,41,3,,1,,35.16521541950113,
14,38,4,,1,,35.65761904761905,
