bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,41,2,NC,0,I1,4.295691609977324,
0,42,3,,0,,4.649795918367347,
0,43,4,,0,,5.009705215419501,
1,44,1,Db,1,A1,5.362721088435374,4/4
1,43,2,,1,,5.694716553287982,
1,41,3,Bb7,1,,6.052585034013606,
1,41,4,,1,,6.385555555555555,
2,48,1,Eb-7,1,,6.732879818594104,
2,47,2,,1,,7.100566893424037,
2,34,3,Ab7,1,,7.45297052154195,
2,45,4,,1,,7.8001814058956915,
3,44,1,F-7,1,,8.152698412698413,
3,44,2,,1,,8.49126984126984,
3,41,3,Bb-7,1,,8.84283446712018,
3,38,4,,1,,9.175736961451246,
4,49,1,Eb-7,1,,9.523015873015874,
4,47,2,,1,,9.855827664399094,
4,47,3,Ab7,1,,10.213968253968254,
4,42,4,,1,,10.565578231292516,
5,44,1,Ab-7,1,,10.920408163265305,
5,43,2,,1,,11.273469387755101,
5,41,3,Db7,1,,11.623356009070294,
5,51,4,,1,,11.94641723356009,
6,49,1,Gb7,1,,12.298866213151927,
6,47,2,,1,,12.636349206349207,
6,34,3,B7,1,,12.97907029478458,
6,45,4,,1,,13.326281179138322,
7,44,1,F-7,1,,13.694104308390022,
7,47,2,,1,,14.036825396825396,
7,37,3,Bb-7,1,,14.368843537414966,
7,50,4,,1,,14.691950113378685,
8,39,1,Eb-7,1,,15.040113378684808,
8,41,2,,1,,15.391632653061224,
8,42,3,Ab7,1,,15.739818594104309,
8,37,4,,1,,16.062925170068027,
9,44,1,Db,1,A2,16.404739229024944,
9,38,2,,1,,16.772471655328797,
9,38,3,Bb7,1,,17.13047619047619,
9,37,4,,1,,17.491768707482994,
10,37,1,Eb-7,1,,17.83018140589569,
10,42,2,,1,,18.163083900226756,
10,37,3,Ab7,1,,18.50487528344671,
10,51,4,,1,,18.860408163265305,
11,44,1,F-7,1,,19.220861678004535,
11,42,2,,1,,19.56265306122449,
11,41,3,Bb-7,1,,19.90528344671202,
11,41,4,,1,,20.25360544217687,
12,49,1,Eb-7,1,,20.58541950113379,
12,41,2,,1,,20.93374149659864,
12,51,3,Ab7,1,,21.276349206349206,
12,43,4,,1,,21.627936507936507,
13,44,1,Ab-7,1,,21.9662358276644,
13,48,2,,1,,22.31780045351474,
13,51,3,Db7,1,,22.67718820861678,
13,50,4,,1,,23.018458049886622,
14,47,1,Gb7,1,,23.356054421768707,
14,48,2,,1,,23.679115646258502,
14,49,3,B7,1,,24.031655328798188,
14,50,4,,1,,24.353809523809524,
15,51,1,F-7,1,,24.701927437641725,
15,47,2,,1,,25.024149659863944,
15,49,3,Bb-7,1,,25.376621315192743,
15,34,4,,1,,25.699886621315194,
16,48,1,Eb7,1,,26.047210884353742,
16,44,2,,1,,26.389886621315192,
16,44,3,Ab7,1,,26.722743764172336,
16,43,4,,1,,27.05485260770975,
17,43,1,C7,1,B1,27.387777777777778,
17,43,2,,1,,27.744625850340135,
17,50,3,,1,,28.09312925170068,
17,41,4,,1,,28.44560090702948,
18,47,1,,1,,28.792721088435375,
18,50,2,,1,,29.135396825396825,
18,43,3,,1,,29.483696145124718,
18,47,4,,1,,29.815691609977325,
19,48,1,F7,1,,30.15111111111111,
19,50,2,,1,,30.4815873015873,
19,41,3,,1,,30.823287981859412,
19,41,4,,1,,31.17140589569161,
20,42,1,,1,,31.51328798185941,
20,48,2,,1,,31.851632653061223,
20,50,3,,1,,32.21945578231293,
20,41,4,,1,,32.56018140589569,
21,41,1,Bb7,1,,32.903945578231294,
21,41,2,,1,,33.22709750566894,
21,50,3,,1,,33.5840589569161,
21,48,4,,1,,33.951950113378686,
22,48,1,,1,,34.31328798185941,
22,44,2,,1,,34.66142857142857,
22,43,3,,1,,35.00968253968254,
22,41,4,,1,,35.352448979591834,
23,51,1,Eb7,1,,35.719251700680275,
23,50,2,,1,,36.071768707482995,
23,50,3,,1,,36.418843537414965,
23,50,4,,1,,36.751768707482995,
24,51,1,Ab7,1,,37.11959183673469,
24,45,2,,1,,37.45170068027211,
24,45,3,,1,,37.784557823129255,
24,45,4,,1,,38.15222222222222,
25,44,1,Db,1,A3,38.48984126984127,
25,48,2,,1,,38.8618820861678,
25,51,3,Bb7,1,,39.20031746031746,
25,50,4,,1,,39.54201814058957,
26,49,1,Eb-7,1,,39.90015873015873,
26,47,2,,1,,40.25260770975056,
26,34,3,Ab7,1,,40.57480725623583,
26,45,4,,1,,40.92292517006803,
27,44,1,F-7,1,,41.27453514739229,
27,44,2,,1,,41.60310657596372,
27,40,3,Bb-7,1,,41.95560090702948,
27,41,4,,1,,42.312562358276644,
28,34,1,Eb-7,1,,42.665238095238095,
28,47,2,,1,,43.02077097505669,
28,37,3,Ab7,1,,43.380204081632655,
28,51,4,,1,,43.71328798185941,
29,44,1,Ab-7,1,,44.04616780045352,
29,37,2,,1,,44.39331065759637,
29,41,3,Db7,1,,44.75356009070295,
29,41,4,,1,,45.11927437641723,
30,49,1,Gb7,1,,45.4608843537415,
30,42,2,,1,,45.80358276643991,
30,34,3,B7,1,,46.15068027210884,
30,45,4,,1,,46.503197278911564,
31,44,1,F-7,1,,46.82637188208617,
31,48,2,,1,,47.14868480725624,
31,49,3,Bb-7,1,,47.516507936507935,
31,50,4,,1,,47.87439909297052,
32,37,1,Eb-7,1,,48.21619047619048,
32,41,2,,1,,48.58414965986395,
32,42,3,Ab7,1,,48.9072335600907,
32,43,4,,1,,49.23925170068027,
33,44,1,NC,1,I1,49.58730158730159,
33,44,2,,1,,49.94031746031746,
33,41,3,,1,,50.29707482993197,
