bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,51,1,NC,0,I1,2.877369614512472,
-1,51,2,,0,,3.1170748299319726,
-1,51,3,,0,,3.349954648526077,
-1,51,4,,0,,3.593560090702948,
0,43,1,,0,,3.836281179138322,
0,38,2,,0,,4.079977324263038,
0,42,3,,0,,4.328367346938776,
0,51,4,,0,,4.572018140589569,
1,44,1,C,1,A1,4.814739229024943,4/4
1,42,2,,1,,5.04766439909297,
1,41,3,,1,,5.29702947845805,
1,50,4,,1,,5.529954648526077,
2,47,1,,1,,5.763854875283447,
2,47,2,,1,,5.996893424036281,
2,47,3,,1,,6.230861678004535,
2,51,4,,1,,6.473560090702948,
3,43,1,G7,1,,6.73687074829932,
3,44,2,,1,,6.969750566893424,
3,47,3,,1,,7.198412698412699,
3,47,4,,1,,7.442199546485261,
4,37,1,C,1,,7.695578231292517,
4,51,2,,1,,7.918707482993197,
4,41,3,,1,,8.16219954648526,
4,41,4,,1,,8.404965986394558,
5,43,1,,1,,8.644512471655329,
5,43,2,,1,,8.87748299319728,
5,41,3,,1,,9.095124716553288,
5,51,4,,1,,9.344240362811792,
6,47,1,,1,,9.587074829931973,
6,47,2,,1,,9.830702947845804,
6,45,3,,1,,10.06360544217687,
6,38,4,,1,,10.313015873015873,
7,34,1,G7,1,,10.555668934240362,
7,51,2,,1,,10.78875283446712,
7,38,3,,1,,11.042222222222222,
7,38,4,,1,,11.291201814058956,
8,43,1,C,1,,11.524104308390022,
8,42,2,,1,,11.757165532879819,
8,41,3,,1,,11.991020408163266,
8,40,4,,1,,12.243877551020407,
9,43,1,C,1,A2,12.487460317460318,
9,37,2,,1,,12.720385487528345,
9,38,3,,1,,12.95968253968254,
9,44,4,,1,,13.202789115646258,
10,42,1,,1,,13.446235827664399,
10,42,2,,1,,13.679138321995465,
10,37,3,,1,,13.912721088435374,
10,37,4,,1,,14.155555555555555,
11,38,1,G7,1,,14.389455782312925,
11,38,2,,1,,14.622358276643991,
11,37,3,,1,,14.861859410430839,
11,44,4,,1,,15.114557823129251,
12,37,1,C,1,,15.35721088435374,
12,37,2,,1,,15.606507936507937,
12,50,3,,1,,15.849160997732426,
12,50,4,,1,,16.08312925170068,
13,43,1,,1,,16.31609977324263,
13,43,2,,1,,16.54997732426304,
13,42,3,,1,,16.802743764172334,
13,42,4,,1,,17.046349206349205,
14,47,1,,1,,17.294421768707483,
14,47,2,,1,,17.528027210884353,
14,47,3,,1,,17.771043083900228,
14,47,4,,1,,18.00487528344671,
15,47,1,G7,1,,18.237891156462585,
15,51,2,,1,,18.471768707482994,
15,38,3,,1,,18.704648526077097,
15,38,4,,1,,18.93777777777778,
16,43,1,C,1,,19.196734693877552,
16,43,2,,1,,19.44936507936508,
16,47,3,,1,,19.68471655328798,
16,42,4,,1,,19.94140589569161,
17,43,1,C7,1,B1,20.18501133786848,
17,43,2,,1,,20.417936507936506,
17,44,3,,1,,20.667301587301587,
17,44,4,,1,,20.909931972789117,
18,42,1,,1,,21.143809523809523,
18,42,2,,1,,21.386553287981858,
18,37,3,,1,,21.62934240362812,
18,37,4,,1,,21.878639455782313,
19,48,1,F7,1,,22.11156462585034,
19,37,2,,1,,22.34560090702948,
19,37,3,,1,,22.588367346938774,
19,37,4,,1,,22.822244897959184,
20,43,1,,1,,23.045374149659864,
20,41,2,,1,,23.29893424036281,
20,41,3,,1,,23.547120181405894,
20,47,4,,1,,23.780204081632654,
21,42,1,Bb7,1,,24.02378684807256,
21,41,2,,1,,24.266757369614513,
21,42,3,,1,,24.510408163265307,
21,43,4,,1,,24.753061224489795,
22,41,1,,1,,24.99249433106576,
22,42,2,,1,,25.2359410430839,
22,44,3,,1,,25.468934240362813,
22,37,4,,1,,25.71167800453515,
23,38,1,Ab7,1,,25.96063492063492,
23,38,2,,1,,26.203537414965986,
23,38,3,,1,,26.437551020408165,
23,38,4,,1,,26.689931972789115,
24,37,1,G7,1,,26.933514739229025,
24,45,2,,1,,27.18199546485261,
24,38,3,,1,,27.425510204081633,
24,42,4,,1,,27.65843537414966,
25,42,1,C,1,A3,27.902154195011338,
25,43,2,,1,,28.160340136054423,
25,41,3,,1,,28.39421768707483,
25,39,4,,1,,28.627256235827666,
26,47,1,,1,,28.87,
26,47,2,,1,,29.119183673469387,
26,47,3,,1,,29.352925170068026,
26,51,4,,1,,29.585873015873016,
27,50,1,G7,1,,29.848163265306123,
27,45,2,,1,,30.072222222222223,
27,47,3,,1,,30.315102040816328,
27,47,4,,1,,30.563968253968255,
28,47,1,C,1,,30.80764172335601,
28,47,2,,1,,31.050430839002267,
28,42,3,,1,,31.29326530612245,
28,42,4,,1,,31.552176870748298,
29,42,1,,1,,31.79498866213152,
29,43,2,,1,,32.02891156462585,
29,41,3,,1,,32.26179138321996,
29,50,4,,1,,32.511156462585035,
30,47,1,,1,,32.75392290249433,
30,47,2,,1,,32.997460317460316,
30,45,3,,1,,33.24031746031746,
30,38,4,,1,,33.473242630385485,
31,34,1,G7,1,,33.717074829931974,
31,51,2,,1,,33.95537414965986,
31,38,3,,1,,34.199115646258505,
31,37,4,,1,,34.422267573696146,
32,43,1,C,1,,34.64659863945578,
32,43,2,,1,,34.889319727891156,
32,37,3,,1,,35.12326530612245,
32,50,4,,1,,35.375736961451246,
33,38,1,NC,1,I1,35.63498866213152,
