bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,33,1,,0,I1,2.0990249433106576,
0,45,2,,0,,2.3101473922902493,
0,42,3,,0,,2.521269841269841,
0,33,4,,0,,2.7246485260770976,
1,33,1,F-,1,A1,2.9280272108843537,4/4
1,38,2,,1,,3.1364739229024945,
1,44,3,Gm7b5,1,,3.344920634920635,
1,44,4,,1,,3.565816326530612,
2,51,1,F-,1,,3.7867120181405896,
2,42,2,,1,,3.992879818594104,
2,38,3,Bb-6,1,,4.199047619047619,
2,51,4,,1,,4.414886621315192,
3,50,1,F-,1,,4.630725623582767,
3,48,2,,1,,4.841859410430839,
3,45,3,,1,,5.052993197278911,
3,45,4,,1,,5.259229024943311,
4,44,1,Gm7b5,1,,5.46546485260771,
4,44,2,,1,,5.680975056689342,
4,44,3,C79b,1,,5.896485260770975,
4,50,4,,1,,6.097709750566893,
5,48,1,F-,1,,6.2989342403628115,
5,50,2,,1,,6.500487528344671,
5,51,3,Gm7b5,1,,6.702040816326531,
5,41,4,,1,,6.90797052154195,
6,42,1,F-,1,,7.113900226757369,
6,41,2,,1,,7.324546485260771,
6,43,3,Bb-6,1,,7.535192743764172,
6,44,4,,1,,7.733662131519274,
7,42,1,F-,1,,7.932131519274376,
7,50,2,,1,,8.150759637188209,
7,41,3,,1,,8.369387755102041,
7,52,4,,1,,8.572891156462585,
8,51,1,C7,1,,8.77639455782313,
8,50,2,,1,,8.982573696145124,
8,42,3,F-,1,,9.18875283446712,
8,37,4,,1,,9.389546485260771,
9,48,1,F-,1,A2,9.590340136054422,
9,48,2,,1,,9.796587301587302,
9,40,3,Gm7b5,1,,10.00283446712018,
9,42,4,,1,,10.196485260770974,
10,42,1,F-,1,,10.390136054421768,
10,42,2,,1,,10.606077097505668,
10,42,3,Bb-6,1,,10.822018140589568,
10,44,4,,1,,11.027755102040816,
11,43,1,F-,1,,11.233492063492063,
11,38,2,,1,,11.434807256235828,
11,41,3,,1,,11.636122448979592,
11,38,4,,1,,11.842142857142857,
12,51,1,Gm7b5,1,,12.048163265306123,
12,50,2,,1,,12.254353741496598,
12,47,3,C79b,1,,12.460544217687074,
12,37,4,,1,,12.666746031746031,
13,48,1,F-,1,,12.872947845804989,
13,51,2,,1,,13.083537414965987,
13,39,3,Gm7b5,1,,13.294126984126985,
13,48,4,,1,,13.487902494331067,
14,47,1,F-,1,,13.681678004535147,
14,45,2,,1,,13.887766439909296,
14,44,3,Bb-6,1,,14.093854875283446,
14,44,4,,1,,14.300090702947845,
15,42,1,F-,1,,14.506326530612245,
15,37,2,,1,,14.712086167800454,
15,51,3,,1,,14.917845804988662,
15,37,4,,1,,15.128809523809524,
16,48,1,C7,1,,15.339773242630386,
16,45,2,,1,,15.538356009070295,
16,44,3,F-,1,,15.736938775510204,
16,38,4,,1,,15.938163265306123,
17,43,1,F-7,1,B1,16.139387755102042,
17,45,2,,1,,16.337913832199547,
17,48,3,,1,,16.53643990929705,
17,50,4,,1,,16.727562358276643,
18,38,1,Bb79#,1,,16.918684807256234,
18,42,2,,1,,17.124807256235826,
18,52,3,,1,,17.330929705215418,
18,38,4,,1,,17.529489795918366,
19,42,1,Ebj7,1,,17.728049886621314,
19,50,2,,1,,17.92448979591837,
19,40,3,,1,,18.12092970521542,
19,42,4,,1,,18.32672335600907,
20,42,1,Ebj7,1,,18.53251700680272,
20,38,2,,1,,18.740748299319726,
20,38,3,,1,,18.948979591836736,
20,37,4,,1,,19.163015873015873,
21,45,1,Eb-7,1,,19.37705215419501,
21,48,2,,1,,19.597743764172336,
21,45,3,,1,,19.81843537414966,
21,37,4,,1,,20.024149659863944,
22,52,1,Ab79#,1,,20.22986394557823,
22,47,2,,1,,20.44091836734694,
22,44,3,,1,,20.651972789115646,
22,51,4,,1,,20.84825396825397,
