bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,44,2,NC,0,I1,2.853061224489796,
0,51,3,,0,,3.453061224489796,
0,44,4,,0,,4.0653061224489795,
1,44,1,Db7,1,A1,4.675918367346939,4/4
1,44,2,,1,,5.330612244897959,
1,48,3,,1,,5.956281179138322,
1,48,4,,1,,6.606122448979592,
2,49,1,Gb7,1,,7.254421768707483,
2,49,2,,1,,7.85312925170068,
2,50,3,Go,1,,8.448956916099773,
2,50,4,,1,,9.086167800453515,
3,51,1,Db,1,,9.68294784580499,
3,51,2,,1,,10.282244897959183,
3,49,3,Db7,1,,10.857482993197278,
3,49,4,,1,,11.477165532879818,
4,48,1,Bb-7,1,,12.071496598639456,
4,48,2,,1,,12.724580498866214,
4,44,3,Db7,1,,13.322426303854876,
4,44,4,,1,,13.915374149659863,
5,37,1,Gb7,1,,14.517596371882085,
5,44,2,,1,,15.14514739229025,
5,49,3,,1,,15.738253968253968,
5,44,4,,1,,16.36503401360544,
6,37,1,,1,,16.946916099773244,
6,44,2,,1,,17.544285714285714,
6,49,3,Go,1,,18.186916099773242,
6,50,4,,1,,18.75172335600907,
7,51,1,Db7,1,,19.36956916099773,
7,51,2,,1,,19.980317460317462,
7,49,3,,1,,20.56403628117914,
7,49,4,,1,,21.171995464852607,
8,48,1,,1,,21.767868480725625,
8,48,2,,1,,22.38122448979592,
8,47,3,Ao,1,,22.994285714285713,
8,47,4,,1,,23.60092970521542,
9,47,1,Ab7,1,,24.215850340136054,
9,47,2,,1,,24.84170068027211,
9,51,3,,1,,25.46283446712018,
9,51,4,,1,,26.07063492063492,
10,47,1,Gb7,1,,26.681292517006803,
10,51,2,,1,,27.264965986394557,
10,45,3,,1,,27.862562358276644,
10,45,4,,1,,28.435260770975056,
11,44,1,Db7,1,,29.039455782312924,
11,44,2,,1,,29.670657596371882,
11,42,3,,1,,30.28278911564626,
11,43,4,,1,,30.865283446712017,
12,44,1,,1,,31.463854875283445,
12,44,2,,1,,32.046961451247164,
12,44,3,,1,,32.65614512471655,
12,44,4,,1,,33.26013605442177,
13,44,1,NC,1,I1,33.91111111111111,
