bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-3,43,1,C-7,0,I1,0.5746938775510204,
-3,33,2,NC,0,,1.0938775510204082,
-3,47,3,NC,0,,1.6021768707482993,
-3,50,4,NC,0,,2.10140589569161,
-2,43,1,F7,0,,2.618662131519274,
-2,48,2,,0,,3.105668934240363,
-2,50,3,,0,,3.5951927437641724,
-2,38,4,,0,,4.10702947845805,
-1,37,1,Bbj7,0,,4.6007482993197275,
-1,37,2,,0,,5.11718820861678,
-1,44,3,G7,0,,5.62265306122449,
-1,44,4,,0,,6.148888888888889,
0,43,1,C-7,0,,6.655351473922902,
0,50,2,,0,,7.154308390022676,
0,48,3,F7,0,,7.652358276643991,
0,37,4,,0,,8.131678004535148,
1,51,1,Bbj7,1,A1,8.62,4/4
1,43,2,,1,,9.116757369614513,
1,38,3,,1,,9.614784580498867,
1,48,4,,1,,10.113764172335602,
2,38,1,,1,,10.609569160997733,
2,43,2,,1,,11.108458049886622,
2,38,3,,1,,11.624920634920635,
2,38,4,,1,,12.141337868480726,
3,37,1,A-7,1,,12.63938775510204,
3,37,2,,1,,13.145918367346939,
3,51,3,Abo,1,,13.624421768707483,
3,51,4,,1,,14.11344671201814,
4,50,1,G-7,1,,14.611496598639455,
4,50,2,,1,,15.090861678004535,
4,49,3,D7/F#,1,,15.596575963718822,
4,45,4,,1,,16.081632653061224,
5,50,1,G-7,1,,16.55657596371882,
5,50,2,,1,,17.054580498866212,
5,45,3,,1,,17.561065759637188,
5,45,4,,1,,18.059319727891157,
6,50,1,,1,,18.56591836734694,
6,50,2,,1,,19.055079365079365,
6,45,3,,1,,19.543333333333333,
6,37,4,,1,,20.040068027210886,
7,45,1,D-7,1,,20.520657596371883,
7,45,2,,1,,21.009002267573695,
7,44,3,Dbo,1,,21.4981179138322,
7,44,4,,1,,21.976643990929706,
8,43,1,C-7,1,,22.483219954648526,
8,43,2,,1,,22.981179138321995,
8,38,3,Bo7,1,,23.489886621315193,
8,43,4,,1,,23.99453514739229,
9,43,1,C-7,1,B1,24.508662131519273,
9,43,2,,1,,24.991473922902493,
9,43,3,,1,,25.485714285714284,
9,43,4,,1,,26.004580498866215,
10,48,1,F7,1,,26.502607709750567,
10,50,2,,1,,27.000589569160997,
10,37,3,,1,,27.49732426303855,
10,43,4,,1,,28.004172335600906,
11,38,1,Bbj7,1,,28.520430839002266,
11,38,2,,1,,29.00861678004535,
11,51,3,Ab7,1,,29.507573696145126,
11,51,4,,1,,29.986031746031745,
12,50,1,G7,1,,30.502403628117914,
12,50,2,,1,,30.990680272108843,
12,37,3,,1,,31.489637188208615,
12,37,4,,1,,32.0,
13,43,1,Cj7,1,,32.507936507936506,
13,50,2,,1,,32.99104308390023,
13,47,3,,1,,33.50732426303855,
13,45,4,,1,,34.00539682539682,
14,43,1,C-7,1,,34.50410430839002,
14,50,2,,1,,35.010589569161,
14,47,3,,1,,35.508798185941046,
14,37,4,,1,,35.99591836734694,
15,48,1,F7,1,,36.476349206349205,
15,50,2,,1,,36.98308390022676,
15,37,3,,1,,37.49938775510204,
15,38,4,,1,,37.97789115646258,
16,43,1,C-7,1,,38.486598639455785,
16,50,2,,1,,38.99219954648526,
16,48,3,F7,1,,39.491201814058954,
16,37,4,,1,,39.99766439909297,
17,37,1,Bbj7,2,A1,40.49573696145125,
17,45,2,,2,,41.00816326530612,
17,48,3,,2,,41.51886621315193,
17,37,4,,2,,42.03514739229025,
18,38,1,,2,,42.559183673469384,
18,43,2,,2,,43.06684807256236,
18,37,3,,2,,43.59546485260771,
18,38,4,,2,,44.109591836734694,
19,37,1,A-7,2,,44.61605442176871,
19,37,2,,2,,45.12238095238095,
19,51,3,Abo,2,,45.620385487528345,
19,51,4,,2,,46.12712018140589,
20,50,1,G-7,2,,46.63378684807256,
20,50,2,,2,,47.13174603174603,
20,49,3,Gbo,2,,47.63056689342404,
20,45,4,,2,,48.10891156462585,
21,50,1,G-7,2,,48.602267573696146,
21,50,2,,2,,49.09603174603175,
21,45,3,,2,,49.602448979591834,
21,45,4,,2,,50.109092970521544,
22,50,1,,2,,50.59732426303855,
22,38,2,,2,,51.09628117913832,
22,45,3,,2,,51.60306122448979,
22,45,4,,2,,52.10106575963719,
23,37,1,D-7,2,,52.590204081632656,
23,50,2,,2,,53.10575963718821,
23,48,3,Dbo,2,,53.6121768707483,
23,37,4,,2,,54.11020408163265,
24,37,1,C-7,2,,54.587755102040816,
24,38,2,,2,,55.09224489795918,
24,38,3,Bo,2,,55.59419501133787,
24,50,4,,2,,56.08780045351474,
25,48,1,C-7,2,B1,56.58036281179138,
25,43,2,,2,,57.088140589569164,
25,47,3,,2,,57.584920634920636,
25,50,4,,2,,58.07020408163265,
26,48,1,F7,2,,58.542857142857144,
26,50,2,,2,,59.04303854875283,
26,37,3,,2,,59.53891156462585,
26,43,4,,2,,60.055238095238096,
27,51,1,Bbj7,2,,60.535600907029476,
27,51,2,,2,,61.04229024943311,
27,51,3,Ab7,2,,61.54907029478458,
27,51,4,,2,,62.03814058956916,
28,50,1,G7,2,,62.51657596371882,
28,37,2,,2,,63.00485260770975,
28,38,3,,2,,63.49394557823129,
28,38,4,,2,,63.974603174603175,
29,43,1,C-7,2,,64.47020408163266,
29,50,2,,2,,64.96954648526076,
29,47,3,,2,,65.48163265306123,
29,43,4,,2,,65.99244897959184,
30,48,1,F7,2,,66.49791383219954,
30,50,2,,2,,67.01451247165532,
30,37,3,,2,,67.52328798185941,
30,43,4,,2,,68.00170068027211,
31,38,1,Bbj7,2,,68.49092970521542,
31,43,2,,2,,68.99646258503401,
31,38,3,G7,2,,69.50526077097506,
31,44,4,,2,,70.02154195011337,
32,43,1,C-7,2,,70.51743764172336,
32,43,2,,2,,71.00650793650793,
32,48,3,F7,2,,71.50204081632653,
32,37,4,,2,,71.99183673469388,
33,42,1,Bbj7,3,A1,72.48215419501133,
33,45,2,,3,,72.97893424036282,
33,48,3,,3,,73.4769387755102,
33,50,4,,3,,74.00308390022676,
