bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,38,1,G-6,0,I1,2.3435374149659864,
-1,42,2,,0,,2.6530612244897958,
-1,40,3,,0,,2.9728344671201814,
-1,45,4,,0,,3.260907029478458,
0,47,1,,0,,3.558095238095238,
0,37,2,,0,,3.856485260770975,
0,37,3,,0,,4.138684807256236,
0,45,4,,0,,4.429160997732426,
1,50,1,G-6,1,A1,4.721383219954649,4/4
1,37,2,,1,,5.033061224489796,
1,37,3,,1,,5.323990929705215,
1,37,4,,1,,5.627210884353741,
2,37,1,Eb7,1,,5.921791383219954,
2,42,2,,1,,6.2247392290249435,
2,45,3,D7,1,,6.524444444444445,
2,45,4,,1,,6.809569160997732,
3,50,1,G-6,1,,7.100181405895691,
3,43,2,,1,,7.3901360544217685,
3,37,3,,1,,7.677981859410431,
3,42,4,,1,,7.968344671201814,
4,42,1,Eb7,1,,8.255238095238095,
4,42,2,,1,,8.54562358276644,
4,42,3,D7,1,,8.826485260770975,
4,41,4,,1,,9.121337868480726,
5,45,1,G-6,1,,9.397052154195011,
5,47,2,,1,,9.706303854875284,
5,47,3,,1,,10.009365079365079,
5,40,4,,1,,10.291383219954648,
6,45,1,Eb7,1,,10.591224489795918,
6,47,2,,1,,10.877097505668933,
6,47,3,D7,1,,11.177414965986394,
6,49,4,,1,,11.457052154195011,
7,50,1,G-6,1,,11.742630385487528,
7,40,2,,1,,12.015396825396826,
7,41,3,,1,,12.310997732426303,
7,37,4,,1,,12.610907029478458,
8,42,1,Am7b5,1,,12.905600907029479,
8,42,2,,1,,13.176303854875284,
8,43,3,D7,1,,13.471133786848073,
8,45,4,,1,,13.766122448979592,
9,42,1,G-6,1,A2,14.032108843537415,
9,42,2,,1,,14.31952380952381,
9,37,3,,1,,14.599773242630386,
9,37,4,,1,,14.887777777777778,
10,47,1,Eb7,1,,15.165941043083901,
10,42,2,,1,,15.437845804988662,
10,38,3,D7,1,,15.731428571428571,
10,47,4,,1,,16.033854875283446,
11,47,1,G-6,1,,16.306213151927437,
11,48,2,,1,,16.591836734693878,
11,42,3,,1,,16.869319727891156,
11,48,4,,1,,17.171632653061224,
12,42,1,Eb7,1,,17.45342403628118,
12,42,2,,1,,17.74798185941043,
12,42,3,D7,1,,18.020839002267575,
12,47,4,,1,,18.311043083900227,
13,42,1,G-6,1,,18.596507936507937,
13,38,2,,1,,18.874195011337868,
13,48,3,,1,,19.16108843537415,
13,42,4,,1,,19.45417233560091,
14,42,1,Eb7,1,,19.74721088435374,
14,42,2,,1,,20.036507936507938,
14,37,3,D7,1,,20.32655328798186,
14,48,4,,1,,20.617142857142856,
15,48,1,G-6,1,,20.907278911564624,
15,45,2,,1,,21.199591836734694,
15,45,3,,1,,21.492879818594105,
15,45,4,,1,,21.769931972789117,
16,42,1,F-7,1,,22.046553287981858,
16,45,2,,1,,22.349455782312926,
16,42,3,Bb7,1,,22.640317460317462,
16,42,4,,1,,22.918662131519273,
17,37,1,Ebj7,1,B1,23.203197278911563,
17,37,2,,1,,23.491678004535146,
17,40,3,F-7,1,,23.779909297052154,
17,45,4,,1,,24.084013605442177,
18,50,1,G-7,1,,24.35501133786848,
18,45,2,,1,,24.639931972789114,
18,43,3,F-7,1,,24.93734693877551,
18,42,4,,1,,25.20698412698413,
19,42,1,Ebj7,1,,25.47310657596372,
19,50,2,,1,,25.748526077097505,
19,48,3,F-7,1,,26.02986394557823,
19,41,4,,1,,26.308775510204082,
20,42,1,G-7,1,,26.594126984126984,
20,49,2,,1,,26.881972789115647,
20,49,3,F-7,1,,27.17532879818594,
20,49,4,,1,,27.465873015873015,
21,49,1,Ebj7,1,,27.75249433106576,
21,42,2,,1,,28.034988662131518,
21,42,3,F-7,1,,28.328344671201815,
21,42,4,,1,,28.620839002267573,
22,42,1,G7,1,,28.905532879818594,
22,42,2,,1,,29.20326530612245,
22,42,3,C7,1,,29.4940589569161,
22,42,4,,1,,29.78124716553288,
23,42,1,F7,1,,30.051201814058956,
23,42,2,,1,,30.341360544217686,
23,49,3,Bb7,1,,30.62421768707483,
23,50,4,,1,,30.92142857142857,
24,40,1,A79b,1,,31.191292517006804,
24,40,2,,1,,31.472131519274377,
24,33,3,D+7,1,,31.766848072562357,
24,33,4,,1,,32.03562358276644,
25,41,1,G-6,1,A3,32.301859410430836,
25,41,2,,1,,32.581383219954645,
25,40,3,,1,,32.86818594104309,
25,45,4,,1,,33.14448979591837,
26,47,1,Eb7,1,,33.42827664399093,
26,48,2,,1,,33.70702947845805,
26,49,3,D7,1,,34.00496598639456,
26,33,4,,1,,34.2749433106576,
27,50,1,G-6,1,,34.553650793650796,
27,40,2,,1,,34.839795918367344,
27,41,3,,1,,35.145532879818596,
27,42,4,,1,,35.42219954648526,
28,37,1,Eb7,1,,35.71054421768707,
28,40,2,,1,,35.99401360544218,
28,45,3,D7,1,,36.29326530612245,
28,33,4,,1,,36.58369614512472,
29,37,1,G-6,1,,36.86408163265306,
29,42,2,,1,,37.152086167800455,
29,47,3,,1,,37.44160997732426,
29,40,4,,1,,37.74401360544218,
30,45,1,Eb7,1,,38.011473922902496,
30,47,2,,1,,38.30219954648526,
30,47,3,D7,1,,38.59727891156463,
30,49,4,,1,,38.89054421768707,
31,50,1,G-6,1,,39.170589569160995,
31,42,2,,1,,39.464557823129255,
31,41,3,,1,,39.75582766439909,
31,42,4,,1,,40.03845804988662,
32,42,1,,1,,40.31428571428572,
32,42,2,,1,,40.60374149659864,
32,45,3,,1,,40.89927437641723,
32,45,4,,1,,41.17684807256236,
33,50,1,G-6,2,A1,41.43283446712018,
33,41,2,,2,,41.712607709750564,
33,37,3,,2,,41.9924716553288,
33,50,4,,2,,42.26793650793651,
34,48,1,Eb7,2,,42.545102040816325,
34,47,2,,2,,42.8328798185941,
34,45,3,D7,2,,43.12684807256236,
34,44,4,,2,,43.39950113378685,
35,43,1,G-6,2,,43.69952380952381,
35,40,2,,2,,43.99181405895692,
35,45,3,,2,,44.27700680272109,
35,47,4,,2,,44.57294784580499,
36,47,1,Eb7,2,,44.84975056689343,
36,50,2,,2,,45.131950113378686,
36,40,3,D7,2,,45.4233560090703,
36,41,4,,2,,45.713854875283445,
37,42,1,G-6,2,,46.00340136054422,
37,42,2,,2,,46.30403628117914,
37,47,3,,2,,46.598843537414965,
37,50,4,,2,,46.873560090702945,
38,50,1,Eb7,2,,47.15496598639456,
38,48,2,,2,,47.42215419501134,
38,48,3,D7,2,,47.71485260770975,
38,49,4,,2,,47.99006802721088,
39,50,1,G-6,2,,48.25551020408163,
39,45,2,,2,,48.53342403628118,
39,43,3,,2,,48.808956916099774,
39,42,4,,2,,49.08920634920635,
40,40,1,Am7b5,2,,49.36426303854875,
40,45,2,,2,,49.651972789115646,
40,47,3,D7,2,,49.93519274376417,
40,49,4,,2,,50.20553287981859,
41,50,1,G-6,2,A2,50.46326530612245,
41,37,2,,2,,50.75802721088435,
41,41,3,,2,,51.04680272108843,
41,42,4,,2,,51.30866213151928,
42,42,1,Eb7,2,,51.5965306122449,
42,37,2,,2,,51.88984126984127,
42,42,3,D7,2,,52.17197278911565,
42,50,4,,2,,52.4646485260771,
43,45,1,G-6,2,,52.732403628117915,
43,43,2,,2,,53.02115646258503,
43,39,3,,2,,53.294988662131516,
