bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-2,48,1,F-7,0,I1,1.109092970521542,
-2,48,2,,0,,1.4562585034013606,
-2,41,3,Bb7,0,,1.799047619047619,
-2,37,4,,0,,2.1473696145124714,
-1,45,1,Ebj7,0,,2.49891156462585,
-1,45,2,,0,,2.831859410430839,
-1,38,3,,0,,3.1799319727891158,
-1,38,4,,0,,3.523628117913832,
0,38,1,,0,,3.859954648526077,
0,39,2,,0,,4.2018820861678,
0,38,3,,0,,4.535011337868481,
0,37,4,,0,,4.883106575963719,
1,45,1,Ebj7,1,A1,5.23469387755102,4/4
1,33,2,,1,,5.582743764172336,
1,41,3,,1,,5.9156916099773245,
1,41,4,,1,,6.2693877551020405,
2,34,1,,1,,6.625351473922903,
2,45,2,,1,,6.993015873015873,
2,52,3,,1,,7.346938775510204,
2,38,4,,1,,7.677551020408163,
3,45,1,Eb-7,1,,8.008163265306122,
3,45,2,,1,,8.351020408163265,
3,41,3,,1,,8.681360544217688,
3,41,4,,1,,8.986122448979591,
4,45,1,,1,,9.31657596371882,
4,34,2,,1,,9.674512471655328,
4,52,3,,1,,10.006598639455783,
4,38,4,,1,,10.36439909297052,
5,45,1,F7/Eb,1,,10.69641723356009,
5,45,2,,1,,11.036734693877552,
5,41,3,,1,,11.362108843537415,
5,41,4,,1,,11.704195011337868,
6,45,1,,1,,12.052312925170067,
6,38,2,,1,,12.393650793650794,
6,51,3,E/Eb,1,,12.737596371882086,
6,38,4,,1,,13.074285714285715,
7,45,1,Ebj7,1,,13.381950113378684,
7,45,2,,1,,13.710566893424037,
7,41,3,,1,,14.043424036281179,
7,41,4,,1,,14.400589569160998,
8,37,1,,1,,14.753106575963718,
8,38,2,,1,,15.110975056689343,
8,52,3,,1,,15.452834467120182,
8,48,4,,1,,15.791020408163265,
9,48,1,F-7,1,B1,16.118367346938776,
9,50,2,,1,,16.46938775510204,
9,51,3,,1,,16.833809523809524,
9,51,4,,1,,17.17544217687075,
10,40,1,Bb7,1,,17.523832199546487,
10,48,2,,1,,17.881723356009072,
10,41,3,,1,,18.25281179138322,
10,45,4,,1,,18.60092970521542,
11,45,1,Ebj7,1,,18.968956916099774,
11,41,2,,1,,19.335646258503402,
11,38,3,,1,,19.67829931972789,
11,42,4,,1,,20.03637188208617,
12,44,1,,1,,20.40312925170068,
12,51,2,,1,,20.761201814058957,
12,50,3,,1,,21.12331065759637,
