bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,37,1,NC,0,I1,4.237006802721089,
0,42,2,,0,,4.649410430839002,
0,47,3,,0,,5.038730158730159,
0,37,4,,0,,5.432879818594104,
1,47,1,Bb6,1,A1,5.825600907029479,4/4
1,40,2,,1,,6.23702947845805,
1,49,3,G7,1,,6.644104308390022,
1,44,4,,1,,7.03687074829932,
2,40,1,C-7,1,,7.4491383219954646,
2,37,2,,1,,7.8454648526077095,
2,37,3,F7,1,,8.25780045351474,
2,37,4,F7/Eb,1,,8.650634920634921,
3,37,1,D-7,1,,9.047641723356008,
3,40,2,,1,,9.459070294784581,
3,37,3,G7,1,,9.873469387755103,
3,37,4,,1,,10.303424036281179,
4,43,1,C-7,1,,10.715691609977323,
4,37,2,,1,,11.107596371882087,
4,49,3,F7,1,,11.519954648526078,
4,47,4,,1,,11.907414965986394,
5,44,1,Bbj7,1,,12.309659863945578,
5,49,2,,1,,12.716643990929706,
5,42,3,Bb7/D,1,,13.14328798185941,
5,44,4,,1,,13.560090702947846,
6,45,1,Ebj7,1,,13.972290249433106,
6,47,2,,1,,14.384648526077097,
6,48,3,Eo,1,,14.796190476190477,
6,50,4,,1,,15.198798185941044,
7,44,1,D-7/F,1,,15.576281179138322,
7,44,2,G7,1,,15.998367346938776,
7,42,3,C-7,1,,16.416326530612245,
7,41,4,F7,1,,16.806938775510204,
8,37,1,Bb6,1,,17.20408163265306,
8,42,2,,1,,17.59591836734694,
8,44,3,F7,1,,17.999410430839003,
8,45,4,,1,,18.40113378684807,
9,47,1,Bb6,1,A2,18.8,
9,49,2,,1,,19.210521541950115,
9,47,3,G7,1,,19.632653061224488,
9,50,4,,1,,20.053968253968254,
10,49,1,C-7,1,,20.436802721088437,
10,50,2,,1,,20.853628117913832,
10,42,3,F7,1,,21.256213151927437,
10,41,4,F7/Eb,1,,21.632743764172336,
11,44,1,D-7,1,,22.02562358276644,
11,50,2,,1,,22.43795918367347,
11,37,3,G7,1,,22.860226757369613,
11,49,4,,1,,23.24625850340136,
12,47,1,C-7,1,,23.648979591836735,
12,45,2,,1,,24.06138321995465,
12,44,3,F7,1,,24.468004535147394,
12,42,4,,1,,24.84480725623583,
13,44,1,Bbj7,1,,25.26702947845805,
13,47,2,,1,,25.669433106575962,
13,37,3,Bb7/D,1,,26.091609977324264,
13,50,4,,1,,26.49328798185941,
14,37,1,Ebj7,1,,26.91551020408163,
14,42,2,,1,,27.337687074829933,
14,44,3,Eo,1,,27.759909297052154,
14,45,4,,1,,28.181972789115648,
15,44,1,D-7/F,1,,28.587755102040816,
15,43,2,G7,1,,29.016326530612243,
15,42,3,C-7,1,,29.416326530612245,
15,41,4,F7,1,,29.824489795918367,
16,37,1,Bbj7,1,,30.216326530612246,
16,42,2,,1,,30.63673469387755,
16,47,3,Bb+7,1,,31.03183673469388,
16,47,4,,1,,31.463854875283445,
17,49,1,Eb6,1,B1,31.875283446712018,
17,49,2,,1,,32.28764172335601,
17,49,3,C7,1,,32.709931972789114,
17,41,4,,1,,33.13183673469388,
18,50,1,F-7,1,,33.56734693877551,
18,47,2,,1,,34.00049886621315,
18,50,3,Bb7,1,,34.42242630385488,
18,47,4,Bb7/Ab,1,,34.854467120181404,
19,49,1,G-7,1,,35.25705215419501,
19,49,2,,1,,35.66843537414966,
19,42,3,C7,1,,36.10047619047619,
19,49,4,,1,,36.52260770975057,
20,47,1,F-7,1,,36.935102040816325,
20,50,2,,1,,37.36582766439909,
