bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,51,4,NC,0,I1,1.9303174603174602,
0,42,1,,0,,2.2679591836734696,
0,42,2,,0,,2.610816326530612,
0,51,3,,0,,2.9756689342403626,
0,51,4,,0,,3.330612244897959,
1,37,1,Db7,1,A1,3.7285714285714286,4/4
1,37,2,,1,,4.128571428571429,
1,37,3,,1,,4.502040816326531,
1,44,4,,1,,4.859183673469388,
2,37,1,Gb7,1,,5.238775510204082,
2,38,2,,1,,5.61922902494331,
2,37,3,,1,,5.999365079365079,
2,37,4,,1,,6.384807256235828,
3,37,1,Db7,1,,6.726938775510204,
3,37,2,,1,,7.11156462585034,
3,37,3,,1,,7.496462585034013,
3,37,4,,1,,7.8841269841269845,
4,37,1,,1,,8.254671201814059,
4,37,2,,1,,8.620408163265306,
4,41,3,,1,,8.971428571428572,
4,51,4,,1,,9.328616780045351,
5,49,1,Gb7,1,,9.697233560090703,
5,48,2,,1,,10.06875283446712,
5,49,3,,1,,10.428662131519275,
5,48,4,,1,,10.779863945578231,
6,47,1,,1,,11.128163265306123,
6,44,2,,1,,11.505487528344672,
6,43,3,,1,,11.871201814058956,
6,41,4,,1,,12.251428571428571,
7,47,1,Db7,1,,12.62718820861678,
7,48,2,,1,,12.984920634920634,
7,51,3,,1,,13.33061224489796,
7,41,4,,1,,13.679818594104308,
8,42,1,Bb7,1,,14.052086167800454,
8,42,2,,1,,14.424489795918367,
8,37,3,,1,,14.803424036281179,
8,37,4,,1,,15.168344671201814,
9,37,1,Eb7,1,,15.534693877551021,
9,44,2,,1,,15.916893424036282,
9,37,3,,1,,16.284036281179137,
9,41,4,,1,,16.63673469387755,
10,51,1,Ab7,1,,17.003242630385486,
10,49,2,,1,,17.372290249433107,
10,48,3,,1,,17.73061224489796,
10,47,4,,1,,18.102040816326532,
11,44,1,Db7,1,,18.46938775510204,
11,48,2,,1,,18.808163265306124,
11,47,3,,1,,19.171473922902493,
11,41,4,,1,,19.51795918367347,
12,42,1,Ab7,1,,19.85730158730159,
12,42,2,,1,,20.21687074829932,
12,42,3,,1,,20.59283446712018,
12,44,4,,1,,20.986235827664398,
13,51,1,Db7,2,A1,21.370839002267573,
13,51,2,,2,,21.740090702947846,
13,41,3,,2,,22.128072562358277,
13,37,4,,2,,22.504489795918367,
14,37,1,Gb7,2,,22.876349206349207,
14,37,2,,2,,23.221609977324263,
14,37,3,,2,,23.5843537414966,
14,42,4,,2,,23.96734693877551,
15,37,1,Db7,2,,24.342222222222222,
15,37,2,,2,,24.69839002267574,
15,39,3,,2,,25.067482993197277,
15,37,4,,2,,25.40201814058957,
16,37,1,,2,,25.791632653061225,
16,37,2,,2,,26.142857142857142,
16,39,3,,2,,26.497868480725625,
16,37,4,,2,,26.891179138321995,
17,37,1,Gb7,2,,27.277233560090703,
17,37,2,,2,,27.648956916099774,
17,37,3,,2,,28.020680272108844,
17,37,4,,2,,28.415419501133787,
18,44,1,,2,,28.791655328798186,
18,37,2,,2,,29.149977324263038,
18,37,3,,2,,29.506122448979593,
18,51,4,,2,,29.873990929705215,
19,51,1,Db7,2,,30.231360544217686,
19,48,2,,2,,30.583673469387755,
19,47,3,,2,,30.939002267573695,
19,44,4,,2,,31.32065759637188,
20,47,1,Bb7,2,,31.68764172335601,
20,47,2,,2,,32.054739229024946,
20,42,3,,2,,32.451201814058955,
20,41,4,,2,,32.79496598639456,
21,37,1,Eb7,2,,33.16734693877551,
21,48,2,,2,,33.522222222222226,
21,42,3,,2,,33.87680272108844,
21,41,4,,2,,34.23673469387755,
22,51,1,Ab7,2,,34.59183673469388,
22,48,2,,2,,34.95907029478458,
22,47,3,,2,,35.3037641723356,
22,42,4,,2,,35.68462585034013,
23,44,1,Db7,2,,36.01979591836735,
23,48,2,,2,,36.363356009070294,
23,47,3,,2,,36.7047619047619,
23,51,4,,2,,37.093492063492064,
24,47,1,Ab7,2,,37.452290249433105,
24,42,2,,2,,37.806009070294785,
24,42,3,,2,,38.17233560090703,
24,42,4,,2,,38.55287981859411,
25,44,1,NC,2,I1,38.92437641723356,
