bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,37,1,Gb-7,1,A1,2.833265306122449,4/4
1,44,2,,1,,3.2553968253968253,
1,52,3,,1,,3.6524489795918367,
1,52,4,,1,,4.055102040816327,
2,51,1,Abm7b5,1,,4.466394557823129,
2,51,2,,1,,4.893605442176871,
2,50,3,Db7,1,,5.310204081632653,
2,33,4,,1,,5.718367346938775,
3,49,1,Gb-7,1,,6.135873015873016,
3,51,2,,1,,6.5364172335600905,
3,51,3,,1,,6.953718820861678,
3,42,4,,1,,7.366167800453515,
4,44,1,,1,,7.787437641723356,
4,44,2,,1,,8.189977324263038,
4,38,3,,1,,8.579591836734695,
4,38,4,,1,,9.009092970521541,
5,38,1,G7,1,,9.421292517006803,
5,38,2,,1,,9.843628117913832,
5,38,3,,1,,10.265668934240363,
5,43,4,,1,,10.668344671201814,
6,50,1,,1,,11.075918367346938,
6,51,2,,1,,11.493877551020407,
6,41,3,,1,,11.914285714285715,
6,52,4,,1,,12.326666666666666,
7,50,1,Gb-7,1,,12.712879818594104,
7,49,2,,1,,13.125283446712018,
7,44,3,,1,,13.512789115646259,
7,43,4,,1,,13.92517006802721,
8,42,1,E-7,1,,14.316916099773243,
8,41,2,,1,,14.729251700680273,
8,40,3,A7,1,,15.126530612244897,
8,52,4,,1,,15.538934240362812,
9,45,1,D7,1,,15.959909297052155,
9,47,2,,1,,16.3918820861678,
9,48,3,,1,,16.812244897959182,
9,33,4,,1,,17.206825396825398,
10,51,1,Db7,1,,17.594920634920634,
10,45,2,,1,,17.986099773242632,
10,44,3,,1,,18.38328798185941,
10,51,4,,1,,18.805396825396826,
11,37,1,Gb-7,1,,19.196961451247166,
11,44,2,,1,,19.619183673469387,
11,45,3,,1,,20.04136054421769,
11,34,4,,1,,20.438367346938776,
12,51,1,Db7,1,,20.831043083900227,
12,51,2,,1,,21.262086167800454,
12,45,3,,1,,21.674308390022677,
12,38,4,,1,,22.086712018140588,
13,49,1,Gb-7,2,A1,22.499002267573697,
13,47,2,,2,,22.911269841269842,
13,49,3,,2,,23.31020408163265,
13,49,4,,2,,23.70031746031746,
14,51,1,Abm7b5,2,,24.113015873015872,
14,47,2,,2,,24.52517006802721,
14,50,3,Db7,2,,24.938231292517006,
14,44,4,,2,,25.353356009070296,
15,49,1,Gb-7,2,,25.765736961451246,
15,47,2,,2,,26.1684126984127,
15,47,3,,2,,26.599342403628118,
15,45,4,,2,,27.021292517006803,
16,44,1,,2,,27.4337641723356,
16,50,2,,2,,27.84081632653061,
16,50,3,,2,,28.232743764172337,
16,44,4,,2,,28.641814058956918,
17,50,1,G7,2,,29.06530612244898,
17,50,2,,2,,29.473469387755102,
17,42,3,,2,,29.866666666666667,
17,52,4,,2,,30.29043083900227,
18,50,1,,2,,30.705668934240364,
18,45,2,,2,,31.13215419501134,
18,44,3,,2,,31.53437641723356,
18,44,4,,2,,31.917551020408162,
19,49,1,Gb-7,2,,32.329727891156466,
19,47,2,,2,,32.76077097505669,
19,44,3,,2,,33.192471655328795,
19,43,4,,2,,33.59519274376417,
20,42,1,E-7,2,,33.9921768707483,
20,41,2,,2,,34.39480725623583,
20,52,3,A7,2,,34.80671201814059,
20,51,4,,2,,35.20848072562358,
21,45,1,D7,2,,35.640249433106575,
21,52,2,,2,,36.062448979591835,
21,45,3,,2,,36.46122448979592,
21,47,4,,2,,36.87095238095238,
22,51,1,Db7,2,,37.28328798185941,
22,33,2,,2,,37.69562358276644,
22,44,3,,2,,38.127596371882085,
22,51,4,,2,,38.52065759637188,
23,49,1,Gb-7,2,,38.932108843537414,
23,47,2,,2,,39.338820861678,
23,47,3,,2,,39.75108843537415,
23,50,4,,2,,40.16734693877551,
24,51,1,Db7,2,,40.59455782312925,
24,42,2,,2,,40.977278911564625,
24,38,3,,2,,41.38968253968254,
24,50,4,,2,,41.79666666666667,
25,49,1,Gb-7,3,A1,42.21387755102041,
25,44,2,,3,,42.656009070294786,
25,44,3,,3,,43.06140589569161,
25,44,4,,3,,43.47936507936508,
