bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,50,1,NC,0,I1,4.739002267573696,
-1,42,2,,0,,4.98156462585034,
-1,47,3,,0,,5.235056689342404,
-1,50,4,,0,,5.483424036281179,
0,48,1,,0,,5.727120181405896,
0,37,2,,0,,5.979138321995465,
0,50,3,,0,,6.238616780045351,
0,50,4,,0,,6.4911791383219954,
1,50,1,G-7,1,A1,6.739274376417233,4/4
1,50,2,,1,,6.992108843537415,
1,48,3,,1,,7.2359183673469385,
1,48,4,,1,,7.484897959183673,
2,47,1,C7,1,,7.727641723356009,
2,47,2,,1,,7.99108843537415,
2,45,3,,1,,8.223922902494332,
2,45,4,,1,,8.481632653061224,
3,43,1,G-7,1,,8.715759637188208,
3,41,2,,1,,8.974852607709751,
3,40,3,,1,,9.21750566893424,
3,41,4,,1,,9.47671201814059,
4,50,1,C79b,1,,9.729229024943312,
4,48,2,,1,,9.98172335600907,
4,47,3,,1,,10.228571428571428,
4,50,4,,1,,10.483537414965987,
5,50,1,Fj7,1,,10.732585034013605,
5,48,2,,1,,10.965578231292517,
5,50,3,,1,,11.219274376417234,
5,50,4,,1,,11.477233560090703,
6,50,1,G-7,1,,11.711043083900227,
6,45,2,,1,,11.943990929705215,
6,50,3,C7,1,,12.187845804988662,
6,50,4,,1,,12.43063492063492,
7,50,1,Fj7,1,,12.67328798185941,
7,50,2,,1,,12.912743764172335,
7,37,3,G-7,1,,13.165419501133787,
7,38,4,,1,,13.418798185941043,
8,37,1,A-7,1,,13.657278911564626,
8,42,2,,1,,13.891111111111112,
8,42,3,D7,1,,14.143900226757369,
8,42,4,,1,,14.387437641723356,
9,42,1,G-7,1,A2,14.630022675736962,
9,42,2,,1,,14.869433106575963,
9,40,3,,1,,15.12204081632653,
9,40,4,,1,,15.37546485260771,
10,38,1,C7,1,,15.613968253968254,
10,42,2,,1,,15.846938775510203,
10,42,3,,1,,16.100589569161,
10,50,4,,1,,16.34922902494331,
11,42,1,G-7,1,,16.5824716553288,
11,37,2,,1,,16.825850340136054,
11,50,3,,1,,17.068571428571428,
11,50,4,,1,,17.312380952380952,
12,50,1,C79b,1,,17.56299319727891,
12,48,2,,1,,17.79417233560091,
12,50,3,,1,,18.044807256235828,
12,47,4,,1,,18.291519274376416,
13,50,1,Fj7,1,,18.538231292517008,
13,48,2,,1,,18.779138321995465,
13,47,3,,1,,19.040498866213152,
13,47,4,,1,,19.2840589569161,
14,45,1,G-7,1,,19.517006802721088,
14,45,2,,1,,19.76061224489796,
14,42,3,C7,1,,20.01340136054422,
14,50,4,,1,,20.252743764172337,
15,50,1,Fj7,1,,20.485578231292518,
15,43,2,,1,,20.728412698412697,
15,47,3,G-7,1,,20.956009070294783,
15,50,4,,1,,21.195374149659862,
16,48,1,F,1,,21.439115646258504,
16,37,2,,1,,21.672766439909296,
16,50,3,,1,,21.920997732426304,
16,48,4,,1,,22.16471655328798,
17,47,1,A7,1,B1,22.417233560090704,
17,49,2,,1,,22.650113378684807,
17,50,3,,1,,22.897959183673468,
17,50,4,,1,,23.11700680272109,
18,38,1,,1,,23.366349206349206,
18,50,2,,1,,23.60909297052154,
18,47,3,,1,,23.852766439909296,
18,40,4,,1,,24.095442176870748,
19,45,1,D7,1,,24.334943310657597,
19,47,2,,1,,24.587755102040816,
19,49,3,,1,,24.83061224489796,
19,50,4,,1,,25.06530612244898,
20,49,1,,1,,25.312585034013605,
20,40,2,,1,,25.556190476190476,
20,42,3,,1,,25.798956916099772,
20,42,4,,1,,26.023015873015872,
21,42,1,G7,1,,26.265827664399094,
21,40,2,,1,,26.50956916099773,
21,42,3,,1,,26.73269841269841,
21,42,4,,1,,26.966621315192743,
22,42,1,,1,,27.199455782312924,
22,42,2,,1,,27.448798185941044,
22,50,3,,1,,27.681768707482995,
22,50,4,,1,,27.924580498866213,
23,50,1,C7,1,,28.168231292517007,
23,48,2,,1,,28.41081632653061,
23,47,3,,1,,28.66,
23,45,4,,1,,28.89292517006803,
24,42,1,,1,,29.126916099773243,
24,41,2,,1,,29.35984126984127,
24,40,3,,1,,29.603628117913832,
24,45,4,,1,,29.83628117913832,
25,50,1,G-7,1,A3,30.089523809523808,
25,40,2,,1,,30.329002267573696,
25,41,3,,1,,30.579591836734693,
25,41,4,,1,,30.822448979591837,
26,43,1,C7,1,,31.053061224489795,
26,50,2,,1,,31.31501133786848,
26,47,3,,1,,31.558820861678004,
26,49,4,,1,,31.79392290249433,
27,50,1,G-7,1,,32.03482993197279,
27,48,2,,1,,32.28467120181406,
27,45,3,,1,,32.52825396825397,
27,50,4,,1,,32.76734693877551,
28,38,1,C79b,1,,33.03004535147392,
28,50,2,,1,,33.262585034013604,
28,50,3,,1,,33.5,
28,41,4,,1,,33.74285714285714,
29,50,1,Fj7,1,,33.97959183673469,
29,50,2,,1,,34.22244897959184,
29,48,3,,1,,34.45918367346939,
29,40,4,,1,,34.70204081632653,
30,41,1,G-7,1,,34.94603174603174,
30,41,2,,1,,35.204625850340136,
30,42,3,C7,1,,35.44308390022676,
30,42,4,,1,,35.676916099773244,
31,43,1,Fj7,1,,35.92965986394558,
31,50,2,,1,,36.16342403628118,
31,47,3,G-7,1,,36.39643990929705,
31,50,4,C79b,1,,36.645532879818596,
32,48,1,F,1,,36.87866213151928,
32,37,2,,1,,37.11251700680272,
32,37,3,,1,,37.35510204081633,
32,45,4,,1,,37.59891156462585,
33,50,1,G-7,2,A1,37.80451247165533,
33,40,2,,2,,38.04539682539683,
33,42,3,,2,,38.27920634920635,
33,42,4,,2,,38.531995464852606,
34,42,1,C7,2,,38.771519274376416,
34,50,2,,2,,39.02857142857143,
34,47,3,,2,,39.2734693877551,
34,50,4,,2,,39.525555555555556,
35,50,1,G-7,2,,39.76850340136055,
35,48,2,,2,,40.011972789115646,
35,45,3,,2,,40.2469387755102,
35,50,4,,2,,40.49863945578231,
36,50,1,C79b,2,,40.73172335600907,
