bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,51,1,Ab6,1,A1,1.3061224489795917,4/4
1,37,2,,1,,1.5551020408163265,
1,50,3,,1,,1.7943083900226757,
1,51,4,,1,,2.017437641723356,
2,51,1,,1,,2.241541950113379,
2,51,2,,1,,2.474467120181406,
2,51,3,,1,,2.6977324263038547,
2,43,4,,1,,2.916326530612245,
3,44,1,Db7,1,,3.139659863945578,
3,48,2,,1,,3.373514739229025,
3,49,3,,1,,3.586938775510204,
3,50,4,,1,,3.7949433106575965,
4,50,1,,1,,4.018934240362812,
4,50,2,,1,,4.2424943310657595,
4,50,3,,1,,4.466575963718821,
4,37,4,,1,,4.685714285714286,
5,37,1,Abj7,1,,4.906122448979592,
5,50,2,,1,,5.131700680272109,
5,50,3,,1,,5.355102040816327,
5,50,4,,1,,5.573469387755102,
6,50,1,F-7,1,,5.804988662131519,
6,50,2,,1,,6.040816326530612,
6,50,3,,1,,6.273151927437642,
6,50,4,,1,,6.497256235827664,
7,50,1,Bb-7,1,,6.720408163265306,
7,50,2,,1,,6.943854875283447,
7,50,3,,1,,7.163265306122449,
7,50,4,,1,,7.401678004535148,
8,38,1,Eb7,1,,7.634625850340136,
8,50,2,,1,,7.842675736961451,
8,50,3,,1,,8.07655328798186,
8,50,4,,1,,8.309319727891156,
9,50,1,Ab6,1,A2,8.533469387755103,
9,50,2,,1,,8.756666666666666,
9,50,3,,1,,8.980498866213152,
9,50,4,,1,,9.200907029478458,
10,50,1,,1,,9.427845804988662,
10,50,2,,1,,9.66530612244898,
10,50,3,,1,,9.89750566893424,
10,50,4,,1,,10.127732426303854,
11,44,1,Db7,1,,10.356167800453514,
11,44,2,,1,,10.56952380952381,
11,44,3,,1,,10.792743764172336,
11,44,4,,1,,11.01702947845805,
12,48,1,,1,,11.249977324263039,
12,48,2,,1,,11.4837641723356,
12,45,3,,1,,11.707120181405896,
12,45,4,,1,,11.941065759637189,
13,47,1,C-7,1,,12.16326530612245,
13,42,2,,1,,12.387845804988663,
13,50,3,F-7,1,,12.625759637188208,
13,48,4,,1,,12.858662131519274,
14,41,1,Bb-7,1,,13.072902494331066,
14,41,2,,1,,13.296167800453516,
14,47,3,Eb7,1,,13.51392290249433,
14,50,4,,1,,13.74798185941043,
15,51,1,Abj7,1,,13.981632653061224,
15,51,2,,1,,14.220498866213152,
15,48,3,,1,,14.443492063492064,
15,50,4,,1,,14.661995464852607,
16,50,1,,1,,14.885351473922903,
16,42,2,,1,,15.099727891156462,
16,42,3,,1,,15.323718820861679,
16,51,4,,1,,15.550498866213152,
17,50,1,G-7,1,B1,15.774489795918367,
17,37,2,,1,,15.997528344671203,
17,50,3,,1,,16.231473922902495,
17,50,4,,1,,16.444807256235826,
18,50,1,C7,1,,16.66362811791383,
18,48,2,,1,,16.896507936507938,
18,47,3,,1,,17.1197052154195,
18,50,4,,1,,17.33265306122449,
19,49,1,F-7,1,,17.557142857142857,
19,51,2,,1,,17.79113378684807,
19,50,3,,1,,18.0240589569161,
19,50,4,,1,,18.253061224489795,
20,50,1,,1,,18.48560090702948,
20,50,2,,1,,18.70968253968254,
20,49,3,,1,,18.93285714285714,
20,50,4,,1,,19.146303854875285,
21,50,1,Cm7b5,1,,19.36503401360544,
21,41,2,,1,,19.58816326530612,
21,41,3,,1,,19.821972789115645,
21,41,4,,1,,20.033015873015874,
22,42,1,F7alt,1,,20.249795918367347,
22,48,2,,1,,20.48269841269841,
22,50,3,,1,,20.716825396825396,
22,40,4,,1,,20.934399092970523,
23,42,1,Bb7,1,,21.16750566893424,
23,42,2,,1,,21.39183673469388,
23,44,3,,1,,21.61482993197279,
23,44,4,,1,,21.848526077097507,
24,47,1,Eb7,1,,22.07174603174603,
24,50,2,,1,,22.29047619047619,
24,50,3,,1,,22.523333333333333,
24,50,4,,1,,22.736780045351473,
25,37,1,Abj7,1,A3,22.960997732426303,
25,37,2,,1,,23.168866213151926,
25,50,3,,1,,23.402789115646257,
25,50,4,,1,,23.626054421768707,
26,50,1,,1,,23.839455782312925,
26,50,2,,1,,24.058095238095238,
26,50,3,,1,,24.277551020408165,
26,50,4,,1,,24.520725623582766,
27,50,1,Db7,1,,24.753809523809522,
27,50,2,,1,,24.982312925170067,
27,50,3,,1,,25.195714285714285,
27,42,4,,1,,25.409115646258503,
28,50,1,,1,,25.627823129251702,
28,50,2,,1,,25.850884353741495,
28,38,3,,1,,26.084875283446713,
28,50,4,,1,,26.31784580498866,
29,50,1,C-7,1,,26.54097505668934,
29,42,2,,1,,26.76519274376417,
29,48,3,F-7,1,,26.997913832199547,
29,51,4,,1,,27.23199546485261,
30,50,1,Bb-7,1,,27.455260770975055,
30,50,2,,1,,27.677551020408163,
30,50,3,Eb7,1,,27.897074829931974,
30,50,4,,1,,28.12124716553288,
31,50,1,Ab6,1,,28.353922902494332,
31,50,2,,1,,28.578004535147393,
31,50,3,,1,,28.79596371882086,
31,48,4,,1,,29.00938775510204,
32,50,1,Bb-7,1,,29.223628117913833,
32,45,2,,1,,29.446893424036283,
32,42,3,Eb7,1,,29.680725623582767,
32,50,4,,1,,29.89859410430839,
33,51,1,Ab6,2,A1,30.12172335600907,
33,51,2,,2,,30.34591836734694,
33,51,3,,2,,30.56920634920635,
33,51,4,,2,,30.77798185941043,
34,51,1,,2,,31.001156462585033,
34,51,2,,2,,31.224285714285713,
34,51,3,,2,,31.457142857142856,
34,50,4,,2,,31.69233560090703,
35,44,1,Db7,2,,31.935034013605442,
35,44,2,,2,,32.16795918367347,
35,44,3,,2,,32.39204081632653,
35,44,4,,2,,32.615374149659864,
36,44,1,,2,,32.833061224489796,
36,44,2,,2,,33.05712018140589,
36,48,3,,2,,33.29020408163265,
36,45,4,,2,,33.51428571428571,
37,42,1,Abj7,2,,33.73766439909297,
37,42,2,,2,,33.95208616780045,
37,44,3,,2,,34.16963718820862,
37,44,4,,2,,34.40281179138322,
38,43,1,,2,,34.617120181405895,
38,50,2,,2,,34.83047619047619,
38,49,3,,2,,35.064467120181405,
38,37,4,,2,,35.29201814058957,
39,50,1,Bb-7,2,,35.515260770975054,
39,45,2,,2,,35.73931972789116,
39,50,3,,2,,35.95278911564626,
39,48,4,,2,,36.17138321995465,
40,45,1,Eb7,2,,36.394557823129254,
40,47,2,,2,,36.61791383219955,
40,48,3,,2,,36.83206349206349,
40,50,4,,2,,37.06537414965987,
41,50,1,Abj7,2,A2,37.283854875283446,
41,50,2,,2,,37.49442176870748,
41,50,3,,2,,37.730975056689346,
41,50,4,,2,,37.95451247165533,
42,50,1,,2,,38.17768707482993,
42,50,2,,2,,38.38643990929705,
42,50,3,,2,,38.61977324263039,
42,50,4,,2,,38.853469387755105,
43,50,1,Db7,2,,39.076575963718824,
43,48,2,,2,,39.300589569161,
43,51,3,,2,,39.523877551020405,
43,50,4,,2,,39.75140589569161,
44,50,1,,2,,39.97546485260771,
44,42,2,,2,,40.19861678004535,
44,50,3,,2,,40.422721088435374,
44,50,4,,2,,40.63619047619048,
45,50,1,C-7,2,,40.85390022675737,
45,50,2,,2,,41.07798185941043,
45,50,3,F-7,2,,41.3109977324263,
45,50,4,,2,,41.53507936507936,
46,50,1,Bb-7,2,,41.75829931972789,
46,50,2,,2,,41.98603174603175,
46,50,3,Eb7,2,,42.215532879818596,
46,43,4,,2,,42.43414965986395,
47,50,1,Ab6,2,,42.6574149659864,
47,50,2,,2,,42.870770975056686,
47,50,3,,2,,43.08950113378685,
47,45,4,,2,,43.30301587301587,
48,47,1,,2,,43.517324263038546,
48,50,2,,2,,43.744784580498866,
48,51,3,,2,,43.9778231292517,
48,50,4,,2,,44.19206349206349,
49,50,1,G-7,2,B1,44.40555555555556,
49,43,2,,2,,44.624263038548754,
49,41,3,,2,,44.847414965986395,
49,42,4,,2,,45.07061224489796,
50,50,1,C7,2,,45.28480725623583,
50,50,2,,2,,45.50238095238095,
50,37,3,,2,,45.72643990929705,
50,49,4,,2,,45.94965986394558,
51,37,1,F-7,2,,46.17371882086168,
51,37,2,,2,,46.39718820861678,
51,50,3,,2,,46.6059410430839,
51,50,4,,2,,46.82884353741497,
52,50,1,,2,,47.06294784580499,
52,51,2,,2,,47.27643990929705,
52,50,3,,2,,47.49786848072562,
52,50,4,,2,,47.72281179138322,
53,43,1,Cm7b5,2,,47.957913832199544,
53,49,2,,2,,48.18507936507937,
53,49,3,,2,,48.40829931972789,
53,49,4,,2,,48.6324716553288,
54,48,1,F7alt,2,,48.865532879818595,
54,48,2,,2,,49.08857142857143,
54,48,3,,2,,49.32263038548753,
54,49,4,,2,,49.54022675736962,
55,50,1,Bb-7,2,,49.75451247165533,
55,51,2,,2,,49.987687074829935,
55,47,3,,2,,50.22172335600907,
55,42,4,,2,,50.44482993197279,
56,42,1,Eb7,2,,50.66809523809524,
56,37,2,,2,,50.88650793650794,
56,42,3,,2,,51.10972789115646,
56,50,4,,2,,51.33385487528345,
57,47,1,Ab6,2,A3,51.55691609977324,
57,49,2,,2,,51.78095238095238,
57,49,3,,2,,51.989002267573696,
57,50,4,,2,,52.203106575963716,
58,50,1,,2,,52.43614512471655,
58,50,2,,2,,52.66453514739229,
58,50,3,,2,,52.8781179138322,
58,45,4,,2,,53.10133786848073,
59,44,1,Db7,2,,53.32523809523809,
59,48,2,,2,,53.54884353741497,
59,49,3,,2,,53.76734693877551,
59,50,4,,2,,53.990272108843534,
60,50,1,,2,,54.21442176870748,
60,44,2,,2,,54.447324263038546,
60,37,3,,2,,54.67147392290249,
60,37,4,,2,,54.88925170068027,
61,37,1,C-7,2,,55.113356009070294,
61,50,2,,2,,55.3266439909297,
61,38,3,F-7,2,,55.549886621315196,
61,43,4,,2,,55.76863945578231,
62,50,1,Bb-7,2,,55.97551020408163,
62,50,2,,2,,56.205986394557826,
62,50,3,Eb7,2,,56.429319727891155,
62,50,4,,2,,56.6478231292517,
63,50,1,Ab6,2,,56.87106575963719,
63,47,2,,2,,57.087709750566894,
63,44,3,,2,,57.30684807256236,
63,45,4,,2,,57.525986394557826,
64,47,1,Bb-7,2,,57.755102040816325,
64,47,2,,2,,57.97362811791383,
64,48,3,Eb7,2,,58.19766439909297,
64,50,4,,2,,58.43079365079365,
65,51,1,Ab6,3,A1,58.65501133786848,
65,51,2,,3,,58.87265306122449,
65,48,3,,3,,59.11074829931973,
65,50,4,,3,,59.33965986394558,
66,50,1,,3,,59.56278911564626,
66,50,2,,3,,59.7771201814059,
66,42,3,,3,,60.00473922902494,
66,50,4,,3,,60.227981859410434,
67,50,1,Db7,3,,60.452063492063495,
67,37,2,,3,,60.674943310657596,
67,39,3,,3,,60.88394557823129,
67,39,4,,3,,61.10709750566893,
68,50,1,,3,,61.33136054421769,
68,50,2,,3,,61.55446712018141,
68,50,3,,3,,61.767868480725625,
68,50,4,,3,,61.98657596371882,
69,37,1,Ab6,3,,62.20950113378685,
69,50,2,,3,,62.423968253968255,
69,50,3,,3,,62.657052154195014,
69,50,4,,3,,62.88122448979592,
70,50,1,F-7,3,,63.11439909297052,
70,50,2,,3,,63.342834467120184,
70,48,3,,3,,63.56578231292517,
70,47,4,,3,,63.789160997732424,
71,42,1,Bb-7,3,,64.01324263038549,
71,47,2,,3,,64.23650793650793,
71,48,3,,3,,64.46195011337869,
71,42,4,,3,,64.67809523809524,
72,50,1,Eb7,3,,64.9021768707483,
72,50,2,,3,,65.1253514739229,
72,37,3,,3,,65.349410430839,
72,45,4,,3,,65.5825850340136,
73,47,1,Ab6,3,A2,65.80673469387754,
73,50,2,,3,,66.02419501133787,
73,50,3,,3,,66.24768707482993,
73,50,4,,3,,66.48138321995465,
74,50,1,,3,,66.70448979591836,
74,51,2,,3,,66.92873015873016,
74,50,3,,3,,67.16167800453515,
74,50,4,,3,,67.39530612244899,
75,50,1,Db7,3,,67.62857142857143,
75,50,2,,3,,67.83727891156462,
75,50,3,,3,,68.05063492063492,
75,50,4,,3,,68.28367346938775,
76,50,1,,3,,68.51746031746032,
76,44,2,,3,,68.74163265306123,
76,45,3,,3,,68.96492063492063,
76,48,4,,3,,69.18385487528344,
77,47,1,C-7,3,,69.39698412698412,
77,43,2,,3,,69.60485260770974,
77,50,3,F-7,3,,69.82902494331066,
77,48,4,,3,,70.04253968253968,
78,41,1,Bb-7,3,,70.2505215419501,
78,41,2,,3,,70.45510204081633,
78,47,3,Eb7,3,,70.68163265306123,
78,50,4,,3,,70.89585034013605,
79,50,1,Ab6,3,,71.12018140589569,
79,47,2,,3,,71.34340136054422,
79,48,3,,3,,71.56734693877551,
79,50,4,,3,,71.79487528344671,
80,50,1,,3,,72.0190022675737,
80,50,2,,3,,72.242358276644,
80,48,3,,3,,72.46630385487528,
80,48,4,,3,,72.6992970521542,
81,50,1,G-7,3,B1,72.91272108843538,
81,50,2,,3,,73.13136054421769,
