bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-2,37,1,A-7,0,I1,2.8715192743764173,
-2,44,2,,0,,3.313061224489796,
-2,44,3,D7,0,,3.7459637188208617,
-2,44,4,,0,,4.18968253968254,
-1,44,1,G,0,,4.631156462585034,
-1,44,2,,0,,5.0922448979591834,
-1,37,3,,0,,5.557142857142857,
-1,44,4,,0,,6.014263038548753,
0,37,1,A-7,0,,6.502789115646259,
0,37,2,,0,,6.9543764172335605,
0,37,3,D7,0,,7.415079365079365,
0,37,4,,0,,7.866281179138322,
1,42,1,G,1,A1,8.300136054421769,4/4
1,37,2,,1,,8.761360544217688,
1,42,3,,1,,9.212426303854876,
1,42,4,,1,,9.655283446712017,
2,43,1,C7,1,,10.096825396825396,
2,42,2,,1,,10.550430839002267,
2,43,3,,1,,10.983197278911565,
2,37,4,,1,,11.42482993197279,
3,42,1,G,1,,11.853061224489796,
3,50,2,,1,,12.28201814058957,
3,47,3,,1,,12.72562358276644,
3,44,4,,1,,13.167006802721088,
4,41,1,F7,1,,13.609863945578232,
4,47,2,,1,,14.033877551020408,
4,47,3,E-7,1,,14.476734693877551,
4,41,4,,1,,14.928027210884354,
5,52,1,A-7,1,,15.361904761904762,
5,42,2,,1,,15.813378684807256,
5,42,3,,1,,16.24612244897959,
5,38,4,,1,,16.697551020408163,
6,44,1,C#-7,1,,17.131473922902494,
6,47,2,,1,,17.582766439909296,
6,49,3,F#7,1,,18.025419501133786,
6,37,4,,1,,18.48659863945578,
7,42,1,G,1,,18.928027210884355,
7,42,2,,1,,19.371632653061223,
7,41,3,Go,1,,19.81328798185941,
7,41,4,,1,,20.265759637188207,
8,37,1,A-7,1,,20.699750566893425,
8,37,2,,1,,21.131451247165533,
8,51,3,D7,1,,21.574126984126984,
8,44,4,,1,,22.0178231292517,
9,50,1,G,1,A2,22.449546485260772,
9,37,2,,1,,22.883582766439908,
9,50,3,,1,,23.34360544217687,
9,50,4,,1,,23.777573696145126,
10,43,1,C7,1,,24.211496598639457,
10,42,2,,1,,24.636371882086166,
10,42,3,,1,,25.078253968253968,
10,37,4,,1,,25.501541950113378,
11,44,1,G,1,,25.96265306122449,
11,37,2,,1,,26.386643990929706,
11,37,3,,1,,26.829478458049888,
11,37,4,,1,,27.280725623582768,
12,37,1,F7,1,,27.70501133786848,
12,37,2,,1,,28.12798185941043,
12,37,3,E-7,1,,28.571678004535148,
12,37,4,,1,,29.004784580498868,
13,52,1,A-7,1,,29.431292517006803,
13,37,2,,1,,29.87170068027211,
13,43,3,,1,,30.277551020408165,
13,37,4,,1,,30.69170068027211,
14,42,1,C#-7,1,,31.115850340136053,
14,44,2,,1,,31.548979591836734,
14,47,3,F#7,1,,31.993877551020407,
14,48,4,,1,,32.44380952380953,
15,50,1,G,1,,32.867006802721086,
15,42,2,,1,,33.30070294784581,
15,42,3,Go,1,,33.73392290249433,
15,44,4,,1,,34.17548752834467,
16,42,1,A-7,1,,34.61907029478458,
16,42,2,,1,,35.042267573696144,
16,38,3,D7,1,,35.486009070294784,
16,50,4,,1,,35.91895691609977,
17,49,1,F#-7,1,B1,36.340816326530614,
17,50,2,,1,,36.75643990929705,
17,49,3,,1,,37.217551020408166,
17,50,4,,1,,37.65151927437642,
18,37,1,B7,1,,38.06696145124717,
18,37,2,,1,,38.518299319727895,
18,42,3,,1,,38.952290249433105,
18,47,4,,1,,39.38519274376417,
19,47,1,E-,1,,39.82673469387755,
19,50,2,,1,,40.26063492063492,
19,49,3,,1,,40.7034693877551,
19,37,4,,1,,41.14476190476191,
20,50,1,F#-7,1,,41.57879818594105,
20,42,2,,1,,42.011814058956915,
20,47,3,B7,1,,42.43585034013606,
20,44,4,,1,,42.85900226757369,
21,44,1,E-,1,,43.302721088435376,
21,47,2,,1,,43.71721088435374,
21,50,3,,1,,44.15993197278912,
21,42,4,,1,,44.60263038548753,
22,37,1,A7,1,,45.03437641723356,
22,42,2,,1,,45.45972789115646,
22,44,3,,1,,45.88385487528345,
22,42,4,,1,,46.325487528344674,
23,42,1,A-7,1,,46.750589569161,
23,41,2,,1,,47.19215419501134,
23,37,3,,1,,47.61648526077097,
23,50,4,,1,,48.04920634920635,
24,49,1,D7,1,,48.47342403628118,
24,38,2,,1,,48.91625850340136,
24,44,3,,1,,49.33469387755102,
24,48,4,,1,,49.77331065759637,
25,50,1,G,1,A3,50.21691609977324,
25,52,2,,1,,50.640249433106575,
25,50,3,,1,,51.06426303854875,
25,44,4,,1,,51.51560090702948,
26,42,1,C7,1,,51.95848072562358,
26,42,2,,1,,52.382380952380956,
26,42,3,,1,,52.82519274376417,
26,44,4,,1,,53.2765306122449,
27,42,1,G,1,,53.71054421768707,
27,37,2,,1,,54.13356009070295,
27,42,3,,1,,54.577278911564626,
27,37,4,,1,,55.01859410430839,
28,37,1,F7,1,,55.43408163265306,
28,42,2,,1,,55.87569160997732,
28,37,3,E7,1,,56.3097052154195,
28,47,4,,1,,56.732902494331064,
29,37,1,Eb7,1,,57.16662131519274,
29,37,2,,1,,57.59975056689343,
29,43,3,D7,1,,58.043401360544216,
29,37,4,,1,,58.46662131519275,
30,42,1,A-7,1,,58.90047619047619,
