bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,43,1,Cj7,1,A1,1.2808843537414967,4/4
1,43,2,,1,,1.5582993197278912,
1,43,3,,1,,1.8466439909297052,
1,43,4,,1,,2.1142857142857143,
2,40,1,Cj7,1,,2.4125850340136052,
2,40,2,,1,,2.706417233560091,
2,50,3,,1,,2.983968253968254,
2,40,4,,1,,3.281950113378685,
3,37,1,F-7,1,,3.5602267573696147,
3,43,2,,1,,3.837687074829932,
3,37,3,,1,,4.141065759637188,
3,42,4,,1,,4.403401360544217,
4,45,1,Bb7,1,,4.691678004535148,
4,48,2,,1,,4.959591836734694,
4,42,3,,1,,5.238027210884353,
4,45,4,,1,,5.506689342403628,
5,43,1,Cj7,1,,5.784149659863946,
5,47,2,,1,,6.062789115646258,
5,45,3,,1,,6.330544217687075,
5,47,4,,1,,6.618979591836735,
6,48,1,Cj7,1,,6.886621315192744,
6,37,2,,1,,7.175079365079365,
6,45,3,,1,,7.472380952380952,
6,50,4,,1,,7.766145124716553,
7,41,1,Bb-7,1,,8.028412698412698,
7,42,2,,1,,8.306984126984126,
7,48,3,,1,,8.57485260770975,
7,42,4,,1,,8.852879818594104,
8,41,1,Eb7,1,,9.141179138321995,
8,45,2,,1,,9.41907029478458,
8,47,3,,1,,9.677868480725623,
8,41,4,,1,,9.955374149659864,
9,51,1,Abj7,1,,10.233786848072562,
9,45,2,,1,,10.511609977324262,
9,44,3,,1,,10.787755102040816,
9,44,4,,1,,11.09814058956916,
10,45,1,Abj7,1,,11.356122448979592,
10,47,2,,1,,11.644557823129253,
10,47,3,,1,,11.912244897959184,
10,41,4,,1,,12.20063492063492,
11,52,1,A-7,1,,12.478185941043083,
11,43,2,,1,,12.766507936507937,
11,47,3,,1,,13.053922902494332,
11,41,4,,1,,13.32265306122449,
12,37,1,D7,1,,13.600294784580498,
12,48,2,,1,,13.849455782312925,
12,42,3,,1,,14.111814058956917,
12,43,4,,1,,14.370748299319727,
13,44,1,D-7,1,,14.638707482993198,
13,45,2,,1,,14.907278911564626,
13,47,3,,1,,15.194761904761904,
13,48,4,,1,,15.458072562358277,
14,50,1,G7,1,,15.73546485260771,
14,51,2,,1,,16.014172335600907,
14,50,3,,1,,16.29190476190476,
14,48,4,,1,,16.56045351473923,
15,47,1,Cj7,1,,16.8381179138322,
15,41,2,,1,,17.12641723356009,
15,52,3,Ebj7,1,,17.394240362811793,
15,47,4,,1,,17.682403628117914,
16,45,1,Abj7,1,,17.96015873015873,
16,50,2,,1,,18.238843537414965,
16,42,3,Dbj7,1,,18.516303854875282,
16,45,4,,1,,18.78517006802721,
17,43,1,Cj7,2,A1,19.05283446712018,
17,45,2,,2,,19.306371882086168,
17,47,3,,2,,19.583990929705216,
17,43,4,,2,,19.862630385487527,
18,45,1,,2,,20.120566893424037,
18,47,2,,2,,20.40888888888889,
18,50,3,,2,,20.686167800453514,
18,43,4,,2,,20.964920634920635,
19,48,1,F-7,2,,21.242403628117913,
19,51,2,,2,,21.511179138321996,
19,51,3,,2,,21.809569160997732,
19,48,4,,2,,22.077052154195012,
20,45,1,Bb7,2,,22.3553514739229,
20,50,2,,2,,22.64265306122449,
20,42,3,,2,,22.921201814058957,
20,45,4,,2,,23.188979591836734,
21,38,1,Cj7,2,,23.4675283446712,
21,43,2,,2,,23.746190476190478,
21,43,3,,2,,23.998616780045353,
21,47,4,,2,,24.24691609977324,
22,45,1,Cj7,2,,24.525374149659864,
22,47,2,,2,,24.777891156462584,
22,45,3,,2,,25.056598639455782,
22,43,4,,2,,25.324353741496598,
23,43,1,Bb-7,2,,25.612766439909297,
23,45,2,,2,,25.865260770975055,
23,47,3,,2,,26.133877551020408,
23,48,4,,2,,26.401814058956916,
24,41,1,Eb7,2,,26.680408163265305,
24,45,2,,2,,26.938367346938776,
24,47,3,,2,,27.217006802721087,
24,40,4,,2,,27.479251700680273,
25,51,1,Abj7,2,,27.738004535147393,
25,41,2,,2,,28.015804988662133,
25,43,3,,2,,28.284716553287982,
25,41,4,,2,,28.562108843537416,
26,45,1,Abj7,2,,28.85047619047619,
26,47,2,,2,,29.112766439909297,
26,37,3,,2,,29.39684807256236,
26,40,4,,2,,29.65918367346939,
27,40,1,A-7,2,,29.928027210884355,
27,42,2,,2,,30.18673469387755,
27,43,3,,2,,30.448979591836736,
27,47,4,,2,,30.70795918367347,
28,37,1,D7,2,,30.970362811791382,
28,40,2,,2,,31.248843537414967,
28,45,3,,2,,31.50687074829932,
28,38,4,,2,,31.79514739229025,
29,38,1,D-7,2,,32.06294784580499,
29,38,2,,2,,32.351179138321996,
29,38,3,,2,,32.6384126984127,
29,44,4,,2,,32.906780045351475,
30,38,1,G7,2,,33.17569160997733,
30,38,2,,2,,33.44342403628118,
30,51,3,,2,,33.69671201814059,
30,38,4,,2,,33.97451247165533,
31,37,1,Cj7,2,,34.24310657596372,
31,50,2,,2,,34.520816326530614,
31,47,3,Ebj7,2,,34.80916099773243,
31,41,4,,2,,35.061678004535146,
32,51,1,Abj7,2,,35.330340136054424,
32,45,2,,2,,35.59827664399093,
32,50,3,Dbj7,2,,35.86693877551021,
32,42,4,,2,,36.154444444444444,
33,44,1,Cj7,3,A1,36.44278911564626,
33,43,2,,3,,36.710680272108846,
33,43,3,,3,,36.998934240362814,
33,47,4,,3,,37.25691609977324,
34,44,1,Cj7,3,,37.55501133786848,
34,50,2,,3,,37.832471655328796,
34,43,3,,3,,38.11108843537415,
34,50,4,,3,,38.38977324263038,
35,37,1,F-7,3,,38.64780045351474,
35,44,2,,3,,38.92634920634921,
35,49,3,,3,,39.18850340136054,
35,47,4,,3,,39.48238095238095,
36,45,1,Bb7,3,,39.75462585034013,
36,37,2,,3,,40.03852607709751,
36,42,3,,3,,40.30083900226757,
36,45,4,,3,,40.55981859410431,
37,43,1,Cj7,3,,40.827619047619045,
37,47,2,,3,,41.106303854875286,
37,45,3,,3,,41.378299319727894,
37,52,4,,3,,41.68179138321995,
38,50,1,Cj7,3,,41.960090702947845,
38,37,2,,3,,42.2181179138322,
38,40,3,,3,,42.49673469387755,
38,45,4,,3,,42.7590022675737,
39,42,1,Bb-7,3,,43.01698412698413,
39,48,2,,3,,43.29555555555555,
39,48,3,,3,,43.57419501133787,
39,40,4,,3,,43.841859410430835,
40,42,1,Eb7,3,,44.120566893424034,
40,47,2,,3,,44.38290249433106,
40,47,3,,3,,44.6408843537415,
40,40,4,,3,,44.91929705215419,
41,40,1,Abj7,3,,45.19804988662131,
41,44,2,,3,,45.460362811791384,
41,44,3,,3,,45.7084126984127,
41,45,4,,3,,45.98714285714286,
42,47,1,Abj7,3,,46.249433106575964,
42,47,2,,3,,46.518299319727895,
42,48,3,,3,,46.77614512471656,
42,51,4,,3,,47.02956916099773,
43,40,1,A-7,3,,47.29766439909297,
43,42,2,,3,,47.566099773242634,
43,43,3,,3,,47.85358276643991,
43,47,4,,3,,48.12238095238095,
44,45,1,D7,3,,48.384739229024945,
44,37,2,,3,,48.65349206349207,
44,42,3,,3,,48.92138321995465,
44,43,4,,3,,49.18027210884354,
45,45,1,D-7,3,,49.45253968253968,
45,50,2,,3,,49.721156462585036,
45,44,3,,3,,49.99884353741496,
45,44,4,,3,,50.2772335600907,
46,38,1,G7,3,,50.555079365079365,
46,51,2,,3,,50.82358276643991,
46,51,3,,3,,51.09142857142857,
46,37,4,,3,,51.36997732426304,
47,50,1,Cj7,3,,51.642925170068025,
47,47,2,,3,,51.910702947845806,
47,37,3,Ebj7,3,,52.1990022675737,
47,52,4,,3,,52.482131519274375,
48,45,1,Abj7,3,,52.745396825396824,
48,51,2,,3,,53.00349206349206,
48,50,3,Dbj7,3,,53.281791383219954,
48,38,4,,3,,53.549727891156465,
49,43,1,Cj7,4,A1,53.822766439909294,
49,48,2,,4,,54.090385487528344,
49,45,3,,4,,54.38428571428572,
49,50,4,,4,,54.6618820861678,
50,43,1,Cj7,4,,54.95918367346939,
50,47,2,,4,,55.237482993197276,
50,45,3,,4,,55.51607709750567,
50,50,4,,4,,55.79446712018141,
51,37,1,F-7,4,,56.06938775510204,
51,44,2,,4,,56.36022675736962,
51,49,3,,4,,56.61827664399093,
51,37,4,,4,,56.89659863945578,
52,41,1,Bb7,4,,57.1597052154195,
52,37,2,,4,,57.41814058956916,
52,41,3,,4,,57.69603174603174,
52,45,4,,4,,57.9743537414966,
53,50,1,Cj7,4,,58.25206349206349,
53,48,2,,4,,58.54049886621315,
53,47,3,,4,,58.79294784580499,
53,50,4,,4,,59.04210884353741,
54,43,1,Cj7,4,,59.29437641723356,
54,47,2,,4,,59.56328798185941,
54,38,3,,4,,59.84092970521542,
54,45,4,,4,,60.1191156462585,
55,42,1,Bb-7,4,,60.387959183673466,
55,43,2,,4,,60.650226757369616,
55,37,3,,4,,60.90818594104309,
55,42,4,,4,,61.16721088435374,
56,42,1,Eb7,4,,61.42950113378685,
56,47,2,,4,,61.708231292517006,
56,47,3,,4,,61.96616780045351,
56,38,4,,4,,62.234807256235825,
57,38,1,Abj7,4,,62.5078231292517,
