bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-4,37,4,NC,0,I1,2.0230385487528344,
-3,37,1,,0,,2.5275736961451245,
-3,43,2,,0,,3.03891156462585,
-3,45,3,,0,,3.523628117913832,
-3,48,4,,0,,4.028140589569161,
-2,34,1,,0,,4.558140589569161,
-2,47,2,,0,,5.0580725623582765,
-2,48,3,,0,,5.557210884353742,
-2,50,4,,0,,6.068412698412699,
-1,51,1,,0,,6.569092970521542,
-1,51,2,,0,,7.062879818594104,
-1,51,3,,0,,7.57233560090703,
-1,38,4,,0,,8.087755102040816,
0,38,1,,0,,8.6240589569161,
0,37,2,,0,,9.109909297052154,
0,37,3,,0,,9.610861678004536,
0,37,4,,0,,10.125555555555556,
1,37,1,Bb7,1,A1,10.640997732426303,4/4
1,43,2,,1,,11.15360544217687,
1,45,3,,1,,11.659659863945578,
1,48,4,,1,,12.189614512471655,
2,34,1,Eb7,1,,12.703877551020408,
2,47,2,,1,,13.195736961451248,
2,48,3,,1,,13.69546485260771,
2,50,4,,1,,14.165192743764173,
3,51,1,Ab6,1,,14.69718820861678,
3,41,2,,1,,15.207324263038549,
3,37,3,,1,,15.714285714285714,
3,51,4,,1,,16.191836734693876,
4,38,1,,1,,16.71387755102041,
4,42,2,,1,,17.21825396825397,
4,37,3,,1,,17.68780045351474,
4,50,4,,1,,18.226009070294786,
5,51,1,Eb-7,1,,18.71687074829932,
5,48,2,,1,,19.241156462585035,
5,34,3,,1,,19.759750566893423,
5,44,4,,1,,20.24503401360544,
6,43,1,Ab7,1,,20.740748299319726,
6,51,2,,1,,21.241950113378685,
6,42,3,,1,,21.75469387755102,
6,51,4,,1,,22.255124716553286,
7,51,1,Db6,1,,22.738775510204082,
7,37,2,,1,,23.233151927437643,
7,37,3,,1,,23.746462585034013,
7,37,4,,1,,24.260068027210885,
8,37,1,,1,,24.771315192743764,
8,37,2,,1,,25.26331065759637,
8,37,3,,1,,25.76716553287982,
8,37,4,,1,,26.253061224489795,
9,37,1,Db7,1,B1,26.751315192743764,
9,37,2,,1,,27.269795918367347,
9,37,3,,1,,27.77734693877551,
9,41,4,,1,,28.303786848072562,
10,34,1,Do,1,,28.795895691609978,
10,37,2,,1,,29.31251700680272,
10,37,3,,1,,29.801473922902495,
10,50,4,,1,,30.30140589569161,
11,47,1,Ab,1,,30.830907029478457,
11,34,2,,1,,31.32684807256236,
11,44,3,,1,,31.806190476190476,
11,44,4,,1,,32.321451247165534,
12,43,1,F7,1,,32.82473922902494,
12,48,2,,1,,33.3469387755102,
12,48,3,,1,,33.84009070294785,
12,40,4,,1,,34.31428571428572,
13,41,1,Bb7,1,,34.80521541950113,
13,43,2,,1,,35.2807029478458,
13,45,3,,1,,35.78297052154195,
13,45,4,,1,,36.32489795918367,
14,48,1,,1,,36.829297052154196,
14,51,2,,1,,37.31884353741496,
14,52,3,,1,,37.82775510204082,
14,50,4,,1,,38.349546485260774,
15,50,1,Bb-7,1,,38.841043083900225,
15,44,2,,1,,39.34301587301587,
15,43,3,,1,,39.8133560090703,
15,42,4,,1,,40.31204081632653,
16,41,1,Eb7,1,,40.816326530612244,
16,45,2,,1,,41.3253514739229,
16,34,3,,1,,41.80285714285714,
16,50,4,,1,,42.30827664399093,
17,37,1,Bb7,1,A'2,42.82954648526077,
17,38,2,,1,,43.30839002267574,
17,39,3,,1,,43.837936507936504,
17,37,4,,1,,44.37002267573696,
18,41,1,Eb7,1,,44.87045351473923,
18,51,2,,1,,45.38956916099773,
18,50,3,,1,,45.899319727891154,
18,50,4,,1,,46.42907029478458,
19,51,1,Ab6,1,,46.90768707482993,
19,43,2,,1,,47.38172335600907,
19,44,3,,1,,47.90043083900227,
19,45,4,,1,,48.37877551020408,
20,34,1,,1,,48.84897959183674,
20,47,2,,1,,49.33079365079365,
20,48,3,,1,,49.82916099773242,
20,50,4,,1,,50.32598639455782,
21,37,1,Eb-7,1,,50.832630385487526,
21,44,2,,1,,51.3704081632653,
21,37,3,,1,,51.86757369614512,
21,41,4,,1,,52.39002267573696,
22,51,1,Ab7,1,,52.91024943310658,
22,49,2,,1,,53.40777777777778,
22,42,3,,1,,53.90204081632653,
22,43,4,,1,,54.40791383219955,
23,44,1,Db6,1,,54.94063492063492,
23,48,2,,1,,55.435918367346936,
23,51,3,,1,,55.91786848072562,
23,43,4,,1,,56.4359410430839,
24,44,1,,1,,56.93734693877551,
24,48,2,,1,,57.42560090702948,
24,51,3,,1,,57.94009070294785,
24,37,4,,1,,58.44496598639456,
25,37,1,Db7,1,C1,58.95340136054422,
25,51,2,,1,,59.44133786848072,
25,37,3,,1,,59.949931972789116,
25,51,4,,1,,60.47213151927438,
26,42,1,Do,1,,61.00809523809524,
26,51,2,,1,,61.540068027210886,
26,39,3,,1,,62.059886621315194,
26,51,4,,1,,62.56684807256236,
27,37,1,Ab,1,,63.04117913832199,
27,38,2,,1,,63.531609977324266,
27,37,3,,1,,64.04566893424037,
27,49,4,,1,,64.54907029478458,
28,47,1,F7,1,,65.06972789115646,
28,40,2,,1,,65.54816326530612,
28,43,3,,1,,66.06172335600907,
28,48,4,,1,,66.54916099773243,
29,50,1,Bb-7,1,,67.09174603174603,
29,37,2,,1,,67.62965986394558,
29,42,3,,1,,68.12244897959184,
29,38,4,,1,,68.59242630385488,
30,38,1,Eb7,1,,69.09004535147392,
30,38,2,,1,,69.5921768707483,
30,37,3,,1,,70.11770975056689,
