bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,50,1,NC,1,A1,1.9230385487528345,4/4
1,50,2,,1,,2.123673469387755,
1,43,3,,1,,2.3243083900226758,
1,42,4,,1,,2.5414399092970523,
2,42,1,,1,,2.7585714285714285,
2,40,2,,1,,2.9636734693877553,
2,38,3,,1,,3.1687755102040818,
2,40,4,,1,,3.37953514739229,
3,40,1,,1,,3.590294784580499,
3,42,2,,1,,3.7978798185941045,
3,42,3,,1,,4.00546485260771,
3,50,4,,1,,4.209886621315192,
4,45,1,,1,,4.414308390022676,
4,50,2,,1,,4.610294784580499,
4,50,3,,1,,4.806281179138322,
4,49,4,,1,,5.013537414965986,
5,50,1,,1,,5.2207936507936505,
5,50,2,,1,,5.415578231292517,
5,50,3,,1,,5.610362811791383,
5,45,4,,1,,5.806043083900226,
6,42,1,,1,,6.00172335600907,
6,45,2,,1,,6.199240362811791,
6,42,3,,1,,6.396757369614512,
6,45,4,,1,,6.6095578231292516,
7,42,1,,1,,6.822358276643991,
7,45,2,,1,,7.0229591836734695,
7,42,3,,1,,7.223560090702948,
7,45,4,,1,,7.4248979591836735,
8,42,1,,1,,7.626235827664399,
8,42,2,,1,,7.825861678004535,
8,42,3,,1,,8.025487528344671,
8,51,4,,1,,8.21891156462585,
9,50,1,,1,,8.41233560090703,
9,42,2,,1,,8.606326530612245,
9,42,3,,1,,8.80031746031746,
9,45,4,,1,,8.9978231292517,
10,45,1,,1,,9.19532879818594,
10,50,2,,1,,9.401938775510203,
10,50,3,,1,,9.608548752834468,
10,45,4,,1,,9.811961451247166,
11,42,1,,1,,10.015374149659864,
11,42,2,,1,,10.216303854875283,
11,42,3,,1,,10.417233560090702,
11,50,4,,1,,10.623083900226757,
12,47,1,,1,,10.828934240362813,
12,50,2,,1,,11.024308390022675,
12,40,3,,1,,11.21968253968254,
12,40,4,,1,,11.41611111111111,
13,37,1,,1,,11.612539682539683,
13,50,2,,1,,11.807539682539684,
13,50,3,,1,,12.002539682539682,
13,37,4,,1,,12.207653061224491,
14,42,1,,1,,12.412766439909298,
14,42,2,,1,,12.616587301587302,
14,37,3,,1,,12.820408163265306,
14,42,4,,1,,13.026632653061224,
15,42,1,,1,,13.232857142857142,
15,37,2,,1,,13.443741496598639,
15,38,3,,1,,13.654625850340135,
15,37,4,,1,,13.860997732426304,
16,50,1,,1,,14.067369614512472,
16,50,2,,1,,14.272925170068028,
16,51,3,,1,,14.478480725623582,
16,50,4,,1,,14.683741496598639,
17,50,1,,1,,14.889002267573696,
17,50,2,,1,,15.099603174603175,
17,50,3,,1,,15.310204081632653,
17,50,4,,1,,15.516156462585034,
18,50,1,,1,,15.722108843537415,
18,37,2,,1,,15.930907029478458,
18,37,3,,1,,16.1397052154195,
18,50,4,,1,,16.35331065759637,
19,50,1,,1,,16.56691609977324,
19,50,2,,1,,16.78345804988662,
19,38,3,,1,,17.0,
19,38,4,,1,,17.211950113378684,
20,38,1,,1,,17.423900226757368,
20,38,2,,1,,17.635668934240364,
20,50,3,,1,,17.847437641723356,
20,50,4,,1,,18.068616780045353,
21,51,1,,1,,18.289795918367346,
21,51,2,,1,,18.503990929705218,
21,51,3,,1,,18.718185941043085,
21,38,4,,1,,18.944285714285716,
22,47,1,,1,,19.170385487528346,
22,42,2,,1,,19.385192743764172,
22,42,3,,1,,19.6,
22,42,4,,1,,19.81808390022676,
23,42,1,,1,,20.036167800453516,
23,47,2,,1,,20.253185941043085,
23,47,3,,1,,20.47020408163265,
23,37,4,,1,,20.67280045351474,
24,37,1,,1,,20.875396825396827,
24,42,2,,1,,21.069920634920635,
24,42,3,,1,,21.264444444444443,
24,42,4,,1,,21.47013605442177,
25,42,1,,1,,21.675827664399094,
25,42,2,,1,,21.884920634920636,
25,42,3,,1,,22.09401360544218,
25,37,4,,1,,22.300941043083903,
26,37,1,,1,,22.507868480725623,
26,37,2,,1,,22.706995464852607,
26,50,3,,1,,22.90612244897959,
26,50,4,,1,,23.109104308390023,
27,44,1,Db/Ab,1,B1,23.312086167800455,
27,43,2,,1,,23.513934240362815,
27,44,3,,1,,23.71578231292517,
27,44,4,,1,,23.91281179138322,
28,39,1,,1,,24.10984126984127,
28,39,2,,1,,24.31689342403628,
28,40,3,,1,,24.52394557823129,
28,37,4,,1,,24.732993197278912,
29,44,1,,1,,24.942040816326532,
29,44,2,,1,,25.14451247165533,
29,44,3,,1,,25.346984126984125,
29,44,4,,1,,25.5603514739229,
30,44,1,,1,,25.773718820861678,
30,44,2,,1,,25.991077097505666,
30,37,3,,1,,26.20843537414966,
30,48,4,,1,,26.404455782312922,
31,44,1,,1,,26.60047619047619,
31,44,2,,1,,26.811814058956916,
31,44,3,,1,,27.02315192743764,
31,44,4,,1,,27.236371882086168,
32,39,1,,1,,27.449591836734694,
32,39,2,,1,,27.650929705215418,
32,37,3,,1,,27.852267573696146,
32,42,4,,1,,28.05812925170068,
33,44,1,,1,,28.263990929705216,
33,44,2,,1,,28.467131519274375,
33,44,3,,1,,28.670272108843537,
33,44,4,,1,,28.87501133786848,
34,44,1,,1,,29.079750566893424,
34,44,2,,1,,29.278231292517006,
34,43,3,,1,,29.47671201814059,
34,43,4,,1,,29.68325396825397,
35,44,1,,1,,29.889795918367348,
35,44,2,,1,,30.100158730158732,
35,44,3,,1,,30.310521541950113,
35,44,4,,1,,30.512891156462587,
36,39,1,,1,,30.715260770975057,
36,39,2,,1,,30.919614512471654,
36,37,3,,1,,31.123968253968254,
36,38,4,,1,,31.31875283446712,
37,47,1,,1,,31.513537414965988,
37,44,2,,1,,31.713367346938774,
37,44,3,,1,,31.913197278911564,
37,44,4,,1,,32.10626984126984,
38,44,1,,1,,32.29934240362812,
38,44,2,,1,,32.501564625850335,
38,44,3,,1,,32.70378684807256,
38,43,4,,1,,32.913548752834465,
39,44,1,,1,,33.12331065759637,
39,44,2,,1,,33.33026077097506,
39,44,3,,1,,33.53721088435374,
39,44,4,,1,,33.744852607709745,
40,38,1,,1,,33.95249433106576,
40,39,2,,1,,34.142437641723355,
40,40,3,,1,,34.33238095238095,
40,40,4,,1,,34.529671201814054,
41,37,1,,1,,34.72696145124716,
41,38,2,,1,,34.92031746031746,
41,38,3,,1,,35.113673469387756,
41,38,4,,1,,35.309512471655324,
42,37,1,,1,,35.5053514739229,
42,50,2,,1,,35.706984126984125,
42,50,3,,1,,35.90861678004535,
42,50,4,,1,,36.11154195011338,
43,50,1,NC,2,A1,36.314467120181405,
43,43,2,,2,,36.53126984126984,
43,42,3,,2,,36.748072562358274,
43,41,4,,2,,36.94275510204082,
44,40,1,,2,,37.13743764172336,
44,38,2,,2,,37.34930839002268,
44,38,3,,2,,37.561179138322,
44,40,4,,2,,37.76914965986394,
45,42,1,,2,,37.977120181405894,
45,42,2,,2,,38.17785714285714,
45,45,3,,2,,38.37859410430839,
45,45,4,,2,,38.58260770975057,
46,50,1,,2,,38.78662131519275,
46,50,2,,2,,38.99654195011338,
46,50,3,,2,,39.20646258503401,
46,44,4,,2,,39.40522675736961,
47,37,1,,2,,39.60399092970521,
47,50,2,,2,,39.80273242630385,
47,50,3,,2,,40.00147392290249,
47,42,4,,2,,40.19973922902494,
48,44,1,,2,,40.39800453514739,
48,43,2,,2,,40.613344671201816,
48,44,3,,2,,40.82868480725624,
48,42,4,,2,,41.02455782312926,
49,37,1,,2,,41.22043083900227,
49,37,2,,2,,41.421451247165535,
49,37,3,,2,,41.622471655328795,
49,37,4,,2,,41.82512471655329,
50,37,1,,2,,42.02777777777778,
50,38,2,,2,,42.229716553287986,
50,42,3,,2,,42.431655328798186,
50,42,4,,2,,42.64431972789116,
51,50,1,,2,,42.85698412698413,
51,43,2,,2,,43.07096371882086,
51,39,3,,2,,43.284943310657596,
51,50,4,,2,,43.4775850340136,
52,39,1,,2,,43.67022675736961,
52,42,2,,2,,43.87261904761905,
52,42,3,,2,,44.07501133786848,
52,37,4,,2,,44.27973922902494,
53,50,1,,2,,44.48446712018141,
53,50,2,,2,,44.681009070294785,
53,48,3,,2,,44.87755102040816,
53,47,4,,2,,45.08043083900227,
54,45,1,,2,,45.283310657596374,
54,45,2,,2,,45.486485260770976,
54,42,3,,2,,45.68965986394558,
54,42,4,,2,,45.89419501133787,
55,50,1,,2,,46.098730158730156,
55,42,2,,2,,46.29,
