bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,48,1,NC,0,I1,6.390453514739229,
-1,47,2,,0,,6.60390022675737,
-1,47,3,,0,,6.812902494331066,
-1,47,4,,0,,7.0359410430839,
0,47,1,,0,,7.26,
0,47,2,,0,,7.493174603174603,
0,37,3,,0,,7.710204081632653,
0,38,4,,0,,7.934920634920635,
1,38,1,Fj7,1,A1,8.158299319727892,4/4
1,37,2,,1,,8.382562358276644,
1,42,3,,1,,8.61546485260771,
1,38,4,,1,,8.83954648526077,
2,42,1,,1,,9.06267573696145,
2,41,2,,1,,9.290226757369615,
2,40,3,,1,,9.524036281179137,
2,50,4,,1,,9.752879818594105,
3,48,1,,1,,9.971360544217687,
3,40,2,,1,,10.20204081632653,
3,44,3,,1,,10.42873015873016,
3,44,4,,1,,10.642857142857142,
4,43,1,Fj7/A,1,,10.871428571428572,
4,44,2,,1,,11.09342403628118,
4,44,3,Abo7,1,,11.317210884353742,
4,49,4,,1,,11.540408163265306,
5,50,1,G-7,1,,11.764603174603174,
5,48,2,,1,,11.985714285714286,
5,45,3,,1,,12.20546485260771,
5,50,4,,1,,12.42954648526077,
6,50,1,C7,1,,12.648344671201814,
6,42,2,,1,,12.876802721088435,
6,37,3,,1,,13.09437641723356,
6,47,4,,1,,13.318503401360545,
7,37,1,F6,1,,13.551428571428572,
7,41,2,,1,,13.775555555555556,
7,43,3,,1,,13.998798185941043,
7,45,4,,1,,14.224172335600906,
8,50,1,G-7,1,,14.456054421768707,
8,40,2,,1,,14.6737641723356,
8,42,3,C7,1,,14.888095238095238,
8,42,4,,1,,15.101496598639455,
9,50,1,Fj7,1,A2,15.325487528344672,
9,37,2,,1,,15.553242630385487,
9,41,3,,1,,15.776326530612245,
9,42,4,,1,,16.000498866213153,
10,42,1,,1,,16.223492063492063,
10,45,2,,1,,16.447573696145124,
10,47,3,,1,,16.675079365079366,
10,50,4,,1,,16.889274376417234,
11,48,1,,1,,17.102834467120182,
11,37,2,,1,,17.32668934240363,
11,50,3,,1,,17.544535147392292,
11,50,4,,1,,17.757845804988662,
12,37,1,Fj7/A,1,,17.976507936507936,
12,37,2,,1,,18.205351473922903,
12,38,3,Abo7,1,,18.414104308390023,
12,38,4,,1,,18.637256235827664,
13,38,1,G-7,1,,18.867346938775512,
13,38,2,,1,,19.094580498866215,
13,37,3,,1,,19.314648526077097,
13,38,4,,1,,19.53643990929705,
14,38,1,C7,1,,19.755102040816325,
14,38,2,,1,,19.98374149659864,
14,37,3,,1,,20.201473922902494,
14,38,4,,1,,20.424716553287983,
15,38,1,F6,1,,20.63902494331066,
15,38,2,,1,,20.86231292517007,
15,38,3,,1,,21.071156462585034,
15,37,4,,1,,21.2943537414966,
16,37,1,,1,,21.527278911564625,
16,50,2,,1,,21.74142857142857,
16,50,3,,1,,21.95995464852608,
16,50,4,C7,1,,22.183174603174603,
17,43,1,C-7,1,B1,22.4168253968254,
17,42,2,,1,,22.64671201814059,
17,50,3,,1,,22.87455782312925,
17,50,4,,1,,23.097233560090704,
18,37,1,F7,1,,23.320498866213153,
18,50,2,,1,,23.53891156462585,
18,48,3,,1,,23.762290249433107,
18,40,4,,1,,23.98639455782313,
19,42,1,Bb,1,,24.199909297052155,
19,42,2,,1,,24.427392290249433,
19,44,3,F7,1,,24.64172335600907,
19,50,4,,1,,24.855215419501135,
20,49,1,Bb,1,,25.073832199546484,
20,50,2,,1,,25.291836734693877,
20,50,3,,1,,25.52018140589569,
20,42,4,,1,,25.7443537414966,
21,37,1,Bb-,1,,25.962086167800454,
21,37,2,,1,,26.186281179138323,
21,48,3,,1,,26.399637188208615,
21,50,4,,1,,26.60766439909297,
22,50,1,Eb79,1,,26.82170068027211,
22,50,2,,1,,27.044920634920636,
22,38,3,,1,,27.26360544217687,
22,45,4,,1,,27.467278911564627,
23,37,1,D7,1,,27.691201814058957,
23,50,2,,1,,27.918367346938776,
23,49,3,,1,,28.148231292517007,
23,44,4,,1,,28.37575963718821,
24,50,1,G7,1,,28.58922902494331,
24,48,2,,1,,28.81331065759637,
24,47,3,C7,1,,29.036462585034013,
24,42,4,,1,,29.256122448979593,
25,47,1,Fj7,1,A3,29.475555555555555,
25,47,2,,1,,29.691791383219954,
25,49,3,,1,,29.900702947845804,
25,50,4,,1,,30.11403628117914,
26,38,1,,1,,30.33809523809524,
26,44,2,,1,,30.562131519274377,
26,45,3,,1,,30.77952380952381,
26,49,4,,1,,31.00269841269841,
27,50,1,G7,1,,31.230839002267572,
27,42,2,,1,,31.460136054421767,
27,44,3,,1,,31.685079365079364,
27,44,4,,1,,31.917097505668934,
28,44,1,,1,,32.13578231292517,
28,49,2,,1,,32.339455782312925,
28,50,3,,1,,32.547392290249434,
28,42,4,,1,,32.76172335600907,
29,42,1,C7,1,,32.97521541950113,
29,37,2,,1,,33.19351473922902,
29,37,3,,1,,33.40916099773243,
29,38,4,,1,,33.62757369614513,
30,37,1,,1,,33.84875283446712,
30,37,2,,1,,34.06301587301587,
30,37,3,,1,,34.27643990929705,
30,50,4,,1,,34.50408163265306,
31,37,1,F,1,,34.71825396825397,
31,37,2,,1,,34.94149659863945,
31,38,3,,1,,35.150408163265304,
31,38,4,,1,,35.36387755102041,
