bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-3,43,1,NC,0,I1,2.7224489795918365,
-3,45,2,,0,,3.012244897959184,
-3,45,3,,0,,3.326530612244898,
-3,50,4,,0,,3.63265306122449,
-2,43,1,,0,,3.946938775510204,
-2,50,2,,0,,4.2549206349206345,
-2,48,3,,0,,4.549297052154195,
-2,51,4,,0,,4.830181405895692,
-1,51,1,,0,,5.123514739229025,
-1,51,2,,0,,5.424489795918367,
-1,50,3,,0,,5.729047619047619,
-1,49,4,,0,,6.056984126984127,
0,48,1,,0,,6.385578231292517,
0,37,2,,0,,6.690294784580499,
0,40,3,,0,,7.0081632653061225,
0,50,4,,0,,7.330612244897959,
1,42,1,C-7,1,A1,7.63546485260771,4/4
1,45,2,,1,,7.960385487528344,
1,45,3,,1,,8.273174603174603,
1,50,4,,1,,8.562154195011338,
2,42,1,F7,1,,8.870861678004536,
2,50,2,,1,,9.200090702947845,
2,48,3,,1,,9.511609977324262,
2,51,4,,1,,9.842857142857143,
3,41,1,Bbj7,1,,10.151020408163266,
3,45,2,,1,,10.483628117913833,
3,45,3,Ebj7,1,,10.806689342403628,
3,51,4,,1,,11.102698412698413,
4,51,1,D-7,1,,11.383673469387755,
4,45,2,,1,,11.683673469387756,
4,44,3,Db7,1,,11.988820861678004,
4,45,4,,1,,12.324126984126984,
5,42,1,C-7,1,,12.631065759637188,
5,45,2,,1,,12.932222222222222,
5,45,3,G7,1,,13.257142857142858,
5,50,4,,1,,13.568321995464853,
6,42,1,C-7,1,,13.863378684807257,
6,50,2,,1,,14.173265306122449,
6,47,3,F7,1,,14.486190476190476,
6,51,4,,1,,14.794943310657596,
7,40,1,Bbj7,1,,15.10721088435374,
7,51,2,,1,,15.40390022675737,
7,49,3,,1,,15.722267573696145,
7,49,4,,1,,16.024263038548753,
8,48,1,D-7,1,,16.303696145124718,
8,48,2,,1,,16.61487528344671,
8,41,3,Db7,1,,16.93011337868481,
8,50,4,,1,,17.236281179138324,
9,42,1,C-7,1,A2,17.53950113378685,
9,45,2,,1,,17.859795918367347,
9,45,3,,1,,18.17408163265306,
9,50,4,,1,,18.489795918367346,
10,42,1,F7,1,,18.813786848072564,
10,50,2,,1,,19.1265306122449,
10,48,3,,1,,19.424013605442177,
10,51,4,,1,,19.74299319727891,
11,48,1,Bbj7,1,,20.023492063492064,
11,48,2,,1,,20.335351473922902,
11,45,3,Ebj7,1,,20.642471655328798,
11,42,4,,1,,20.958049886621314,
12,51,1,D-7,1,,21.256145124716554,
12,45,2,,1,,21.540816326530614,
12,44,3,Db7,1,,21.8497052154195,
12,45,4,,1,,22.144603174603173,
13,43,1,C-7,1,,22.437256235827665,
13,45,2,,1,,22.748412698412697,
13,45,3,G7,1,,23.056349206349207,
13,50,4,,1,,23.336734693877553,
14,42,1,C-7,1,,23.661473922902495,
14,50,2,,1,,23.942857142857143,
14,48,3,F7,1,,24.244920634920636,
14,51,4,,1,,24.577732426303854,
15,40,1,Bbj7,1,,24.86938775510204,
15,48,2,,1,,25.17281179138322,
15,45,3,,1,,25.460272108843537,
15,44,4,,1,,25.779251700680273,
16,41,1,F-7,1,,26.075963718820862,
16,50,2,,1,,26.36809523809524,
16,47,3,Bb7,1,,26.642199546485262,
16,48,4,,1,,26.9562358276644,
17,47,1,Ebj7,1,B1,27.24875283446712,
17,48,2,,1,,27.56201814058957,
17,50,3,,1,,27.893151927437643,
17,51,4,,1,,28.193492063492062,
18,45,1,Eb-7,1,,28.526530612244898,
18,49,2,,1,,28.835986394557825,
18,51,3,Ab7,1,,29.123968253968254,
18,45,4,,1,,29.40546485260771,
19,45,1,Bb-7,1,,29.683356009070295,
