bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-7,50,4,Gbsus7913,0,I1,2.2087981859410433,
-6,50,1,Fsus7913,0,I1,2.4090702947845806,
-6,50,2,,0,,2.5919274376417234,
-6,37,3,,0,,2.7980045351473923,
-6,48,4,,0,,2.9663492063492063,
-5,49,1,,0,,3.149206349206349,
-5,48,2,,0,,3.3416780045351473,
-5,47,3,Ebsus7913,0,I1,3.529455782312925,
-5,50,4,,0,,3.726417233560091,
-4,37,1,D79,0,I1,3.9163945578231294,
-4,49,2,,0,,4.1164399092970525,
-4,48,3,,0,,4.331156462585034,
-4,48,4,,0,,4.53922902494331,
-3,48,1,Ebj7911#,0,I1,4.747755102040816,
-3,50,2,,0,,4.954104308390023,
-3,50,3,,0,,5.1486167800453515,
-3,47,4,,0,,5.3375510204081635,
-2,50,1,,0,,5.54172335600907,
-2,50,2,,0,,5.754126984126984,
-2,50,3,,0,,5.962131519274377,
-2,49,4,,0,,6.185215419501134,
-1,43,1,,0,,6.379682539682539,
-1,47,2,,0,,6.5770521541950115,
-1,48,3,,0,,6.786031746031746,
-1,50,4,,0,,7.004603174603175,
0,50,1,,0,,7.192403628117914,
0,48,2,,0,,7.394625850340136,
0,48,3,,0,,7.588639455782313,
0,49,4,,0,,7.779319727891156,
1,50,1,Fsus7913,1,A1,7.978798185941043,4/4
1,45,2,,1,,8.172993197278911,
1,43,3,,1,,8.369092970521542,
1,47,4,,1,,8.562267573696145,
2,48,1,,1,,8.754580498866213,
2,49,2,,1,,8.96827664399093,
2,48,3,,1,,9.180272108843537,
2,48,4,,1,,9.386666666666667,
3,45,1,,1,,9.59764172335601,
3,43,2,,1,,9.787256235827664,
3,43,3,,1,,9.976734693877551,
3,45,4,,1,,10.182902494331065,
4,49,1,Gbsus7913,1,,10.39092970521542,
4,49,2,,1,,10.616145124716553,
4,48,3,,1,,10.826122448979591,
4,48,4,,1,,11.029886621315192,
5,48,1,Fsus7913,1,,11.223945578231293,
5,47,2,,1,,11.418412698412698,
5,37,3,,1,,11.634512471655329,
5,38,4,,1,,11.836213151927439,
