bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,34,1,Eb7,1,A1,1.4407256235827663,4/4
1,45,2,,1,,1.8474603174603175,
1,41,3,,1,,2.240249433106576,
1,45,4,,1,,2.6517460317460317,
2,34,1,,1,,3.039047619047619,
2,50,2,,1,,3.4204081632653063,
2,50,3,,1,,3.820408163265306,
2,45,4,,1,,4.214421768707483,
3,34,1,,1,,4.597551020408163,
3,45,2,,1,,4.97265306122449,
3,41,3,,1,,5.377709750566893,
3,45,4,,1,,5.755056689342403,
4,34,1,,1,,6.126530612244898,
4,45,2,,1,,6.514648526077098,
4,41,3,,1,,6.921655328798186,
4,45,4,,1,,7.3047392290249435,
5,34,1,,1,,7.701496598639456,
5,45,2,,1,,8.083718820861678,
5,41,3,,1,,8.470997732426303,
5,45,4,,1,,8.848548752834468,
6,34,1,,1,,9.224126984126984,
6,45,2,,1,,9.61795918367347,
6,41,3,,1,,10.00344671201814,
6,45,4,,1,,10.383673469387755,
7,45,1,,1,,10.771156462585035,
7,34,2,,1,,11.14702947845805,
7,41,3,,1,,11.529795918367347,
7,45,4,,1,,11.925895691609977,
8,42,1,,1,,12.335600907029479,
8,42,2,,1,,12.731156462585034,
8,41,3,,1,,13.128208616780045,
8,50,4,,1,,13.520113378684806,
9,51,1,Ab7,1,,13.917142857142856,
9,45,2,,1,,14.294761904761904,
9,45,3,,1,,14.707142857142857,
9,50,4,,1,,15.099115646258504,
10,51,1,,1,,15.47657596371882,
10,51,2,,1,,15.863718820861678,
10,42,3,,1,,16.25575963718821,
10,50,4,,1,,16.633333333333333,
11,51,1,,1,,17.020226757369613,
11,51,2,,1,,17.423197278911566,
11,42,3,,1,,17.819387755102042,
11,50,4,,1,,18.23170068027211,
12,51,1,,1,,18.61907029478458,
12,51,2,,1,,19.00219954648526,
12,38,3,,1,,19.378662131519274,
12,45,4,,1,,19.756167800453515,
13,34,1,Eb7,1,,20.143560090702948,
13,45,2,,1,,20.526439909297054,
