bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,40,1,Eb-79,1,A1,3.1723356009070294,4/4
1,41,2,,1,,3.604240362811791,
1,45,3,,1,,4.036281179138322,
1,45,4,,1,,4.463764172335601,
2,37,1,,1,,4.895918367346939,
2,45,2,,1,,5.317097505668934,
2,41,3,,1,,5.7490249433106575,
2,47,4,,1,,6.186485260770975,
3,48,1,F7,1,,6.6184580498866215,
3,38,2,,1,,7.041451247165533,
3,50,3,,1,,7.477891156462585,
3,48,4,,1,,7.899115646258504,
4,50,1,F7,1,,8.33015873015873,
4,45,2,,1,,8.76249433106576,
4,43,3,,1,,9.183492063492064,
4,48,4,,1,,9.631995464852608,
5,40,1,E7,1,,10.079183673469387,
5,42,2,,1,,10.50140589569161,
5,42,3,,1,,10.907256235827665,
5,47,4,,1,,11.35437641723356,
6,40,1,E7,1,,11.76671201814059,
6,50,2,,1,,12.198843537414966,
6,40,3,,1,,12.619909297052153,
6,47,4,,1,,13.057324263038549,
7,47,1,Eb-79,1,,13.469818594104309,
7,41,2,,1,,13.901632653061224,
7,42,3,,1,,14.333537414965987,
7,41,4,,1,,14.765510204081632,
8,47,1,Eb-,1,,15.193061224489796,
8,37,2,,1,,15.633854875283447,
8,42,3,Bb7,1,,16.04625850340136,
8,45,4,,1,,16.493356009070293,
9,47,1,Eb-79,1,A2,16.91548752834467,
9,41,2,,1,,17.366961451247164,
9,41,3,,1,,17.79374149659864,
9,45,4,,1,,18.22766439909297,
10,50,1,,1,,18.667414965986396,
10,40,2,,1,,19.09487528344671,
10,47,3,,1,,19.491882086167802,
10,47,4,,1,,19.91310657596372,
11,48,1,F7,1,,20.36045351473923,
11,37,2,,1,,20.813786848072564,
11,43,3,,1,,21.24909297052154,
11,43,4,,1,,21.681315192743764,
12,40,1,F7,1,,22.10857142857143,
12,40,2,,1,,22.540770975056688,
12,43,3,,1,,22.972607709750566,
12,49,4,,1,,23.39358276643991,
13,47,1,E7,1,,23.83111111111111,
13,47,2,,1,,24.288095238095238,
13,40,3,,1,,24.720090702947846,
13,47,4,,1,,25.15591836734694,
14,47,1,E7,1,,25.60814058956916,
