bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,41,1,Eb-7,1,A1,12.236916099773243,4/4
1,34,2,,1,,13.285147392290249,
1,42,3,B79b,1,,14.272199546485261,
1,41,4,,1,,15.312380952380952,
2,34,1,Eb-7,1,,16.39328798185941,
2,34,2,,1,,17.449795918367347,
2,52,3,D7,1,,18.390204081632653,
2,33,4,,1,,19.361700680272108,
3,51,1,Dbj7,1,,20.367233560090703,
3,32,2,,1,,21.279138321995465,
3,37,3,Gb7,1,,22.325986394557823,
3,37,4,,1,,23.301224489795917,
4,48,1,F-7,1,,24.369342403628117,
4,48,2,,1,,25.481473922902495,
4,47,3,Eo7,1,,26.45027210884354,
4,47,4,,1,,27.472380952380952,
5,34,1,Eb-7,1,,28.479274376417234,
5,34,2,,1,,29.53578231292517,
5,42,3,,1,,30.522630385487528,
5,37,4,,1,,31.451428571428572,
6,37,1,Cm7b5,1,,32.43827664399093,
6,43,2,,1,,33.4087074829932,
6,48,3,F7,1,,34.4584126984127,
6,48,4,,1,,35.45106575963719,
7,37,1,Bb-7,1,,36.472743764172336,
7,42,2,Eb7,1,,37.46290249433107,
7,51,3,Eb-7,1,,38.46530612244898,
7,51,4,Ab7,1,,39.436734693877554,
8,51,1,Db6,1,,40.42448979591837,
8,51,2,,1,,41.3614739229025,
8,41,3,Bb7,1,,42.33469387755102,
8,42,4,,1,,43.232947845804986,
9,41,1,Eb-7,1,A2,44.18757369614512,
9,37,2,,1,,45.186031746031745,
9,34,3,Bb79b,1,,46.23770975056689,
9,42,4,,1,,47.241950113378685,
10,45,1,Eb-7,1,,48.18721088435374,
10,42,2,,1,,49.151156462585035,
10,33,3,D7,1,,50.10612244897959,
10,33,4,,1,,51.07229024943311,
11,44,1,Dbj7,1,,52.11718820861678,
11,32,2,,1,,53.159183673469386,
11,44,3,Gb7,1,,54.21632653061224,
11,42,4,,1,,55.265306122448976,
12,42,1,F-7,1,,56.23668934240363,
12,37,2,,1,,57.23403628117914,
12,42,3,Eo7,1,,58.22850340136054,
12,42,4,,1,,59.19641723356009,
13,41,1,Eb-7,1,,60.200430839002266,
13,33,2,,1,,61.20546485260771,
13,44,3,,1,,62.26587301587302,
13,42,4,,1,,63.26122448979592,
14,43,1,Cm7b5,1,,64.28979591836735,
14,37,2,,1,,65.25165532879818,
14,48,3,F7,1,,66.32149659863946,
14,48,4,,1,,67.29875283446712,
15,37,1,Bb-7,1,,68.27419501133787,
15,33,2,Eb7,1,,69.27875283446713,
15,51,3,Eb-7,1,,70.30421768707482,
15,51,4,Ab7,1,,71.32009070294785,
16,51,1,Db,1,,72.341768707483,
16,51,2,,1,,73.38086167800454,
16,47,3,A7,1,,74.41414965986395,
16,47,4,,1,,75.44163265306122,
17,52,1,Dj7,1,B1,76.44589569160998,
17,52,2,,1,,77.42609977324263,
17,52,3,E-7,1,,78.4138775510204,
17,38,4,,1,,79.40845804988662,
18,52,1,D/F#,1,,80.4033560090703,
18,52,2,,1,,81.4727664399093,
18,50,3,G-7,1,,82.43185941043085,
18,42,4,C7,1,,83.4292970521542,
19,37,1,F#-7,1,,84.43936507936507,
19,42,2,B7,1,,85.51909297052154,
19,47,3,E-7,1,,86.56977324263039,
19,52,4,A7,1,,87.60308390022676,
