bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,48,1,NC,0,I1,6.155691609977325,
0,40,2,,0,,6.652086167800453,
0,38,3,,0,,7.142857142857143,
0,42,4,,0,,7.608163265306122,
1,40,1,Ej7,1,A1,8.097959183673469,4/4
1,40,2,,1,,8.584149659863945,
1,37,3,G#7/D#,1,,9.061587301587302,
1,40,4,,1,,9.52498866213152,
2,40,1,C#-7,1,,10.007278911564626,
2,50,2,,1,,10.518072562358277,
2,42,3,B7,1,,11.012244897959183,
2,42,4,,1,,11.505487528344672,
3,41,1,Bb79b,1,,12.016326530612245,
3,41,2,,1,,12.501043083900226,
3,41,3,E7alt,1,,12.98997732426304,
3,47,4,,1,,13.497709750566893,
4,34,1,Ebj7,1,,13.975510204081633,
4,42,2,,1,,14.483446712018141,
4,51,3,Eb-7,1,,14.978730158730158,
4,51,4,Ab7,1,,15.445442176870749,
5,44,1,Dbj7,1,,15.930680272108843,
5,44,2,,1,,16.423038548752835,
5,43,3,F7/C,1,,16.9168253968254,
5,43,4,,1,,17.401201814058957,
6,41,1,Bb-7,1,,17.870680272108842,
6,40,2,,1,,18.34981859410431,
6,51,3,Ab7,1,,18.83426303854875,
6,51,4,,1,,19.32551020408163,
7,50,1,G7,1,,19.8178231292517,
7,50,2,,1,,20.29689342403628,
7,44,3,Db7alt,1,,20.8,
7,44,4,,1,,21.288662131519274,
8,43,1,Cj7,1,,21.75170068027211,
8,43,2,,1,,22.2143537414966,
8,37,3,F#-7,1,,22.703310657596372,
8,49,4,B7,1,,23.196734693877552,
9,40,1,Ej7,1,A2,23.677233560090702,
9,38,2,,1,,24.168095238095237,
9,37,3,G#7/D#,1,,24.647913832199546,
9,38,4,,1,,25.109682539682538,
10,40,1,C#-7,1,,25.586757369614514,
10,37,2,,1,,26.049160997732425,
10,44,3,B7,1,,26.527097505668934,
10,44,4,,1,,27.012063492063493,
11,41,1,Bb7,1,,27.482448979591837,
11,41,2,,1,,27.959183673469386,
11,41,3,E7alt,1,,28.456938775510203,
11,47,4,,1,,28.926326530612243,
12,34,1,Ebj7,1,,29.431337868480725,
12,51,2,,1,,29.906848072562358,
12,50,3,Eb-7,1,,30.389115646258503,
12,40,4,Ab7,1,,30.87673469387755,
13,39,1,Dbj7,1,,31.37764172335601,
13,44,2,,1,,31.849047619047617,
13,43,3,F7/C,1,,32.31743764172336,
13,43,4,,1,,32.799637188208614,
14,41,1,Bb-7,1,,33.27290249433106,
14,41,2,,1,,33.75027210884354,
14,40,3,Ab7,1,,34.24360544217687,
14,40,4,,1,,34.714399092970524,
15,50,1,G7,1,,35.20546485260771,
15,50,2,,1,,35.676258503401364,
15,44,3,Db7alt,1,,36.16897959183674,
15,40,4,,1,,36.66122448979592,
16,43,1,Cj7,1,,37.12222222222222,
16,38,2,,1,,37.59891156462585,
16,38,3,,1,,38.095827664399096,
16,50,4,,1,,38.595238095238095,
17,43,1,Cm7b5,1,B1,39.0647619047619,
17,45,2,,1,,39.54124716553288,
