bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-2,50,1,C-,0,I1,0.6096825396825397,
-2,43,2,,0,,0.9417233560090703,
-2,50,3,,0,,1.2454648526077097,
-2,45,4,,0,,1.5626757369614512,
-1,43,1,,0,,1.8457142857142856,
-1,42,2,,0,,2.1818367346938774,
-1,37,3,,0,,2.4848979591836735,
-1,38,4,,0,,2.7977777777777777,
0,38,1,,0,,3.06108843537415,
0,40,2,,0,,3.336848072562358,
0,42,3,,0,,3.6245124716553287,
0,45,4,,0,,3.9382766439909296,
1,43,1,C-7,1,A1,4.242222222222222,4/4
1,42,2,,1,,4.553854875283447,
1,43,3,,1,,4.848571428571429,
1,32,4,,1,,5.1420181405895695,
2,45,1,,1,,5.4222222222222225,
2,48,2,,1,,5.723106575963719,
2,40,3,,1,,6.031043083900227,
2,45,4,,1,,6.341133786848072,
3,42,1,,1,,6.619614512471656,
3,48,2,,1,,6.926281179138322,
3,47,3,,1,,7.218049886621316,
3,40,4,,1,,7.538798185941043,
4,45,1,,1,,7.83718820861678,
4,43,2,,1,,8.112562358276644,
4,42,3,,1,,8.419931972789115,
4,45,4,,1,,8.74655328798186,
5,43,1,,1,,9.044897959183674,
5,50,2,,1,,9.317845804988663,
5,50,3,,1,,9.610816326530612,
5,38,4,,1,,9.93013605442177,
6,42,1,,1,,10.230294784580499,
6,45,2,,1,,10.5218820861678,
6,40,3,,1,,10.821292517006803,
6,45,4,,1,,11.119546485260772,
7,50,1,,1,,11.417800453514738,
7,38,2,,1,,11.729614512471656,
7,51,3,,1,,12.005238095238095,
7,38,4,,1,,12.320294784580499,
8,38,1,,1,,12.60859410430839,
8,51,2,,1,,12.898480725623584,
8,50,3,,1,,13.185759637188209,
8,42,4,,1,,13.501609977324263,
9,42,1,,1,,13.785600907029478,
9,50,2,,1,,14.08673469387755,
9,50,3,,1,,14.394852607709751,
9,38,4,,1,,14.700136054421769,
10,50,1,,1,,14.988276643990929,
10,40,2,,1,,15.294421768707483,
10,45,3,,1,,15.587097505668934,
10,50,4,,1,,15.890068027210884,
11,42,1,,1,,16.177845804988664,
11,48,2,,1,,16.469115646258505,
11,47,3,,1,,16.789433106575963,
11,40,4,,1,,17.079886621315193,
12,45,1,,1,,17.358616780045352,
12,49,2,,1,,17.66684807256236,
12,50,3,,1,,17.959931972789114,
12,49,4,,1,,18.262993197278913,
13,50,1,,1,,18.556122448979593,
13,50,2,,1,,18.845124716553286,
13,42,3,,1,,19.138231292517005,
13,38,4,,1,,19.427868480725625,
14,38,1,,1,,19.720702947845805,
14,45,2,,1,,20.0134693877551,
14,40,3,,1,,20.29705215419501,
14,45,4,,1,,20.59936507936508,
15,42,1,,1,,20.90251700680272,
15,51,2,,1,,21.20027210884354,
15,47,3,,1,,21.50204081632653,
15,40,4,,1,,21.82190476190476,
16,45,1,,1,,22.097845804988662,
16,49,2,,1,,22.396009070294784,
16,50,3,,1,,22.68891156462585,
16,45,4,,1,,22.966643990929704,
17,43,1,C-7,2,A1,23.259614512471654,
17,50,2,,2,,23.55267573696145,
17,34,3,,2,,23.831609977324263,
17,43,4,,2,,24.130589569160996,
18,42,1,,2,,24.442902494331065,
18,40,2,,2,,24.745895691609977,
18,51,3,,2,,25.032879818594104,
18,37,4,,2,,25.333968253968255,
19,38,1,,2,,25.632426303854874,
19,41,2,,2,,25.92893424036281,
19,42,3,,2,,26.217755102040815,
19,38,4,,2,,26.501315192743764,
20,39,1,,2,,26.805804988662132,
20,42,2,,2,,27.114739229024945,
20,50,3,,2,,27.414648526077098,
20,50,4,,2,,27.717233560090705,
21,51,1,,2,,28.022630385487528,
21,38,2,,2,,28.30920634920635,
21,45,3,,2,,28.60315192743764,
21,51,4,,2,,28.91106575963719,
22,50,1,,2,,29.217120181405896,
