bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,37,1,Bb7,1,A1,2.5404308390022674,4/4
1,44,2,,1,,2.896848072562358,
1,50,3,,1,,3.2413151927437642,
1,37,4,,1,,3.5870068027210884,
2,37,1,Eb7,1,,3.9069614512471653,
2,38,2,,1,,4.241224489795918,
2,37,3,,1,,4.573673469387755,
2,38,4,,1,,4.918843537414966,
3,38,1,Bb7,1,,5.24453514739229,
3,49,2,,1,,5.5566893424036286,
3,48,3,,1,,5.90204081632653,
3,38,4,,1,,6.272517006802721,
4,37,1,,1,,6.609773242630386,
4,37,2,,1,,6.971337868480726,
4,37,3,,1,,7.286507936507936,
4,38,4,,1,,7.629047619047619,
5,38,1,Eb7,1,,7.946984126984127,
5,37,2,,1,,8.293877551020408,
5,37,3,,1,,8.64267573696145,
5,37,4,,1,,8.962380952380952,
6,37,1,,1,,9.275419501133786,
6,38,2,,1,,9.616349206349206,
6,41,3,,1,,9.932063492063492,
6,38,4,,1,,10.25390022675737,
7,42,1,Bb7,1,,10.580861678004535,
7,37,2,,1,,10.923877551020409,
7,37,3,,1,,11.257142857142858,
7,51,4,,1,,11.589160997732426,
8,37,1,,1,,11.924421768707482,
8,45,2,,1,,12.24562358276644,
8,50,3,,1,,12.573083900226758,
8,37,4,,1,,12.924807256235828,
9,37,1,C-7,1,,13.248253968253968,
9,37,2,,1,,13.591791383219954,
9,49,3,,1,,13.918049886621315,
9,37,4,,1,,14.252448979591836,
10,48,1,F7,1,,14.606167800453514,
10,50,2,,1,,14.97455782312925,
10,37,3,,1,,15.31047619047619,
10,44,4,,1,,15.657573696145125,
11,37,1,Bb7,1,,15.996530612244898,
11,45,2,,1,,16.321609977324265,
11,50,3,,1,,16.662562358276645,
11,38,4,,1,,17.015827664399094,
12,37,1,F7,1,,17.351020408163265,
12,37,2,,1,,17.714285714285715,
12,48,3,,1,,18.048979591836734,
12,38,4,,1,,18.387755102040817,
13,37,1,Bb7,2,A1,18.746938775510205,
13,37,2,,2,,19.102040816326532,
13,37,3,,2,,19.439909297052154,
13,37,4,,2,,19.760975056689343,
14,37,1,Eb7,2,,20.114943310657598,
14,37,2,,2,,20.44172335600907,
14,37,3,,2,,20.771428571428572,
14,37,4,,2,,21.11231292517007,
15,37,1,Bb7,2,,21.460249433106576,
15,50,2,,2,,21.81392290249433,
15,50,3,,2,,22.1497052154195,
15,37,4,,2,,22.480544217687076,
16,51,1,,2,,22.823650793650792,
16,50,2,,2,,23.151587301587302,
16,47,3,,2,,23.488185941043085,
16,37,4,,2,,23.83265306122449,
17,42,1,Eb7,2,,24.176530612244896,
17,44,2,,2,,24.52673469387755,
17,43,3,,2,,24.86562358276644,
17,42,4,,2,,25.226575963718822,
18,41,1,,2,,25.554489795918368,
18,34,2,,2,,25.88843537414966,
18,47,3,,2,,26.24344671201814,
18,50,4,,2,,26.588480725623583,
19,48,1,Bb7,2,,26.918367346938776,
19,37,2,,2,,27.280997732426304,
19,37,3,,2,,27.60358276643991,
19,51,4,,2,,27.93469387755102,
20,50,1,,2,,28.29201814058957,
20,42,2,,2,,28.60814058956916,
20,48,3,,2,,28.93469387755102,
20,45,4,,2,,29.277551020408165,
21,43,1,C-7,2,,29.612244897959183,
21,50,2,,2,,29.93469387755102,
21,42,3,,2,,30.285714285714285,
21,37,4,,2,,30.62857142857143,
22,37,1,F7,2,,30.946938775510205,
22,48,2,,2,,31.273469387755103,
22,50,3,,2,,31.63530612244898,
22,34,4,,2,,31.9778231292517,
23,48,1,Bb7,2,,32.31852607709751,
23,40,2,,2,,32.65546485260771,
23,45,3,,2,,33.00054421768707,
23,42,4,,2,,33.35281179138322,
24,43,1,F7,2,,33.68163265306122,
24,50,2,,2,,34.005804988662135,
24,48,3,,2,,34.32920634920635,
24,40,4,,2,,34.65823129251701,
25,41,1,Bb7,3,A1,35.00238095238095,
25,41,2,,3,,35.35360544217687,
25,45,3,,3,,35.70612244897959,
25,45,4,,3,,36.04897959183673,
26,42,1,Eb7,3,,36.40408163265306,
26,34,2,,3,,36.74011337868481,
26,47,3,,3,,37.073469387755104,
26,47,4,,3,,37.4109977324263,
27,48,1,Bb7,3,,37.74285714285714,
27,48,2,,3,,38.07884353741497,
27,50,3,,3,,38.41115646258503,
27,50,4,,3,,38.75333333333333,
28,51,1,,3,,39.082403628117916,
28,38,2,,3,,39.42721088435374,
28,41,3,,3,,39.75442176870748,
28,37,4,,3,,40.089727891156464,
29,34,1,Eb7,3,,40.412018140589566,
29,47,2,,3,,40.73866213151928,
29,48,3,,3,,41.0887074829932,
29,48,4,,3,,41.43272108843537,
30,50,1,,3,,41.766394557823126,
30,50,2,,3,,42.1308843537415,
30,49,3,,3,,42.47097505668934,
30,50,4,,3,,42.81448979591837,
31,48,1,Bb7,3,,43.157936507936505,
31,41,2,,3,,43.48340136054422,
31,37,3,,3,,43.81269841269841,
31,43,4,,3,,44.126598639455786,
32,42,1,,3,,44.47986394557823,
32,50,2,,3,,44.82043083900227,
32,50,3,,3,,45.14857142857143,
32,37,4,,3,,45.4752380952381,
