bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
1,,1,E-7,1,A1,1.616326530612245,4/4
1,,2,,1,,1.8114852607709753,
1,,3,F7,1,,2.0066439909297054,
1,,4,,1,,2.1995351473922904,
2,,1,Bbj7,1,,2.3924263038548754,
2,,2,,1,,2.5798866213151928,
2,,3,Db7,1,,2.76734693877551,
2,,4,,1,,2.92859410430839,
3,,1,Gbj7,1,,3.08984126984127,
3,,2,,1,,3.265430839002268,
3,,3,A7,1,,3.4410204081632654,
3,,4,,1,,3.6110544217687073,
4,,1,Dj7,1,,3.7810884353741496,
4,,2,,1,,3.9681065759637186,
4,,3,,1,,4.155124716553288,
4,,4,,1,,4.3221428571428575,
5,,1,D-7,1,,4.4891609977324265,
5,,2,,1,,4.667981859410431,
5,,3,Eb7,1,,4.8468027210884355,
5,,4,,1,,5.016326530612245,
6,,1,Abj7,1,,5.185850340136055,
6,,2,,1,,5.3595351473922905,
6,,3,B7,1,,5.533219954648526,
6,,4,,1,,5.701281179138322,
7,,1,Ej7,1,,5.869342403628118,
7,,2,,1,,6.04718820861678,
7,,3,G7,1,,6.225034013605442,
7,,4,,1,,6.393095238095238,
8,,1,Cj7,1,,6.561156462585034,
8,,2,,1,,6.734977324263038,
8,,3,,1,,6.908798185941043,
8,,4,,1,,7.085034013605442,
9,,1,C-7,1,,7.261269841269841,
9,,2,,1,,7.441360544217687,
9,,3,Db7,1,,7.621451247165533,
9,,4,,1,,7.790600907029479,
10,,1,Gbj7,1,,7.959750566893424,
10,,2,,1,,8.136746031746032,
10,,3,A7,1,,8.31374149659864,
10,,4,,1,,8.503548752834467,
11,,1,Dj7,1,,8.693356009070294,
11,,2,,1,,8.868968253968255,
11,,3,F7,1,,9.044580498866214,
11,,4,,1,,9.20670068027211,
12,,1,Bbj7,1,,9.368820861678005,
12,,2,,1,,9.54654195011338,
12,,3,,1,,9.724263038548752,
12,,4,,1,,9.89998866213152,
13,,1,E7,1,,10.075714285714286,
13,,2,,1,,10.259104308390022,
13,,3,,1,,10.44249433106576,
13,,4,,1,,10.620068027210884,
14,,1,F7,1,,10.797641723356008,
14,,2,,1,,10.96734693877551,
14,,3,,1,,11.137052154195011,
14,,4,,1,,11.308038548752833,
15,,1,Bbj7,1,,11.479024943310657,
15,,2,,1,,11.663718820861678,
15,,3,,1,,11.848412698412698,
15,,4,,1,,12.021530612244899,
16,,1,Eb7,1,,12.194648526077097,
16,,2,,1,,12.37547619047619,
16,,3,,1,,12.556303854875283,
16,,4,,1,,12.744024943310658,
17,,1,E-7,2,A1,12.931746031746032,
17,,2,,2,,13.103265306122449,
17,,3,F7,2,,13.274784580498865,
17,,4,,2,,13.453752834467121,
18,,1,Bbj7,2,,13.632721088435375,
18,,2,,2,,13.802448979591837,
18,,3,Db7,2,,13.9721768707483,
18,,4,,2,,14.149965986394559,
19,,1,Gbj7,2,,14.327755102040816,
19,,2,,2,,14.50591836734694,
19,,3,A7,2,,14.684081632653061,
19,,4,,2,,14.855997732426303,
20,,1,Dj7,2,,15.027913832199546,
20,,2,,2,,15.21513605442177,
20,,3,,2,,15.40235827664399,
20,,4,,2,,15.573956916099773,
21,,1,D-7,2,,15.745555555555555,
21,,2,,2,,15.914909297052153,
21,,3,Eb7,2,,16.08426303854875,
21,,4,,2,,16.262698412698413,
22,,1,Abj7,2,,16.441133786848074,
22,,2,,2,,16.61566893424036,
22,,3,B7,2,,16.790204081632652,
22,,4,,2,,16.965056689342404,
23,,1,Ej7,2,,17.139909297052153,
23,,2,,2,,17.319410430839,
23,,3,G7,2,,17.49891156462585,
23,,4,,2,,17.67748299319728,
24,,1,Cj7,2,,17.856054421768707,
24,,2,,2,,18.026882086167802,
24,,3,,2,,18.197709750566894,
24,,4,,2,,18.371609977324262,
25,,1,C-7,2,,18.545510204081634,
25,,2,,2,,18.716462585034016,
25,,3,Db7,2,,18.887414965986395,
25,,4,,2,,19.06012471655329,
26,,1,Gbj7,2,,19.23283446712018,
26,,2,,2,,19.403117913832197,
26,,3,A7,2,,19.573401360544217,
26,,4,,2,,19.75546485260771,
27,,1,Dj7,2,,19.9375283446712,
27,,2,,2,,20.105498866213154,
27,,3,F7,2,,20.273469387755103,
27,,4,,2,,20.455498866213155,
28,,1,Bbj7,2,,20.637528344671203,
28,,2,,2,,20.824421768707484,
28,,3,,2,,21.011315192743766,
28,,4,,2,,21.197210884353744,
29,,1,E7,2,,21.38310657596372,
29,,2,,2,,21.562868480725626,
29,,3,,2,,21.74263038548753,
29,,4,,2,,21.922120181405894,
30,,1,F7,2,,22.101609977324262,
30,,2,,2,,22.266814058956918,
30,,3,,2,,22.43201814058957,
30,,4,,2,,22.594920634920634,
31,,1,Bbj7,2,,22.7578231292517,
31,,2,,2,,22.92181405895692,
31,,3,,2,,23.085804988662133,
31,,4,,2,,23.275600907029478,
32,,1,Eb7,2,,23.465396825396827,
32,,2,,2,,23.63751700680272,
32,,3,,2,,23.809637188208615,
32,,4,,2,,23.983287981859412,
33,,1,E-7,3,A1,24.156938775510206,
33,,2,,3,,24.322573696145128,
33,,3,F7,3,,24.488208616780046,
33,,4,,3,,24.6596485260771,
34,,1,Bbj7,3,,24.83108843537415,
34,,2,,3,,25.01451247165533,
34,,3,Db7,3,,25.197936507936507,
34,,4,,3,,25.37637188208617,
35,,1,Gbj7,3,,25.55480725623583,
35,,2,,3,,25.72953514739229,
35,,3,A7,3,,25.904263038548752,
35,,4,,3,,26.07278911564626,
36,,1,Dj7,3,,26.241315192743762,
36,,2,,3,,26.412301587301585,
36,,3,,3,,26.58328798185941,
36,,4,,3,,26.755487528344673,
37,,1,D-7,3,,26.927687074829933,
37,,2,,3,,27.11215419501134,
37,,3,Eb7,3,,27.296621315192745,
37,,4,,3,,27.46845804988662,
38,,1,Abj7,3,,27.640294784580497,
38,,2,,3,,27.815408163265303,
38,,3,B7,3,,27.990521541950113,
38,,4,,3,,28.171496598639457,
39,,1,E7,3,,28.3524716553288,
39,,2,,3,,28.530102040816328,
39,,3,G7,3,,28.707732426303856,
39,,4,,3,,28.893367346938774,
40,,1,Cj7,3,,29.079002267573696,
40,,2,,3,,29.256235827664398,
40,,3,,3,,29.433469387755103,
40,,4,,3,,29.62331065759637,
41,,1,C-7,3,,29.81315192743764,
41,,2,,3,,29.985634920634922,
41,,3,Db7,3,,30.1581179138322,
41,,4,,3,,30.34995464852608,
42,,1,Gbj7,3,,30.541791383219955,
42,,2,,3,,30.721791383219955,
42,,3,A7,3,,30.901791383219955,
42,,4,,3,,31.094784580498867,
43,,1,Dj7,3,,31.287777777777777,
43,,2,,3,,31.4621768707483,
43,,3,F7,3,,31.636575963718823,
43,,4,,3,,31.825034013605446,
44,,1,Bbj7,3,,32.013492063492066,
44,,2,,3,,32.18927437641723,
44,,3,,3,,32.3650566893424,
44,,4,,3,,32.54395691609977,
45,,1,E7,3,,32.722857142857144,
45,,2,,3,,32.91116780045351,
45,,3,,3,,33.09947845804989,
45,,4,,3,,33.28510204081633,
46,,1,F7,3,,33.470725623582766,
46,,2,,3,,33.66357142857143,
46,,3,,3,,33.85641723356009,
46,,4,,3,,34.03209750566893,
47,,1,Bbj7,3,,34.20777777777778,
47,,2,,3,,34.392369614512475,
47,,3,,3,,34.576961451247165,
47,,4,,3,,34.75911564625851,
48,,1,Eb7,3,,34.94126984126984,
