bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
-1,45,1,NC,0,I1,2.1188208616780044,
-1,45,2,,0,,2.3289455782312922,
-1,43,3,,0,,2.5390702947845805,
-1,43,4,,0,,2.7465759637188207,
0,43,1,,0,,2.954081632653061,
0,43,2,,0,,3.153231292517007,
0,49,3,,0,,3.3523809523809525,
0,43,4,,0,,3.550498866213152,
1,43,1,Cbj7,1,A1,3.7486167800453516,4/4
1,43,2,,1,,3.951995464852608,
1,51,3,D7,1,,4.155374149659864,
1,49,4,,1,,4.374047619047619,
2,45,1,Gj7,1,,4.592721088435374,
2,50,2,,1,,4.798401360544217,
2,48,3,Bb7,1,,5.004081632653061,
2,37,4,,1,,5.208163265306123,
3,45,1,Ebj7,1,,5.412244897959184,
3,51,2,,1,,5.611519274376417,
3,50,3,,1,,5.81079365079365,
3,50,4,,1,,6.018287981859411,
4,47,1,A-7,1,,6.22578231292517,
4,40,2,,1,,6.43624716553288,
4,45,3,D7,1,,6.646712018140589,
4,52,4,,1,,6.864897959183674,
5,50,1,Gj7,1,,7.083083900226757,
5,45,2,,1,,7.292562358276644,
5,41,3,Bb7,1,,7.502040816326531,
5,40,4,,1,,7.7017006802721095,
6,34,1,Ebj7,1,,7.901360544217687,
6,42,2,,1,,8.109954648526077,
6,37,3,Gb7,1,,8.318548752834467,
6,49,4,,1,,8.514467120181406,
7,50,1,Cbj7,1,,8.710385487528345,
7,49,2,,1,,8.90920634920635,
7,50,3,,1,,9.108027210884353,
7,49,4,,1,,9.316473922902494,
8,48,1,F-7,1,,9.524920634920635,
8,50,2,,1,,9.716439909297051,
8,50,3,Bb7,1,,9.90795918367347,
8,37,4,,1,,10.106451247165534,
9,45,1,Ebj7,1,,10.304943310657597,
9,42,2,,1,,10.50139455782313,
9,50,3,,1,,10.697845804988662,
9,50,4,,1,,10.908480725623583,
10,47,1,A-7,1,,11.119115646258503,
10,40,2,,1,,11.339977324263039,
10,33,3,D7,1,,11.560839002267574,
10,52,4,,1,,11.76701814058957,
11,50,1,Gj7,1,,11.973197278911565,
11,50,2,,1,,12.17438775510204,
11,42,3,,1,,12.375578231292517,
11,45,4,,1,,12.591065759637189,
12,43,1,Db-7,1,,12.80655328798186,
12,43,2,,1,,13.012834467120182,
12,49,3,Gb7,1,,13.219115646258503,
12,43,4,,1,,13.43015873015873,
13,43,1,Cbj7,1,,13.641201814058958,
13,49,2,,1,,13.847426303854876,
13,37,3,,1,,14.053650793650794,
13,41,4,,1,,14.254977324263038,
14,37,1,F-7,1,,14.456303854875284,
14,50,2,,1,,14.6543537414966,
14,50,3,Bb7,1,,14.852403628117914,
14,51,4,,1,,15.068356009070296,
15,45,1,Ebj7,1,,15.284308390022677,
15,45,2,,1,,15.499297052154194,
15,43,3,,1,,15.714285714285714,
15,40,4,,1,,15.91736961451247,
16,43,1,Db-7,1,,16.12045351473923,
16,43,2,,1,,16.323628117913835,
16,49,3,Gb7,1,,16.526802721088437,
16,43,4,,1,,16.724603174603175,
17,43,1,Cbj7,2,A1,16.922403628117912,
17,42,2,,2,,17.143265306122448,
17,51,3,D7,2,,17.364126984126983,
17,49,4,,2,,17.575238095238095,
18,45,1,Gj7,2,,17.786349206349207,
18,42,2,,2,,17.997448979591837,
18,41,3,Bb7,2,,18.208548752834467,
18,48,4,,2,,18.414727891156463,
19,41,1,Ebj7,2,,18.62090702947846,
19,45,2,,2,,18.816927437641723,
19,50,3,,2,,19.012947845804987,
19,50,4,,2,,19.21628117913832,
20,52,1,A-7,2,,19.419614512471654,
20,50,2,,2,,19.62096371882086,
20,49,3,D7,2,,19.822312925170067,
20,47,4,,2,,20.03328798185941,
21,45,1,Gj7,2,,20.244263038548752,
21,42,2,,2,,20.450068027210882,
21,41,3,Bb7,2,,20.655873015873016,
21,41,4,,2,,20.863990929705217,
22,45,1,Ebj7,2,,21.072108843537414,
22,37,2,,2,,21.275283446712017,
22,49,3,Gb7,2,,21.478458049886623,
22,43,4,,2,,21.675827664399094,
23,43,1,Cbj7,2,,21.873197278911565,
23,49,2,,2,,22.080725623582765,
23,50,3,,2,,22.28825396825397,
23,42,4,,2,,22.478820861678003,
24,48,1,F-7,2,,22.66938775510204,
24,50,2,,2,,22.86938775510204,
24,50,3,Bb7,2,,23.069387755102042,
24,38,4,,2,,23.27547619047619,
25,45,1,Ebj7,2,,23.48156462585034,
25,38,2,,2,,23.6875283446712,
25,50,3,,2,,23.893492063492065,
25,50,4,,2,,24.113934240362813,
26,51,1,A-7,2,,24.33437641723356,
26,50,2,,2,,24.541927437641725,
26,48,3,D7,2,,24.749478458049886,
26,47,4,,2,,24.968197278911564,
27,45,1,Gj7,2,,25.186916099773242,
27,43,2,,2,,25.392607709750564,
27,43,3,,2,,25.59829931972789,
27,45,4,,2,,25.80232426303855,
28,43,1,Db-7,2,,26.006349206349206,
28,43,2,,2,,26.20662131519274,
28,49,3,Gb7,2,,26.40689342403628,
28,43,4,,2,,26.62167800453515,
29,43,1,Cbj7,2,,26.836462585034013,
29,49,2,,2,,27.02951247165533,
29,43,3,,2,,27.222562358276644,
29,42,4,,2,,27.419444444444444,
30,48,1,F-7,2,,27.616326530612245,
30,50,2,,2,,27.808990929705217,
30,50,3,Bb7,2,,28.001655328798186,
30,51,4,,2,,28.213072562358278,
31,38,1,Ebj7,2,,28.42448979591837,
31,51,2,,2,,28.622721088435377,
31,50,3,,2,,28.82095238095238,
31,50,4,,2,,29.027437641723356,
32,47,1,Db-7,2,,29.23392290249433,
32,43,2,,2,,29.439999999999998,
32,37,3,Gb7,2,,29.646077097505668,
32,43,4,,2,,29.846655328798185,
33,43,1,Cbj7,3,A1,30.047233560090703,
33,43,2,,3,,30.25834467120181,
33,51,3,D7,3,,30.469455782312924,
33,49,4,,3,,30.687789115646257,
34,45,1,Gj7,3,,30.90612244897959,
34,42,2,,3,,31.124115646258502,
34,41,3,Bb7,3,,31.342108843537414,
34,42,4,,3,,31.543526077097503,
35,45,1,Ebj7,3,,31.744943310657597,
35,50,2,,3,,31.93360544217687,
35,50,3,,3,,32.12226757369614,
35,50,4,,3,,32.34122448979592,
36,47,1,A-7,3,,32.56018140589569,
36,50,2,,3,,32.75174603174603,
36,52,3,D7,3,,32.94331065759637,
36,33,4,,3,,33.13777777777778,
37,50,1,Gj7,3,,33.332244897959185,
37,48,2,,3,,33.543820861678,
37,48,3,Bb7,3,,33.75539682539682,
37,38,4,,3,,33.96645124716553,
38,45,1,Ebj7,3,,34.17750566893424,
38,38,2,,3,,34.39197278911564,
38,48,3,Gb7,3,,34.60643990929705,
38,43,4,,3,,34.80380952380952,
39,43,1,Cbj7,3,,35.001179138321994,
39,49,2,,3,,35.202630385487524,
39,37,3,,3,,35.40408163265306,
39,38,4,,3,,35.618367346938776,
40,37,1,F-7,3,,35.83265306122449,
40,50,2,,3,,36.042857142857144,
40,51,3,Bb7,3,,36.2530612244898,
40,51,4,,3,,36.468979591836735,
41,38,1,Ebj7,3,,36.68489795918367,
41,51,2,,3,,36.89519274376417,
41,50,3,,3,,37.10548752834467,
41,50,4,,3,,37.31192743764172,
