bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,42,2,NC,0,I1,2.2085714285714286,
0,40,3,,0,,2.451496598639456,
0,45,4,,0,,2.6853514739229025,
1,43,1,C-7,1,A1,2.918344671201814,4/4
1,45,2,,1,,3.1425850340136052,
1,42,3,,1,,3.36562358276644,
1,43,4,,1,,3.5887755102040817,
2,45,1,,1,,3.822721088435374,
2,43,2,,1,,4.075442176870748,
2,42,3,,1,,4.318979591836735,
2,45,4,,1,,4.557528344671201,
3,43,1,,1,,4.801020408163265,
3,41,2,,1,,5.034421768707483,
3,37,3,,1,,5.268231292517007,
3,41,4,,1,,5.50124716553288,
4,43,1,,1,,5.734036281179138,
4,45,2,,1,,5.977755102040816,
4,47,3,,1,,6.210793650793651,
4,47,4,,1,,6.435034013605442,
5,42,1,F-7,1,,6.668027210884354,
5,43,2,,1,,6.882471655328798,
5,45,3,,1,,7.125170068027211,
5,47,4,,1,,7.358095238095238,
6,48,1,,1,,7.572358276643991,
6,50,2,,1,,7.800022675736962,
6,51,3,,1,,8.024081632653061,
6,48,4,,1,,8.272471655328799,
7,50,1,C-7,1,,8.506303854875284,
7,48,2,,1,,8.739342403628118,
7,45,3,,1,,8.966825396825397,
7,45,4,,1,,9.19641723356009,
8,43,1,,1,,9.429342403628118,
8,45,2,,1,,9.648208616780046,
8,45,3,,1,,9.865578231292517,
8,40,4,,1,,10.084716553287981,
9,51,1,Ab7,1,,10.31857142857143,
9,47,2,,1,,10.56138321995465,
9,43,3,,1,,10.785600907029478,
9,51,4,,1,,11.018639455782314,
10,50,1,G7,1,,11.242721088435374,
10,45,2,,1,,11.475714285714286,
10,42,3,,1,,11.718344671201814,
10,45,4,,1,,11.942630385487528,
11,43,1,C-7,1,,12.185532879818593,
11,42,2,,1,,12.409591836734695,
11,40,3,,1,,12.632879818594104,
11,38,4,,1,,12.861315192743763,
12,38,1,,1,,13.084421768707482,
12,42,2,,1,,13.306122448979592,
12,40,3,,1,,13.551201814058956,
12,45,4,,1,,13.78421768707483,
13,43,1,C-7,2,A1,14.033469387755103,
