bar,bass_pitch,beat,chord,chorus_id,form,onset,signature
0,49,2,NC,0,I1,6.046757369614513,
0,49,3,,0,,6.468639455782313,
0,48,4,,0,,6.882675736961451,
1,43,1,Bbj7,1,A1,7.303582766439909,4/4
1,43,2,,1,,7.71766439909297,
1,44,3,G79b/B,1,,8.135328798185942,
1,44,4,,1,,8.573968253968253,
2,43,1,C-7,1,,9.010204081632653,
2,43,2,,1,,9.446009070294785,
2,37,3,F7,1,,9.85482993197279,
2,48,4,,1,,10.287755102040816,
3,44,1,Bbj7,1,,10.719773242630385,
3,51,2,,1,,11.157392290249433,
3,50,3,G7,1,,11.58124716553288,
3,43,4,,1,,12.013469387755102,
4,43,1,C-7,1,,12.437414965986395,
4,47,2,,1,,12.86251700680272,
4,48,3,F7,1,,13.286780045351474,
4,40,4,,1,,13.718707482993198,
5,41,1,Bbj7,1,,14.155102040816326,
5,45,2,,1,,14.574331065759637,
5,50,3,G79b/B,1,,15.0140589569161,
5,43,4,,1,,15.437845804988662,
6,43,1,C-7,1,,15.8618820861678,
6,47,2,,1,,16.27514739229025,
6,48,3,F7,1,,16.69501133786848,
6,52,4,,1,,17.135668934240364,
7,41,1,Bbj7,1,,17.565351473922902,
7,45,2,,1,,17.997573696145125,
7,45,3,,1,,18.41768707482993,
7,47,4,,1,,18.83902494331066,
8,47,1,C-7,1,,19.25891156462585,
8,48,2,,1,,19.70408163265306,
8,50,3,F7,1,,20.141950113378684,
8,52,4,,1,,20.574195011337867,
9,45,1,Bbj7,1,A2,21.00843537414966,
9,44,2,,1,,21.42235827664399,
9,50,3,G79b/B,1,,21.85795918367347,
9,43,4,,1,,22.286190476190477,
10,43,1,C-7,1,,22.71873015873016,
10,43,2,,1,,23.150022675736963,
10,52,3,F7,1,,23.57421768707483,
10,48,4,,1,,23.99795918367347,
11,45,1,Bbj7,1,,24.42637188208617,
11,51,2,,1,,24.853786848072563,
11,50,3,G7,1,,25.26938775510204,
11,44,4,,1,,25.71780045351474,
12,43,1,C-7,1,,26.14108843537415,
12,47,2,,1,,26.570498866213153,
12,48,3,F7,1,,26.99702947845805,
12,40,4,,1,,27.415419501133787,
13,41,1,Bbj7,1,,27.84848072562358,
13,45,2,,1,,28.26260770975057,
13,50,3,G79b/B,1,,28.717981859410433,
13,44,4,,1,,29.17356009070295,
14,43,1,C-7,1,,29.596938775510203,
14,50,2,,1,,30.02965986394558,
14,48,3,F7,1,,30.475668934240364,
14,52,4,,1,,30.900362811791382,
15,41,1,Bbj7,1,,31.320408163265306,
15,45,2,,1,,31.751337868480725,
15,50,3,,1,,32.17551020408163,
15,48,4,,1,,32.59587301587302,
16,47,1,F-7,1,,33.0446485260771,
16,42,2,,1,,33.49170068027211,
16,47,3,Bb7,1,,33.910702947845806,
16,45,4,,1,,34.34285714285714,
17,42,1,Ebj7,1,B1,34.76512471655329,
17,44,2,,1,,35.18045351473923,
17,44,3,C79b,1,,35.62244897959184,
17,43,4,,1,,36.06687074829932,
18,48,1,F-7,1,,36.50807256235828,
18,42,2,,1,,36.93201814058957,
18,41,3,Bb7,1,,37.357460317460315,
18,51,4,,1,,37.795918367346935,
19,50,1,Ebj7,1,,38.22764172335601,
19,43,2,,1,,38.66002267573696,
19,43,3,C7,1,,39.09170068027211,
19,49,4,,1,,39.52448979591837,
20,48,1,F-7,1,,39.946938775510205,
20,42,2,,1,,40.37095238095238,
20,47,3,Bb7,1,,40.81863945578231,
20,47,4,,1,,41.25884353741497,
21,42,1,Ebj7,1,,41.68163265306122,
21,50,2,,1,,42.10725623582766,
21,43,3,C79b,1,,42.53111111111111,
21,47,4,,1,,42.97204081632653,
22,48,1,F-7,1,,43.40766439909297,
22,40,2,,1,,43.8266439909297,
22,41,3,Bb7,1,,44.274580498866214,
22,45,4,,1,,44.721337868480724,
23,42,1,Ebj7,1,,45.14081632653061,
23,41,2,,1,,45.56530612244898,
23,50,3,,1,,45.9908843537415,
23,42,4,,1,,46.43061224489796,
24,43,1,C-7,1,,46.87308390022676,
24,50,2,,1,,47.31956916099773,
24,52,3,F7,1,,47.738185941043085,
24,40,4,,1,,48.17356009070295,
25,42,1,Bbj7,1,A3,48.623401360544214,
25,42,2,,1,,49.03886621315193,
25,42,3,G79b,1,,49.46807256235827,
25,42,4,,1,,49.920861678004535,
26,43,1,C-7,1,,50.357142857142854,
26,43,2,,1,,50.78,
26,42,3,F7,1,,51.22117913832199,
26,34,4,,1,,51.66913832199546,
27,45,1,Bbj7,1,,52.10204081632653,
27,44,2,,1,,52.53310657596372,
27,44,3,G7,1,,52.977551020408164,
27,44,4,,1,,53.41866213151928,
28,43,1,C-7,1,,53.83922902494331,
28,43,2,,1,,54.26299319727891,
28,42,3,F7,1,,54.68675736961451,
28,42,4,,1,,55.11632653061225,
29,41,1,Bbj7,1,,55.534285714285716,
29,51,2,,1,,55.96965986394558,
29,50,3,G79b,1,,56.40204081632653,
29,50,4,,1,,56.84621315192744,
30,43,1,C-7,1,,57.27578231292517,
30,50,2,,1,,57.7227664399093,
30,48,3,F7,1,,58.13755102040816,
30,52,4,,1,,58.56448979591837,
31,42,1,Bbj7,1,,58.977165532879816,
31,45,2,,1,,59.412018140589566,
31,45,3,,1,,59.86480725623583,
31,47,4,,1,,60.28857142857143,
32,48,1,,1,,60.73555555555556,
32,50,2,,1,,61.153514739229024,
32,51,3,,1,,61.58888888888889,
32,52,4,,1,,62.03061224489796,
33,42,1,Bbj7,2,A1,62.48975056689343,
33,44,2,,2,,62.92390022675737,
33,37,3,G79b/B,2,,63.35356009070295,
33,43,4,,2,,63.77172335600907,
34,38,1,C-7,2,,64.22551020408163,
34,43,2,,2,,64.6637641723356,
34,43,3,F7,2,,65.11190476190477,
34,43,4,,2,,65.54342403628118,
35,45,1,Bbj7,2,,65.96802721088436,
35,40,2,,2,,66.402358276644,
35,50,3,G7,2,,66.84249433106577,
35,44,4,,2,,67.2835827664399,
36,49,1,C-7,2,,67.71895691609977,
36,42,2,,2,,68.13111111111111,
36,43,3,F7,2,,68.5537641723356,
36,40,4,,2,,68.99895691609977,
37,41,1,Bbj7,2,,69.43142857142857,
37,41,2,,2,,69.84358276643991,
37,50,3,G79b,2,,70.27551020408163,
37,44,4,,2,,70.70816326530613,
38,43,1,C-7,2,,71.14897959183673,
38,49,2,,2,,71.59387755102041,
38,48,3,F7,2,,72.03061224489795,
38,42,4,,2,,72.4558276643991,
39,41,1,Bbj7,2,,72.87959183673469,
39,45,2,,2,,73.3184126984127,
39,45,3,G79b,2,,73.76591836734694,
39,47,4,,2,,74.18893424036281,
40,48,1,C-7,2,,74.61442176870749,
40,50,2,,2,,75.05371882086168,
40,51,3,F7,2,,75.50448979591837,
40,52,4,,2,,75.94668934240363,
41,41,1,Bbj7,2,A2,76.36530612244898,
41,45,2,,2,,76.78911564625851,
41,50,3,G79b/B,2,,77.22437641723356,
41,42,4,,2,,77.6673015873016,
42,43,1,C-7,2,,78.09537414965986,
42,43,2,,2,,78.54596371882086,
42,42,3,F7,2,,78.96321995464852,
42,48,4,,2,,79.39659863945579,
43,45,1,Bbj7,2,,79.82748299319728,
43,44,2,,2,,80.25975056689343,
43,44,3,G7,2,,80.70575963718821,
43,44,4,,2,,81.14541950113379,
44,43,1,C-7,2,,81.56369614512472,
44,49,2,,2,,82.00145124716553,
44,42,3,F7,2,,82.43390022675737,
44,42,4,,2,,82.84920634920636,
45,41,1,Bbj7,2,,83.30589569160998,
45,45,2,,2,,83.74489795918367,
45,50,3,G79b,2,,84.17573696145125,
45,44,4,,2,,84.62226757369615,
46,43,1,C-7,2,,85.06426303854876,
46,47,2,,2,,85.49963718820862,
46,48,3,F7,2,,85.92920634920635,
46,52,4,,2,,86.3413605442177,
47,41,1,Bbj7,2,,86.76530612244898,
47,45,2,,2,,87.20612244897958,
47,50,3,G7,2,,87.66326530612245,
47,48,4,,2,,88.10721088435375,
48,41,1,F-7,2,,88.53673469387755,
48,41,2,,2,,88.9938775510204,
48,47,3,Bb7,2,,89.43469387755103,
